CONIDX,CONIPOS,CONJPOS,SGAS,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,WELLMODEL,DEPTH,PRESSURE,CONKPOS
4,31,20,-1.8220851494277213e-09,R_A5,0.9999999403953552,0,2018-04-28,283.18011474609375,STANDARD,1691.796630859375,283.18011474609375,4
5,31,20,-1.4610691545513532e-09,R_A5,1.0,0,2018-04-28,283.3769226074219,STANDARD,1693.8831787109375,283.3769226074219,5
6,31,20,-1.3528468345569422e-09,R_A5,1.0,0,2018-04-28,283.5739440917969,STANDARD,1695.9698486328125,283.5739440917969,6
7,31,20,-1.0505987572961839e-11,R_A5,1.0,0,2018-04-28,284.07672119140625,STANDARD,1698.056396484375,284.07672119140625,7
8,31,20,-1.7779322935770892e-12,R_A5,1.0,0,2018-04-28,284.27557373046875,STANDARD,1700.14306640625,284.27557373046875,8
9,31,21,-8.075044799493725e-11,R_A5,1.0,0,2018-04-28,282.3434753417969,STANDARD,1695.9600830078125,282.3434753417969,9
10,31,21,-3.7549965914429606e-10,R_A5,1.0,0,2018-04-28,280.8023986816406,STANDARD,1698.23779296875,280.8023986816406,10
11,31,21,-4.401378150831192e-10,R_A5,1.0,0,2018-04-28,278.8002624511719,STANDARD,1700.40673828125,278.8002624511719,11
12,31,21,-3.7127120822155746e-10,R_A5,1.0,0,2018-04-28,279.15240478515625,STANDARD,1702.46728515625,279.15240478515625,12
13,31,21,-1.2566301298144733e-11,R_A5,1.0,0,2018-04-28,279.362060546875,STANDARD,1704.52783203125,279.362060546875,13
14,31,21,-1.9264119813233727e-11,R_A5,1.0,0,2018-04-28,279.57073974609375,STANDARD,1706.5885009765625,279.57073974609375,14
15,31,21,-3.859286588220323e-12,R_A5,1.0,0,2018-04-28,279.77349853515625,STANDARD,1708.6490478515625,279.77349853515625,15
16,31,21,-6.727058688739407e-13,R_A5,1.0,0,2018-04-28,280.12939453125,STANDARD,1710.7095947265625,280.12939453125,16
17,31,21,-1.148968290301533e-12,R_A5,1.0,0,2018-04-28,280.3398132324219,STANDARD,1712.744873046875,280.3398132324219,17
18,31,21,-1.419472449738085e-13,R_A5,1.0,0,2018-04-28,280.4697265625,STANDARD,1714.073974609375,280.4697265625,18
19,31,21,0.0,R_A5,1.0,0,2018-04-28,280.5160217285156,STANDARD,1714.5576171875,280.5160217285156,19
20,31,21,-1.957139094885263e-12,R_A5,1.0,0,2018-04-28,285.192626953125,STANDARD,1715.8408203125,285.192626953125,26
21,31,21,-2.462199714947655e-12,R_A5,1.0,0,2018-04-28,285.46783447265625,STANDARD,1718.08837890625,285.46783447265625,27
22,31,21,-1.3908467109553436e-18,R_A5,1.0,0,2018-04-28,296.4817199707031,STANDARD,1720.3359375,296.4817199707031,28
23,31,21,-4.04934701271456e-20,R_A5,1.0,0,2018-04-28,304.2593688964844,STANDARD,1722.58349609375,304.2593688964844,29
24,31,21,-2.7861151009309084e-22,R_A5,1.0,0,2018-04-28,307.04473876953125,STANDARD,1724.8309326171875,307.04473876953125,30
1,28,41,0.0,R_A3,0.6500893235206604,0,2018-07-03,275.3167724609375,STANDARD,1608.2916259765625,275.3167724609375,1
2,28,41,0.0,R_A3,0.19553707540035248,0,2018-07-03,275.4442443847656,STANDARD,1610.266845703125,275.4442443847656,2
3,29,41,0.0,R_A3,0.18823295831680298,0,2018-07-03,274.8981628417969,STANDARD,1601.886962890625,274.8981628417969,2
4,29,41,0.0,R_A3,0.1299627721309662,0,2018-07-03,275.0402526855469,STANDARD,1604.023193359375,275.0402526855469,3
5,29,41,0.0,R_A3,0.15373703837394714,0,2018-07-03,275.18255615234375,STANDARD,1606.159423828125,275.18255615234375,4
6,29,41,0.0,R_A3,0.8027166724205017,0,2018-07-03,275.4150085449219,STANDARD,1608.295654296875,275.4150085449219,5
7,29,41,0.0,R_A3,0.21754993498325348,0,2018-07-03,275.48199462890625,STANDARD,1610.431884765625,275.48199462890625,6
8,29,41,0.0,R_A3,0.19186578691005707,0,2018-07-03,275.62445068359375,STANDARD,1612.568115234375,275.62445068359375,7
9,29,41,0.0,R_A3,0.23645375669002533,0,2018-07-03,275.7671203613281,STANDARD,1614.704345703125,275.7671203613281,8
10,29,41,0.0,R_A3,0.7943563461303711,0,2018-07-03,276.021240234375,STANDARD,1616.840576171875,276.021240234375,9
11,29,41,0.0,R_A3,0.7864058017730713,0,2018-07-03,278.8786315917969,STANDARD,1618.976806640625,278.8786315917969,10
