CONIDX,SWAT,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,WELL,DEPTH
2,0.05821092799305916,STANDARD,2,0.0,299.32177734375,30,299.32177734375,2018-03-01,22,0,R_A2,1640.030517578125
3,0.060251716524362564,STANDARD,3,0.0,299.43450927734375,30,299.43450927734375,2018-03-01,22,0,R_A2,1641.7119140625
4,0.069086953997612,STANDARD,4,0.0,299.5472106933594,30,299.5472106933594,2018-03-01,22,0,R_A2,1643.393310546875
5,0.07172837108373642,STANDARD,5,0.0,299.6599426269531,30,299.6599426269531,2018-03-01,22,0,R_A2,1645.07470703125
6,0.12083781510591507,STANDARD,6,0.0,299.7726745605469,30,299.7726745605469,2018-03-01,22,0,R_A2,1646.756103515625
7,0.19148311018943787,STANDARD,7,0.0,299.8854064941406,30,299.8854064941406,2018-03-01,22,0,R_A2,1648.4375
8,0.6482945084571838,STANDARD,8,0.0,299.9837341308594,30,299.9837341308594,2018-03-01,22,0,R_A2,1650.1190185546875
9,0.2519322633743286,STANDARD,9,0.0,300.0986022949219,30,300.0986022949219,2018-03-01,22,0,R_A2,1651.8004150390625
10,0.6482802629470825,STANDARD,10,0.0,300.2114562988281,30,300.2114562988281,2018-03-01,22,0,R_A2,1653.4818115234375
11,0.07749857008457184,STANDARD,11,0.0,300.7880859375,30,300.7880859375,2018-03-01,22,0,R_A2,1655.3253173828125
12,0.17741231620311737,STANDARD,12,0.0,300.9225769042969,30,300.9225769042969,2018-03-01,22,0,R_A2,1657.330810546875
13,0.4632141590118408,STANDARD,13,0.0,301.0574645996094,30,301.0574645996094,2018-03-01,22,0,R_A2,1659.33642578125
14,0.5228063464164734,STANDARD,14,0.0,301.19287109375,30,301.19287109375,2018-03-01,22,0,R_A2,1661.3419189453125
15,0.9464404582977295,STANDARD,15,0.0,301.327880859375,30,301.327880859375,2018-03-01,22,0,R_A2,1663.3475341796875
16,0.9909264445304871,STANDARD,15,0.0,301.6878967285156,29,301.6878967285156,2018-03-01,22,0,R_A2,1668.85986328125
17,1.0,STANDARD,16,1.0439618058910582e-09,301.82952880859375,29,301.82952880859375,2018-03-01,22,0,R_A2,1670.9681396484375
18,0.9983424544334412,STANDARD,17,0.0,301.9710998535156,29,301.9710998535156,2018-03-01,22,0,R_A2,1673.076416015625
19,1.0,STANDARD,18,1.1367067287437749e-09,302.2796325683594,29,302.2796325683594,2018-03-01,22,0,R_A2,1674.794677734375
20,1.0,STANDARD,26,3.114282649038097e-14,302.9654541015625,29,302.9654541015625,2018-03-01,22,0,R_A2,1676.33935546875
21,1.0,STANDARD,27,1.7801665818387635e-15,303.3406677246094,29,303.3406677246094,2018-03-01,22,0,R_A2,1678.100341796875
22,1.0,STANDARD,28,5.952704031330887e-16,303.5931091308594,29,303.5931091308594,2018-03-01,22,0,R_A2,1679.861328125
