PRESSURE,WELL,DRAWDOWN,CONIDX,SGAS,CONBPRES,DEPTH,CONKPOS,CONJPOS,WELLMODEL,SWAT,DATE,CONIPOS
307.1708679199219,R_A6,0,15,0.0,307.1708679199219,1720.0029296875,15,42,STANDARD,1.0,2018-01-01,17
307.537109375,R_A6,0,16,0.0,307.537109375,1722.33740234375,16,42,STANDARD,1.0,2018-01-01,17
307.75836181640625,R_A6,0,17,0.0,307.75836181640625,1724.671875,17,42,STANDARD,1.0,2018-01-01,17
307.8970947265625,R_A6,0,18,0.0,307.8970947265625,1726.135498046875,18,42,STANDARD,1.0,2018-01-01,17
307.8496398925781,R_A6,0,19,0.0,307.8496398925781,1727.292236328125,26,42,STANDARD,1.0,2018-01-01,17
308.3185119628906,R_A6,0,20,0.0,308.3185119628906,1729.012939453125,27,42,STANDARD,1.0,2018-01-01,17
308.4815673828125,R_A6,0,21,0.0,308.4815673828125,1730.7335205078125,28,42,STANDARD,1.0,2018-01-01,17
308.6446533203125,R_A6,0,22,0.0,308.6446533203125,1732.4541015625,29,42,STANDARD,1.0,2018-01-01,17
308.501953125,R_A6,0,23,0.0,308.501953125,1734.1748046875,30,42,STANDARD,1.0,2018-01-01,17
298.1695861816406,R_A2,0,1,0.0,298.1695861816406,1642.9339599609375,1,30,STANDARD,0.055504634976387024,2018-03-01,22
298.2922668457031,R_A2,0,2,0.0,298.2922668457031,1644.7642822265625,2,30,STANDARD,0.05771610140800476,2018-03-01,22
298.4150085449219,R_A2,0,3,0.0,298.4150085449219,1646.594482421875,3,30,STANDARD,0.06142307445406914,2018-03-01,22
298.5378723144531,R_A2,0,4,0.0,298.5378723144531,1648.4248046875,4,30,STANDARD,0.06836539506912231,2018-03-01,22
298.66082763671875,R_A2,0,5,0.0,298.66082763671875,1650.255126953125,5,30,STANDARD,0.07155469805002213,2018-03-01,22
298.783935546875,R_A2,0,6,0.0,298.783935546875,1652.08544921875,6,30,STANDARD,0.1159043163061142,2018-03-01,22
298.9070129394531,R_A2,0,7,0.0,298.9070129394531,1653.9156494140625,7,30,STANDARD,0.6484166979789734,2018-03-01,22
299.0301818847656,R_A2,0,8,0.0,299.0301818847656,1655.7459716796875,8,30,STANDARD,0.6484894752502441,2018-03-01,22
299.1534118652344,R_A2,0,9,0.0,299.1534118652344,1657.576171875,9,30,STANDARD,0.1502586305141449,2018-03-01,22
299.4010925292969,R_A2,0,10,0.0,299.4010925292969,1659.406494140625,10,30,STANDARD,0.1858048290014267,2018-03-01,22
299.6612243652344,R_A2,0,11,0.0,299.6612243652344,1661.3243408203125,11,30,STANDARD,0.07444479316473007,2018-03-01,22
299.795654296875,R_A2,0,12,0.0,299.795654296875,1663.32958984375,12,30,STANDARD,0.07476985454559326,2018-03-01,22
299.93072509765625,R_A2,0,13,0.0,299.93072509765625,1665.3348388671875,13,30,STANDARD,0.4210151135921478,2018-03-01,22
300.0672607421875,R_A2,0,14,0.0,300.0672607421875,1667.340087890625,14,30,STANDARD,0.4873477518558502,2018-03-01,22
