CONJPOS,DEPTH,DRAWDOWN,CONKPOS,CONIDX,CONIPOS,CONBPRES,PRESSURE,SGAS,SWAT,WELLMODEL,WELL,DATE
29,1682.5531005859375,0,29,23,22,302.74981689453125,302.74981689453125,-1.9570098874766018e-09,1.0,STANDARD,R_A2,2018-03-01
29,1684.319580078125,0,30,24,22,302.8937683105469,302.8937683105469,-1.372774449670544e-09,1.0,STANDARD,R_A2,2018-03-01
20,1685.6832275390625,0,1,1,31,284.06451416015625,284.06451416015625,-3.676334792146463e-09,0.9999999403953552,STANDARD,R_A5,2018-04-28
20,1687.8448486328125,0,2,2,31,284.2686767578125,284.2686767578125,-3.3333609206209758e-09,0.9999999403953552,STANDARD,R_A5,2018-04-28
20,1690.00634765625,0,3,3,31,284.47259521484375,284.47259521484375,-2.950211852592588e-09,0.9999999403953552,STANDARD,R_A5,2018-04-28
20,1692.1678466796875,0,4,4,31,284.676513671875,284.676513671875,-1.9813157781101154e-09,0.9999999403953552,STANDARD,R_A5,2018-04-28
20,1694.3294677734375,0,5,5,31,284.880615234375,284.880615234375,-1.0058814892133228e-09,1.0,STANDARD,R_A5,2018-04-28
20,1696.490966796875,0,6,6,31,285.08538818359375,285.08538818359375,-2.52617482487949e-09,0.9999999403953552,STANDARD,R_A5,2018-04-28
20,1698.6524658203125,0,7,7,31,285.6122741699219,285.6122741699219,-6.206047481471799e-11,1.0,STANDARD,R_A5,2018-04-28
20,1700.8140869140625,0,8,8,31,285.8533630371094,285.8533630371094,-2.240056577729188e-11,1.0,STANDARD,R_A5,2018-04-28
21,1702.0316162109375,0,11,9,31,274.3450012207031,274.3450012207031,-3.1015585932880896e-11,1.0,STANDARD,R_A5,2018-04-28
21,1703.9464111328125,0,12,10,31,274.55303955078125,274.55303955078125,-5.7622295823733793e-11,1.0,STANDARD,R_A5,2018-04-28
21,1705.8612060546875,0,13,11,31,274.7473449707031,274.7473449707031,-4.875694899902916e-12,1.0,STANDARD,R_A5,2018-04-28
21,1707.77587890625,0,14,12,31,274.9303283691406,274.9303283691406,-4.081724975374401e-12,1.0,STANDARD,R_A5,2018-04-28
21,1709.690673828125,0,15,13,31,275.1131591796875,275.1131591796875,-1.6778553373064664e-12,1.0,STANDARD,R_A5,2018-04-28
21,1711.60546875,0,16,14,31,275.44598388671875,275.44598388671875,-2.1273968372516328e-13,1.0,STANDARD,R_A5,2018-04-28
21,1713.5018310546875,0,17,15,31,275.633544921875,275.633544921875,-3.2980557304260194e-13,1.0,STANDARD,R_A5,2018-04-28
21,1714.799072265625,0,18,16,31,275.7582702636719,275.7582702636719,-4.020439038111834e-13,1.0,STANDARD,R_A5,2018-04-28
21,1716.30029296875,0,26,17,31,287.0039367675781,287.0039367675781,-5.2669437008382586e-14,1.0,STANDARD,R_A5,2018-04-28
21,1718.4267578125,0,27,18,31,287.2434997558594,287.2434997558594,-4.8652667859099344e-14,1.0,STANDARD,R_A5,2018-04-28
21,1720.55322265625,0,28,19,31,291.8958435058594,291.8958435058594,-1.551577571647806e-20,1.0,STANDARD,R_A5,2018-04-28
21,1722.6796875,0,29,20,31,302.4208984375,302.4208984375,-1.0360309692304388e-22,1.0,STANDARD,R_A5,2018-04-28
21,1724.80615234375,0,30,21,31,306.48968505859375,306.48968505859375,-6.878174375044826e-26,1.0,STANDARD,R_A5,2018-04-28
41,1608.8489990234375,0,1,1,28,278.8610534667969,278.8610534667969,0.0,0.6500248312950134,STANDARD,R_A3,2018-07-03
41,1610.8515625,0,2,2,28,278.98974609375,278.98974609375,0.0,0.19191130995750427,STANDARD,R_A3,2018-07-03
41,1612.85400390625,0,3,3,28,279.123291015625,279.123291015625,0.0,0.15104536712169647,STANDARD,R_A3,2018-07-03
41,1614.8564453125,0,4,4,28,279.257080078125,279.257080078125,0.0,0.07599131762981415,STANDARD,R_A3,2018-07-03
41,1606.86474609375,0,4,5,29,278.6866149902344,278.6866149902344,0.0,0.13713045418262482,STANDARD,R_A3,2018-07-03
41,1608.919921875,0,5,6,29,278.9839172363281,278.9839172363281,0.0,0.804697573184967,STANDARD,R_A3,2018-07-03
41,1610.97509765625,0,6,7,29,279.1314697265625,279.1314697265625,0.0,0.6514573097229004,STANDARD,R_A3,2018-07-03
41,1613.0302734375,0,7,8,29,279.3585510253906,279.3585510253906,0.0,0.19753801822662354,STANDARD,R_A3,2018-07-03
41,1615.08544921875,0,8,9,29,279.4961853027344,279.4961853027344,0.0,0.23537315428256989,STANDARD,R_A3,2018-07-03
