PRESSURE,DATE,WELL,DEPTH,SGAS,CONIDX,WELLMODEL,CONJPOS,CONKPOS,CONBPRES,SWAT,DRAWDOWN,CONIPOS
298.30010986328125,2018-03-01,R_A2,1641.094970703125,0.0,1,STANDARD,30,1,298.30010986328125,0.05674339830875397,0,22
298.4203186035156,2018-03-01,R_A2,1642.8890380859375,0.0,2,STANDARD,30,2,298.4203186035156,0.0577862411737442,0,22
298.54052734375,2018-03-01,R_A2,1644.68310546875,0.0,3,STANDARD,30,3,298.54052734375,0.060044385492801666,0,22
298.6607666015625,2018-03-01,R_A2,1646.4771728515625,0.0,4,STANDARD,30,4,298.6607666015625,0.06768026947975159,0,22
298.7810363769531,2018-03-01,R_A2,1648.2713623046875,0.0,5,STANDARD,30,5,298.7810363769531,0.06884768605232239,0,22
298.9117736816406,2018-03-01,R_A2,1650.0654296875,0.0,6,STANDARD,30,6,298.9117736816406,0.31074196100234985,0,22
299.04229736328125,2018-03-01,R_A2,1651.859619140625,0.0,7,STANDARD,30,7,299.04229736328125,0.8913019895553589,0,22
299.1690673828125,2018-03-01,R_A2,1653.6536865234375,0.0,8,STANDARD,30,8,299.1690673828125,0.8773342967033386,0,22
299.45086669921875,2018-03-01,R_A2,1655.44775390625,0.0,9,STANDARD,30,9,299.45086669921875,0.9037741422653198,0,22
299.7224426269531,2018-03-01,R_A2,1657.2418212890625,0.0,10,STANDARD,30,10,299.7224426269531,0.9149118065834045,0,22
299.8211364746094,2018-03-01,R_A2,1659.1368408203125,0.0,11,STANDARD,30,11,299.8211364746094,0.07616956532001495,0,22
299.953857421875,2018-03-01,R_A2,1661.132568359375,0.0,12,STANDARD,30,12,299.953857421875,0.07721949368715286,0,22
300.1005554199219,2018-03-01,R_A2,1663.12841796875,0.0,13,STANDARD,30,13,300.1005554199219,0.4618425667285919,0,22
300.2356872558594,2018-03-01,R_A2,1665.1241455078125,0.0,14,STANDARD,30,14,300.2356872558594,0.5063297152519226,0,22
300.3766784667969,2018-03-01,R_A2,1667.1199951171875,0.0,15,STANDARD,30,15,300.3766784667969,0.6889364123344421,0,22
300.5110778808594,2018-03-01,R_A2,1669.11572265625,0.0,16,STANDARD,30,16,300.5110778808594,0.9703992605209351,0,22
300.6455383300781,2018-03-01,R_A2,1671.111572265625,0.0,17,STANDARD,30,17,300.6455383300781,0.9495909810066223,0,22
300.7715759277344,2018-03-01,R_A2,1672.9881591796875,0.0,18,STANDARD,30,18,300.7715759277344,0.9828845858573914,0,22
300.78509521484375,2018-03-01,R_A2,1674.229736328125,0.0,19,STANDARD,29,18,300.78509521484375,0.9966233968734741,0,22
302.4435119628906,2018-03-01,R_A2,1676.1676025390625,1.7810375570193049e-12,20,STANDARD,29,27,302.4435119628906,1.0,0,22
303.2335205078125,2018-03-01,R_A2,1677.9368896484375,8.020112513471436e-20,21,STANDARD,29,28,303.2335205078125,1.0,0,22
303.5368347167969,2018-03-01,R_A2,1679.7061767578125,3.884241762448976e-20,22,STANDARD,29,29,303.5368347167969,1.0,0,22
303.7477111816406,2018-03-01,R_A2,1681.4754638671875,1.1248364668807629e-20,23,STANDARD,29,30,303.7477111816406,1.0,0,22
303.9209899902344,2018-03-01,R_A2,1683.2447509765625,-8.476954995379097e-21,24,STANDARD,29,31,303.9209899902344,1.0,0,22
274.2500915527344,2018-04-28,R_A5,1685.026611328125,-2.0896402758651365e-14,1,STANDARD,20,1,274.2500915527344,1.0,0,31
274.466064453125,2018-04-28,R_A5,1687.3070068359375,-2.128325964632135e-14,2,STANDARD,20,2,274.466064453125,1.0,0,31
274.68206787109375,2018-04-28,R_A5,1689.5875244140625,-1.9396410747083564e-14,3,STANDARD,20,3,274.68206787109375,1.0,0,31
274.8977355957031,2018-04-28,R_A5,1691.8680419921875,-2.1011731376617722e-14,4,STANDARD,20,4,274.8977355957031,1.0,0,31
275.1132507324219,2018-04-28,R_A5,1694.1485595703125,-2.033996987494107e-14,5,STANDARD,20,5,275.1132507324219,1.0,0,31
275.3288879394531,2018-04-28,R_A5,1696.4290771484375,-1.6002197261505077e-14,6,STANDARD,20,6,275.3288879394531,1.0,0,31
275.865478515625,2018-04-28,R_A5,1698.70947265625,-4.889682764724424e-15,7,STANDARD,20,7,275.865478515625,1.0,0,31
278.6866149902344,2018-04-28,R_A5,1707.6488037109375,3.9624701089757686e-12,8,STANDARD,20,11,278.6866149902344,1.0,0,31
278.864501953125,2018-04-28,R_A5,1709.5638427734375,1.6343914069349985e-12,9,STANDARD,20,12,278.864501953125,1.0,0,31
276.7963562011719,2018-04-28,R_A5,1701.7845458984375,-1.8779373889277196e-11,10,STANDARD,21,12,276.7963562011719,1.0,0,31
