SGAS,DEPTH,PRESSURE,CONIDX,CONJPOS,WELL,SWAT,DATE,CONIPOS,WELLMODEL,DRAWDOWN,CONKPOS,CONBPRES
-1.3291319028261045e-18,1682.23486328125,303.3899841308594,25,29,R_A2,1.0,2018-03-01,22,STANDARD,0,30,303.3899841308594
-1.314734301651908e-14,1684.90576171875,281.4179992675781,1,20,R_A5,1.0,2018-04-28,31,STANDARD,0,1,281.4179992675781
-1.5518801521618997e-11,1687.1348876953125,281.6294860839844,2,20,R_A5,1.0,2018-04-28,31,STANDARD,0,2,281.6294860839844
-1.3163958638429119e-11,1689.364013671875,281.8404846191406,3,20,R_A5,1.0,2018-04-28,31,STANDARD,0,3,281.8404846191406
-1.4687175087235715e-11,1691.59326171875,282.0515441894531,4,20,R_A5,1.0,2018-04-28,31,STANDARD,0,4,282.0515441894531
-1.1944578139078121e-11,1693.8223876953125,282.2625427246094,5,20,R_A5,1.0,2018-04-28,31,STANDARD,0,5,282.2625427246094
-1.0965651130179221e-11,1696.051513671875,282.4735107421875,6,20,R_A5,1.0,2018-04-28,31,STANDARD,0,6,282.4735107421875
-4.456608964243519e-13,1698.280517578125,282.9129638671875,7,20,R_A5,1.0,2018-04-28,31,STANDARD,0,7,282.9129638671875
-1.6824916297415032e-13,1707.03466796875,274.0512390136719,8,20,R_A5,1.0,2018-04-28,31,STANDARD,0,11,274.0512390136719
-1.4154544723810059e-11,1699.75390625,272.4798889160156,9,21,R_A5,1.0,2018-04-28,31,STANDARD,0,11,272.4798889160156
-1.0816405930647033e-11,1701.746337890625,272.62890625,10,21,R_A5,1.0,2018-04-28,31,STANDARD,0,12,272.62890625
-2.7128147818411552e-12,1703.73876953125,272.89764404296875,11,21,R_A5,1.0,2018-04-28,31,STANDARD,0,13,272.89764404296875
-6.553657790064893e-12,1705.731201171875,273.08868408203125,12,21,R_A5,1.0,2018-04-28,31,STANDARD,0,14,273.08868408203125
-1.728473809393949e-12,1707.7235107421875,273.2796936035156,13,21,R_A5,1.0,2018-04-28,31,STANDARD,0,15,273.2796936035156
-1.1920277048424466e-12,1709.7159423828125,273.6259765625,14,21,R_A5,1.0,2018-04-28,31,STANDARD,0,16,273.6259765625
-2.912145080202072e-13,1711.7083740234375,273.8392639160156,15,21,R_A5,1.0,2018-04-28,31,STANDARD,0,17,273.8392639160156
-5.663689460998211e-13,1713.543212890625,274.0359191894531,16,21,R_A5,1.0,2018-04-28,31,STANDARD,0,18,274.0359191894531
0.0,1714.5543212890625,274.1393127441406,17,21,R_A5,1.0,2018-04-28,31,STANDARD,0,19,274.1393127441406
-9.364283437215959e-13,1715.8935546875,275.29364013671875,18,21,R_A5,1.0,2018-04-28,31,STANDARD,0,26,275.29364013671875
-7.701371007931557e-13,1718.2274169921875,275.5300598144531,19,21,R_A5,1.0,2018-04-28,31,STANDARD,0,27,275.5300598144531
-5.829213508729931e-20,1720.561279296875,290.16473388671875,20,21,R_A5,1.0,2018-04-28,31,STANDARD,0,28,290.16473388671875
-6.695470690797525e-22,1722.8951416015625,301.5820617675781,21,21,R_A5,1.0,2018-04-28,31,STANDARD,0,29,301.5820617675781
-2.1460887956903893e-24,1725.22900390625,306.2186584472656,22,21,R_A5,1.0,2018-04-28,31,STANDARD,0,30,306.2186584472656
0.0,1612.149169921875,292.5478515625,1,41,R_A3,0.6485525369644165,2018-07-03,28,STANDARD,0,1,292.5478515625
0.0,1614.3140869140625,292.68963623046875,2,41,R_A3,0.19746656715869904,2018-07-03,28,STANDARD,0,2,292.68963623046875
0.0,1616.47900390625,292.83441162109375,3,41,R_A3,0.19626183807849884,2018-07-03,28,STANDARD,0,3,292.83441162109375
0.0,1618.64404296875,292.9793701171875,4,41,R_A3,0.3245001435279846,2018-07-03,28,STANDARD,0,4,292.9793701171875
0.0,1620.8089599609375,293.11212158203125,5,41,R_A3,0.6486305594444275,2018-07-03,28,STANDARD,0,5,293.11212158203125
0.0,1622.973876953125,293.26129150390625,6,41,R_A3,0.6485533118247986,2018-07-03,28,STANDARD,0,6,293.26129150390625
0.0,1607.468994140625,292.226806640625,7,41,R_A3,0.6487185955047607,2018-07-03,29,STANDARD,0,6,292.226806640625
0.0,1609.574462890625,292.3736267089844,8,41,R_A3,0.1929367333650589,2018-07-03,29,STANDARD,0,7,292.3736267089844
0.0,1611.6800537109375,292.5146789550781,9,41,R_A3,0.19290554523468018,2018-07-03,29,STANDARD,0,8,292.5146789550781
0.0,1613.78564453125,292.7081604003906,10,41,R_A3,0.7873027324676514,2018-07-03,29,STANDARD,0,9,292.7081604003906
0.0,1615.89111328125,293.6658020019531,11,41,R_A3,0.7942235469818115,2018-07-03,29,STANDARD,0,10,293.6658020019531
0.0,1618.0555419921875,289.7409362792969,12,41,R_A3,0.04724700003862381,2018-07-03,29,STANDARD,0,11,289.7409362792969
0.0,1620.27880859375,289.8896179199219,13,41,R_A3,0.050644878298044205,2018-07-03,29,STANDARD,0,12,289.8896179199219
0.0,1622.502197265625,290.0379638671875,14,41,R_A3,0.3615451455116272,2018-07-03,29,STANDARD,0,13,290.0379638671875
0.0,1624.7254638671875,290.18377685546875,15,41,R_A3,0.3783275783061981,2018-07-03,29,STANDARD,0,14,290.18377685546875
0.0,1626.94873046875,290.32861328125,16,41,R_A3,0.3483426570892334,2018-07-03,29,STANDARD,0,15,290.32861328125
0.0,1629.135498046875,290.4508972167969,17,41,R_A3,0.7836306095123291,2018-07-03,29,STANDARD,0,16,290.4508972167969
0.0,1630.347412109375,289.9659423828125,18,41,R_A3,0.7669714689254761,2018-07-03,29,STANDARD,0,17,289.9659423828125
0.0,1632.3658447265625,286.8050842285156,19,41,R_A3,0.13653838634490967,2018-07-03,29,STANDARD,0,26,286.8050842285156
0.0,1636.12939453125,287.0528564453125,20,41,R_A3,0.04568282142281532,2018-07-03,29,STANDARD,0,27,287.0528564453125
0.0,1639.892822265625,287.3043212890625,21,41,R_A3,0.048779815435409546,2018-07-03,29,STANDARD,0,28,287.3043212890625
0.0,1643.65625,293.8714599609375,22,41,R_A3,0.7700902223587036,2018-07-03,29,STANDARD,0,29,293.8714599609375
0.0,1647.4197998046875,287.7757263183594,23,41,R_A3,0.06060484051704407,2018-07-03,29,STANDARD,0,30,287.7757263183594
0.0,1629.8663330078125,286.1131286621094,1,52,R_A4,0.050751250237226486,2018-09-12,30,STANDARD,0,1,286.1131286621094
0.0,1626.97265625,285.91607666015625,2,52,R_A4,0.04783203452825546,2018-09-12,31,STANDARD,0,1,285.91607666015625
