CONKPOS,CONBPRES,CONIDX,SWAT,CONJPOS,WELL,SGAS,WELLMODEL,CONIPOS,DEPTH,DATE,DRAWDOWN,PRESSURE
15,273.2983703613281,13,1.0,21,R_A5,-5.530077784587917e-11,STANDARD,31,1707.63623046875,2018-04-28,0,273.2983703613281
16,273.922607421875,14,1.0,21,R_A5,-5.429766358755472e-11,STANDARD,31,1709.5867919921875,2018-04-28,0,273.922607421875
17,274.12432861328125,15,1.0,21,R_A5,-6.2788927703005815e-12,STANDARD,31,1711.537353515625,2018-04-28,0,274.12432861328125
18,274.3154296875,16,1.0,21,R_A5,-9.52771108536643e-12,STANDARD,31,1713.35400390625,2018-04-28,0,274.3154296875
19,274.4220275878906,17,1.0,21,R_A5,0.0,STANDARD,31,1714.3951416015625,2018-04-28,0,274.4220275878906
27,274.4004211425781,18,1.0,21,R_A5,-1.688642801978002e-11,STANDARD,31,1715.7628173828125,2018-04-28,0,274.4004211425781
28,274.6077575683594,19,1.0,21,R_A5,-2.134157260635927e-11,STANDARD,31,1718.098388671875,2018-04-28,0,274.6077575683594
29,290.9022216796875,20,1.0,21,R_A5,-3.710357928685702e-18,STANDARD,31,1720.43408203125,2018-04-28,0,290.9022216796875
30,302.354248046875,21,1.0,21,R_A5,-2.8047119972016597e-19,STANDARD,31,1722.7696533203125,2018-04-28,0,302.354248046875
31,306.410888671875,22,1.0,21,R_A5,1.3636600694929444e-20,STANDARD,31,1725.105224609375,2018-04-28,0,306.410888671875
1,280.4997863769531,1,0.30855727195739746,41,R_A3,0.0,STANDARD,28,1609.243408203125,2018-07-03,0,280.4997863769531
2,280.63787841796875,2,0.20041069388389587,41,R_A3,0.0,STANDARD,28,1611.3077392578125,2018-07-03,0,280.63787841796875
3,280.7757873535156,3,0.20094428956508636,41,R_A3,0.0,STANDARD,28,1613.3720703125,2018-07-03,0,280.7757873535156
4,280.9364013671875,4,0.37422096729278564,41,R_A3,0.0,STANDARD,28,1615.4365234375,2018-07-03,0,280.9364013671875
5,281.2984313964844,5,0.8185010552406311,41,R_A3,0.0,STANDARD,28,1617.5008544921875,2018-07-03,0,281.2984313964844
6,281.44091796875,6,0.2669157385826111,41,R_A3,0.0,STANDARD,28,1619.565185546875,2018-07-03,0,281.44091796875
6,280.7889709472656,7,0.6493116617202759,41,R_A3,0.0,STANDARD,29,1609.3663330078125,2018-07-03,0,280.7889709472656
7,280.9239807128906,8,0.19481702148914337,41,R_A3,0.0,STANDARD,29,1611.4163818359375,2018-07-03,0,280.9239807128906
8,281.0606994628906,9,0.19898861646652222,41,R_A3,0.0,STANDARD,29,1613.46630859375,2018-07-03,0,281.0606994628906
9,281.3165283203125,10,0.7968787550926208,41,R_A3,0.0,STANDARD,29,1615.516357421875,2018-07-03,0,281.3165283203125
10,285.44073486328125,11,0.8003184199333191,41,R_A3,0.0,STANDARD,29,1617.5662841796875,2018-07-03,0,285.44073486328125
11,286.36669921875,12,0.04971194639801979,41,R_A3,0.0,STANDARD,29,1619.750732421875,2018-07-03,0,286.36669921875
12,286.5216369628906,13,0.05374224856495857,41,R_A3,0.0,STANDARD,29,1622.0697021484375,2018-07-03,0,286.5216369628906
13,286.6772766113281,14,0.3771481215953827,41,R_A3,0.0,STANDARD,29,1624.388671875,2018-07-03,0,286.6772766113281
15,287.9869689941406,15,0.5017171502113342,41,R_A3,0.0,STANDARD,29,1629.026611328125,2018-07-03,0,287.9869689941406
16,288.129150390625,16,0.8145357370376587,41,R_A3,0.0,STANDARD,29,1630.9468994140625,2018-07-03,0,288.129150390625
27,286.6434326171875,17,0.7528969645500183,41,R_A3,0.0,STANDARD,29,1633.5262451171875,2018-07-03,0,286.6434326171875
28,286.7818603515625,18,0.0464119054377079,41,R_A3,0.0,STANDARD,29,1637.1630859375,2018-07-03,0,286.7818603515625
29,287.0249328613281,19,0.0524790957570076,41,R_A3,0.0,STANDARD,29,1640.8001708984375,2018-07-03,0,287.0249328613281
