PRESSURE,CONIDX,CONJPOS,DATE,CONBPRES,CONIPOS,SGAS,CONKPOS,SWAT,WELLMODEL,DEPTH,DRAWDOWN,WELL
300.2046203613281,19,29,2018-03-01,300.2046203613281,22,-2.7733473295654676e-09,18,0.9999999403953552,STANDARD,1677.4215087890625,0,R_A2
303.1994934082031,20,29,2018-03-01,303.1994934082031,22,-2.667496803921332e-16,25,1.0,STANDARD,1678.6815185546875,0,R_A2
303.2769775390625,21,29,2018-03-01,303.2769775390625,22,-4.474696058459912e-17,26,1.0,STANDARD,1680.4017333984375,0,R_A2
303.5502624511719,22,29,2018-03-01,303.5502624511719,22,-3.171857807803577e-17,27,1.0,STANDARD,1682.121826171875,0,R_A2
303.241455078125,23,29,2018-03-01,303.241455078125,22,-2.4198339985265046e-17,28,1.0,STANDARD,1683.842041015625,0,R_A2
302.85137939453125,24,29,2018-03-01,302.85137939453125,22,-5.729701008626038e-15,29,1.0,STANDARD,1685.562255859375,0,R_A2
281.5254211425781,1,20,2018-04-28,281.5254211425781,31,-7.211802335871376e-12,1,1.0,STANDARD,1685.7008056640625,0,R_A5
281.73419189453125,2,20,2018-04-28,281.73419189453125,31,-1.0637516041633877e-11,2,1.0,STANDARD,1687.8983154296875,0,R_A5
281.9437561035156,3,20,2018-04-28,281.9437561035156,31,-3.2644751485344514e-11,3,1.0,STANDARD,1690.095947265625,0,R_A5
282.1538391113281,4,20,2018-04-28,282.1538391113281,31,-1.2085042688791958e-10,4,1.0,STANDARD,1692.29345703125,0,R_A5
282.3631286621094,5,20,2018-04-28,282.3631286621094,31,-1.0998432720121798e-10,5,1.0,STANDARD,1694.4910888671875,0,R_A5
282.5716857910156,6,20,2018-04-28,282.5716857910156,31,-7.867204804279382e-11,6,1.0,STANDARD,1696.6885986328125,0,R_A5
283.11212158203125,7,20,2018-04-28,283.11212158203125,31,-3.731128904102543e-13,7,1.0,STANDARD,1698.88623046875,0,R_A5
283.57470703125,8,20,2018-04-28,283.57470703125,31,0.0,8,1.0,STANDARD,1701.083740234375,0,R_A5
277.5169982910156,9,21,2018-04-28,277.5169982910156,31,-2.160693499120292e-11,11,1.0,STANDARD,1700.3206787109375,0,R_A5
277.7069091796875,10,21,2018-04-28,277.7069091796875,31,-2.3239042634681795e-11,12,1.0,STANDARD,1702.32568359375,0,R_A5
277.9087829589844,11,21,2018-04-28,277.9087829589844,31,-8.708726014633461e-13,13,1.0,STANDARD,1704.330810546875,0,R_A5
278.0988464355469,12,21,2018-04-28,278.0988464355469,31,-1.385111535016914e-12,14,1.0,STANDARD,1706.335693359375,0,R_A5
278.921875,13,21,2018-04-28,278.921875,31,-2.5701153445051306e-13,15,1.0,STANDARD,1708.3406982421875,0,R_A5
279.6650390625,14,21,2018-04-28,279.6650390625,31,-3.713373467224834e-14,16,1.0,STANDARD,1710.345703125,0,R_A5
279.8599548339844,15,21,2018-04-28,279.8599548339844,31,-4.033126710747438e-14,17,1.0,STANDARD,1712.3507080078125,0,R_A5
