SGAS,CONIPOS,CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIDX,CONBPRES,CONJPOS,WELL,DATE,DEPTH,DRAWDOWN
0.0,17,17,1.0,307.67828369140625,STANDARD,17,307.67828369140625,42,R_A6,2018-01-01,1723.8267822265625,0
0.0,17,18,1.0,307.81085205078125,STANDARD,18,307.81085205078125,42,R_A6,2018-01-01,1725.2254638671875,0
0.0,17,27,1.0,307.7568664550781,STANDARD,19,307.7568664550781,42,R_A6,2018-01-01,1726.3134765625,0
0.0,17,28,1.0,308.2239685058594,STANDARD,20,308.2239685058594,42,R_A6,2018-01-01,1728.0155029296875,0
0.0,17,29,1.0,308.3852844238281,STANDARD,21,308.3852844238281,42,R_A6,2018-01-01,1729.717529296875,0
0.0,17,30,1.0,308.5466003417969,STANDARD,22,308.5466003417969,42,R_A6,2018-01-01,1731.419677734375,0
0.0,17,31,1.0,308.4021301269531,STANDARD,23,308.4021301269531,42,R_A6,2018-01-01,1733.1217041015625,0
0.0,22,1,0.053613319993019104,298.43048095703125,STANDARD,1,298.43048095703125,30,R_A2,2018-03-01,1641.1629638671875,0
0.0,22,2,0.05569334328174591,298.55169677734375,STANDARD,2,298.55169677734375,30,R_A2,2018-03-01,1642.9720458984375,0
0.0,22,3,0.057181257754564285,298.67291259765625,STANDARD,3,298.67291259765625,30,R_A2,2018-03-01,1644.78125,0
0.0,22,4,0.06142982840538025,298.7940979003906,STANDARD,4,298.7940979003906,30,R_A2,2018-03-01,1646.59033203125,0
0.0,22,5,0.06615230441093445,298.915283203125,STANDARD,5,298.915283203125,30,R_A2,2018-03-01,1648.3995361328125,0
0.0,22,6,0.6488208770751953,299.01885986328125,STANDARD,6,299.01885986328125,30,R_A2,2018-03-01,1650.208740234375,0
0.0,22,7,0.8733936548233032,299.1554260253906,STANDARD,7,299.1554260253906,30,R_A2,2018-03-01,1652.017822265625,0
0.0,22,8,0.8625690937042236,299.2839050292969,STANDARD,8,299.2839050292969,30,R_A2,2018-03-01,1653.8270263671875,0
0.0,22,9,0.8896207213401794,299.5503234863281,STANDARD,9,299.5503234863281,30,R_A2,2018-03-01,1655.6361083984375,0
0.0,22,10,0.8884707689285278,299.90142822265625,STANDARD,10,299.90142822265625,30,R_A2,2018-03-01,1657.4453125,0
0.0,22,11,0.06896595656871796,299.63092041015625,STANDARD,11,299.63092041015625,30,R_A2,2018-03-01,1659.42333984375,0
0.0,22,12,0.07342580705881119,299.7591247558594,STANDARD,12,299.7591247558594,30,R_A2,2018-03-01,1661.5703125,0
0.0,22,13,0.4355439245700836,299.9517822265625,STANDARD,13,299.9517822265625,30,R_A2,2018-03-01,1663.71728515625,0
0.0,22,14,0.46700435876846313,300.0975036621094,STANDARD,14,300.0975036621094,30,R_A2,2018-03-01,1665.8641357421875,0
0.0,22,15,0.9089420437812805,300.2477722167969,STANDARD,15,300.2477722167969,30,R_A2,2018-03-01,1668.0111083984375,0
0.0,22,16,0.9283091425895691,300.3999938964844,STANDARD,16,300.3999938964844,30,R_A2,2018-03-01,1670.1580810546875,0
0.0,22,17,0.8838924169540405,300.5498046875,STANDARD,17,300.5498046875,30,R_A2,2018-03-01,1672.304931640625,0
0.0,22,18,0.9538348317146301,300.6647033691406,STANDARD,18,300.6647033691406,30,R_A2,2018-03-01,1674.013671875,0
0.0,22,27,0.6509015560150146,301.5232238769531,STANDARD,19,301.5232238769531,30,R_A2,2018-03-01,1675.687255859375,0
-5.649395014295511e-12,22,28,1.0,301.7354431152344,STANDARD,20,301.7354431152344,30,R_A2,2018-03-01,1677.445556640625,0
0.0,22,28,0.8399300575256348,301.8565979003906,STANDARD,21,301.8565979003906,29,R_A2,2018-03-01,1678.7459716796875,0
0.0,22,29,0.6497997641563416,301.49560546875,STANDARD,22,301.49560546875,29,R_A2,2018-03-01,1680.552978515625,0
0.0,22,30,0.9999996423721313,301.958251953125,STANDARD,23,301.958251953125,29,R_A2,2018-03-01,1682.360107421875,0
0.0,22,31,0.9999983906745911,302.1337585449219,STANDARD,24,302.1337585449219,29,R_A2,2018-03-01,1684.167236328125,0
-3.3435185731178763e-09,31,1,0.9999999403953552,282.20623779296875,STANDARD,1,282.20623779296875,20,R_A5,2018-04-28,1683.433349609375,0
-3.484073252124631e-09,31,2,0.9999999403953552,282.41900634765625,STANDARD,2,282.41900634765625,20,R_A5,2018-04-28,1685.6802978515625,0
-3.7846143996489445e-09,31,3,0.9999999403953552,282.6317138671875,STANDARD,3,282.6317138671875,20,R_A5,2018-04-28,1687.92724609375,0
-3.744384802217837e-09,31,4,0.9999999403953552,282.8443908691406,STANDARD,4,282.8443908691406,20,R_A5,2018-04-28,1690.1741943359375,0
