CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS,DEPTH,DRAWDOWN,SWAT,WELL,SGAS,DATE,CONJPOS,CONIDX
17,308.68927001953125,308.68927001953125,STANDARD,30,1732.9249267578125,0,1.0,R_A6,0.0,2018-01-01,42,22
17,308.5469665527344,308.5469665527344,STANDARD,31,1734.649658203125,0,1.0,R_A6,0.0,2018-01-01,42,23
22,296.7214660644531,296.7214660644531,STANDARD,1,1641.094970703125,0,0.056714847683906555,R_A2,0.0,2018-03-01,30,1
22,296.8416442871094,296.8416442871094,STANDARD,2,1642.8890380859375,0,0.05870179459452629,R_A2,0.0,2018-03-01,30,2
22,296.9617614746094,296.9617614746094,STANDARD,3,1644.68310546875,0,0.06194719299674034,R_A2,0.0,2018-03-01,30,3
22,297.0819091796875,297.0819091796875,STANDARD,4,1646.4771728515625,0,0.06777585297822952,R_A2,0.0,2018-03-01,30,4
22,297.2020568847656,297.2020568847656,STANDARD,5,1648.2713623046875,0,0.07117974758148193,R_A2,0.0,2018-03-01,30,5
22,297.3429870605469,297.3429870605469,STANDARD,6,1650.0654296875,0,0.32163819670677185,R_A2,0.0,2018-03-01,30,6
22,297.505859375,297.505859375,STANDARD,7,1651.859619140625,0,0.8947138786315918,R_A2,0.0,2018-03-01,30,7
22,297.68939208984375,297.68939208984375,STANDARD,8,1653.6536865234375,0,0.7222762703895569,R_A2,0.0,2018-03-01,30,8
22,298.2166442871094,298.2166442871094,STANDARD,9,1655.44775390625,0,0.8977823257446289,R_A2,0.0,2018-03-01,30,9
22,298.9871826171875,298.9871826171875,STANDARD,10,1657.2418212890625,0,0.9283904433250427,R_A2,0.0,2018-03-01,30,10
22,299.4748840332031,299.4748840332031,STANDARD,11,1659.1368408203125,0,0.07646215707063675,R_A2,0.0,2018-03-01,30,11
22,299.608642578125,299.608642578125,STANDARD,12,1661.132568359375,0,0.08003232628107071,R_A2,0.0,2018-03-01,30,12
22,299.7430725097656,299.7430725097656,STANDARD,13,1663.12841796875,0,0.4421933591365814,R_A2,0.0,2018-03-01,30,13
22,299.8788146972656,299.8788146972656,STANDARD,14,1665.1241455078125,0,0.5043277144432068,R_A2,0.0,2018-03-01,30,14
22,300.02435302734375,300.02435302734375,STANDARD,15,1667.1199951171875,0,0.6874881982803345,R_A2,0.0,2018-03-01,30,15
22,300.1590576171875,300.1590576171875,STANDARD,16,1669.11572265625,0,0.9696400165557861,R_A2,0.0,2018-03-01,30,16
22,300.29461669921875,300.29461669921875,STANDARD,17,1671.111572265625,0,0.9681490063667297,R_A2,0.0,2018-03-01,30,17
22,300.4218444824219,300.4218444824219,STANDARD,18,1672.9881591796875,0,0.9883114695549011,R_A2,0.0,2018-03-01,30,18
22,300.4250793457031,300.4250793457031,STANDARD,18,1674.229736328125,0,0.9956540465354919,R_A2,0.0,2018-03-01,29,19
22,303.0145568847656,303.0145568847656,STANDARD,27,1676.1676025390625,0,1.0,R_A2,-9.980814872368525e-17,2018-03-01,29,20
22,303.466796875,303.466796875,STANDARD,28,1677.9368896484375,0,1.0,R_A2,-2.1149715793273804e-18,2018-03-01,29,21
22,303.62945556640625,303.62945556640625,STANDARD,29,1679.7061767578125,0,1.0,R_A2,1.029241500852914e-18,2018-03-01,29,22
22,303.7923889160156,303.7923889160156,STANDARD,30,1681.4754638671875,0,1.0,R_A2,-3.645334230085189e-20,2018-03-01,29,23
22,303.96685791015625,303.96685791015625,STANDARD,31,1683.2447509765625,0,1.0,R_A2,5.906081205855982e-20,2018-03-01,29,24
31,275.0158996582031,275.0158996582031,STANDARD,1,1685.026611328125,0,1.0,R_A5,-1.6448456040370413e-16,2018-04-28,20,1
31,275.2311706542969,275.2311706542969,STANDARD,2,1687.3070068359375,0,1.0,R_A5,-1.2951161556786834e-16,2018-04-28,20,2
31,275.75018310546875,275.75018310546875,STANDARD,3,1689.5875244140625,0,1.0,R_A5,-9.726199746274088e-18,2018-04-28,20,3
31,275.65753173828125,275.65753173828125,STANDARD,4,1691.8680419921875,0,1.0,R_A5,-5.010876238817569e-15,2018-04-28,20,4
31,275.8725891113281,275.8725891113281,STANDARD,5,1694.1485595703125,0,1.0,R_A5,-1.879486319453661e-14,2018-04-28,20,5
31,276.08807373046875,276.08807373046875,STANDARD,6,1696.4290771484375,0,1.0,R_A5,-1.785473285604959e-14,2018-04-28,20,6
31,276.6224670410156,276.6224670410156,STANDARD,7,1698.70947265625,0,1.0,R_A5,-1.6523054761430692e-15,2018-04-28,20,7
31,277.7867126464844,277.7867126464844,STANDARD,11,1707.6488037109375,0,1.0,R_A5,-4.695364648303613e-13,2018-04-28,20,8
31,277.9828186035156,277.9828186035156,STANDARD,12,1709.5638427734375,0,1.0,R_A5,-4.415116547102499e-13,2018-04-28,20,9
31,276.760498046875,276.760498046875,STANDARD,12,1701.7845458984375,0,1.0,R_A5,-5.4159694090616384e-11,2018-04-28,21,10
31,276.961181640625,276.961181640625,STANDARD,13,1703.735107421875,0,1.0,R_A5,-1.8821728030304907e-12,2018-04-28,21,11
31,277.1512451171875,277.1512451171875,STANDARD,14,1705.6856689453125,0,1.0,R_A5,-4.2082505015417215e-12,2018-04-28,21,12
31,277.3456726074219,277.3456726074219,STANDARD,15,1707.63623046875,0,1.0,R_A5,-1.3627823912745751e-12,2018-04-28,21,13
31,277.7481384277344,277.7481384277344,STANDARD,16,1709.5867919921875,0,1.0,R_A5,-2.475665939610794e-12,2018-04-28,21,14
31,278.4712219238281,278.4712219238281,STANDARD,17,1711.537353515625,0,1.0,R_A5,-1.9757333518787695e-13,2018-04-28,21,15
31,278.89617919921875,278.89617919921875,STANDARD,18,1713.35400390625,0,1.0,R_A5,-4.3492642755500743e-13,2018-04-28,21,16
31,279.125244140625,279.125244140625,STANDARD,19,1714.3951416015625,0,1.0,R_A5,0.0,2018-04-28,21,17
31,279.172607421875,279.172607421875,STANDARD,27,1715.7628173828125,0,1.0,R_A5,-1.1646576715193535e-12,2018-04-28,21,18
