CONBPRES,DRAWDOWN,SWAT,CONIPOS,WELLMODEL,DATE,PRESSURE,CONKPOS,CONIDX,CONJPOS,SGAS,DEPTH,WELL
307.5650634765625,0,1.0,31,STANDARD,2018-01-01,307.5650634765625,26,22,21,0.0,1721.0633544921875,R_A5
307.7767028808594,0,1.0,31,STANDARD,2018-01-01,307.7767028808594,27,23,21,0.0,1723.2965087890625,R_A5
307.9883728027344,0,1.0,31,STANDARD,2018-01-01,307.9883728027344,28,24,21,0.0,1725.52978515625,R_A5
305.0509033203125,0,1.0,17,STANDARD,2018-01-01,305.0509033203125,1,1,42,0.0,1694.53466796875,R_A6
305.19720458984375,0,1.0,17,STANDARD,2018-01-01,305.19720458984375,2,2,42,0.0,1696.0784912109375,R_A6
305.343505859375,0,1.0,17,STANDARD,2018-01-01,305.343505859375,3,3,42,0.0,1697.6221923828125,R_A6
305.48980712890625,0,1.0,17,STANDARD,2018-01-01,305.48980712890625,4,4,42,0.0,1699.166015625,R_A6
305.6361083984375,0,1.0,17,STANDARD,2018-01-01,305.6361083984375,5,5,42,0.0,1700.709716796875,R_A6
305.78240966796875,0,1.0,17,STANDARD,2018-01-01,305.78240966796875,6,6,42,0.0,1702.2535400390625,R_A6
305.6296691894531,0,1.0,17,STANDARD,2018-01-01,305.6296691894531,7,7,42,0.0,1703.79736328125,R_A6
305.7759704589844,0,1.0,17,STANDARD,2018-01-01,305.7759704589844,8,8,42,0.0,1705.341064453125,R_A6
306.2213134765625,0,1.0,17,STANDARD,2018-01-01,306.2213134765625,9,9,42,0.0,1706.884765625,R_A6
306.06182861328125,0,1.0,17,STANDARD,2018-01-01,306.06182861328125,10,10,42,0.0,1708.4287109375,R_A6
306.24615478515625,0,1.0,17,STANDARD,2018-01-01,306.24615478515625,11,11,42,0.0,1710.3721923828125,R_A6
306.46820068359375,0,1.0,17,STANDARD,2018-01-01,306.46820068359375,12,12,42,0.0,1712.7152099609375,R_A6
306.7022399902344,0,1.0,17,STANDARD,2018-01-01,306.7022399902344,13,13,42,0.0,1715.058349609375,R_A6
306.92431640625,0,1.0,17,STANDARD,2018-01-01,306.92431640625,14,14,42,0.0,1717.4014892578125,R_A6
307.1463928222656,0,1.0,17,STANDARD,2018-01-01,307.1463928222656,15,15,42,0.0,1719.74462890625,R_A6
307.5134582519531,0,1.0,17,STANDARD,2018-01-01,307.5134582519531,16,16,42,0.0,1722.087890625,R_A6
307.73553466796875,0,1.0,17,STANDARD,2018-01-01,307.73553466796875,17,17,42,0.0,1724.430908203125,R_A6
307.87115478515625,0,1.0,17,STANDARD,2018-01-01,307.87115478515625,18,18,42,0.0,1725.86181640625,R_A6
307.820068359375,0,1.0,17,STANDARD,2018-01-01,307.820068359375,24,19,42,0.0,1726.98046875,R_A6
308.2887268066406,0,1.0,17,STANDARD,2018-01-01,308.2887268066406,25,20,42,0.0,1728.6988525390625,R_A6
308.45159912109375,0,1.0,17,STANDARD,2018-01-01,308.45159912109375,26,21,42,0.0,1730.417236328125,R_A6
308.6144714355469,0,1.0,17,STANDARD,2018-01-01,308.6144714355469,27,22,42,0.0,1732.1357421875,R_A6
