WELLMODEL,DEPTH,WELL,SWAT,SGAS,CONIDX,CONKPOS,CONJPOS,CONIPOS,DRAWDOWN,CONBPRES,DATE,PRESSURE
STANDARD,1705.589599609375,R_A5,1.0,-6.405936030110318e-14,13,14,21,31,0,278.651123046875,2018-04-28,278.651123046875
STANDARD,1707.632080078125,R_A5,1.0,4.744142768518464e-14,14,15,21,31,0,278.8444519042969,2018-04-28,278.8444519042969
STANDARD,1709.6746826171875,R_A5,1.0,2.6141798280124653e-14,15,16,21,31,0,279.18878173828125,2018-04-28,279.18878173828125
STANDARD,1711.71728515625,R_A5,1.0,4.754175704372102e-14,16,17,21,31,0,279.39080810546875,2018-04-28,279.39080810546875
STANDARD,1713.3382568359375,R_A5,1.0,5.3164666679456074e-14,17,18,21,31,0,279.54937744140625,2018-04-28,279.54937744140625
STANDARD,1714.131103515625,R_A5,1.0,0.0,18,19,21,31,0,279.6259765625,2018-04-28,279.6259765625
STANDARD,1715.4779052734375,R_A5,1.0,-4.816902952897717e-12,19,26,21,31,0,286.25244140625,2018-04-28,286.25244140625
STANDARD,1717.7852783203125,R_A5,1.0,-5.220664612420878e-12,20,27,21,31,0,286.5260314941406,2018-04-28,286.5260314941406
STANDARD,1720.092529296875,R_A5,1.0,-2.0508639186317843e-19,21,28,21,31,0,297.1065368652344,2018-04-28,297.1065368652344
STANDARD,1722.3997802734375,R_A5,1.0,-2.571236327275961e-20,22,29,21,31,0,304.0252685546875,2018-04-28,304.0252685546875
STANDARD,1724.7071533203125,R_A5,1.0,-2.3553497402694717e-21,23,30,21,31,0,306.7002258300781,2018-04-28,306.7002258300781
STANDARD,1609.07861328125,R_A3,0.29203736782073975,0.0,1,1,41,28,0,283.2820129394531,2018-07-03,283.2820129394531
STANDARD,1611.10205078125,R_A3,0.17504964768886566,0.0,2,2,41,28,0,283.3809814453125,2018-07-03,283.3809814453125
STANDARD,1613.12548828125,R_A3,0.1186814084649086,0.0,3,3,41,28,0,283.5160217285156,2018-07-03,283.5160217285156
STANDARD,1615.14892578125,R_A3,0.0848228707909584,0.0,4,4,41,28,0,283.6512145996094,2018-07-03,283.6512145996094
STANDARD,1607.228515625,R_A3,0.141098290681839,0.0,5,4,41,29,0,283.05535888671875,2018-07-03,283.05535888671875
STANDARD,1609.2293701171875,R_A3,0.8003943562507629,0.0,6,5,41,29,0,283.3508605957031,2018-07-03,283.3508605957031
STANDARD,1611.230224609375,R_A3,0.27834463119506836,0.0,7,6,41,29,0,283.49603271484375,2018-07-03,283.49603271484375
STANDARD,1613.23095703125,R_A3,0.19615106284618378,0.0,8,7,41,29,0,283.62994384765625,2018-07-03,283.62994384765625
STANDARD,1615.2318115234375,R_A3,0.19589155912399292,0.0,9,8,41,29,0,283.7637634277344,2018-07-03,283.7637634277344
STANDARD,1617.232666015625,R_A3,0.7995923757553101,0.0,10,9,41,29,0,283.9728088378906,2018-07-03,283.9728088378906
STANDARD,1619.2333984375,R_A3,0.8043569326400757,0.0,11,10,41,29,0,286.3257141113281,2018-07-03,286.3257141113281
STANDARD,1621.363525390625,R_A3,0.04861002787947655,0.0,12,11,41,29,0,292.7139892578125,2018-07-03,292.7139892578125
STANDARD,1623.6229248046875,R_A3,0.054459646344184875,0.0,13,12,41,29,0,292.8652038574219,2018-07-03,292.8652038574219
STANDARD,1625.88232421875,R_A3,0.36582911014556885,0.0,14,13,41,29,0,293.0170593261719,2018-07-03,293.0170593261719
STANDARD,1628.1417236328125,R_A3,0.26286211609840393,0.0,15,14,41,29,0,293.2349548339844,2018-07-03,293.2349548339844
STANDARD,1630.401123046875,R_A3,0.506488561630249,0.0,16,15,41,29,0,293.6288757324219,2018-07-03,293.6288757324219
STANDARD,1632.1910400390625,R_A3,0.8070741295814514,0.0,17,16,41,29,0,293.74859619140625,2018-07-03,293.74859619140625
STANDARD,1634.587158203125,R_A3,0.2897891402244568,0.0,18,26,41,29,0,287.6930236816406,2018-07-03,287.6930236816406
STANDARD,1638.05908203125,R_A3,0.043305449187755585,0.0,19,27,41,29,0,287.9155578613281,2018-07-03,287.9155578613281
STANDARD,1641.531005859375,R_A3,0.04832294583320618,0.0,20,28,41,29,0,288.1476135253906,2018-07-03,288.1476135253906
STANDARD,1645.0030517578125,R_A3,0.650270938873291,0.0,21,29,41,29,0,288.3670349121094,2018-07-03,288.3670349121094
STANDARD,1648.4749755859375,R_A3,0.10072306543588638,0.0,22,30,41,29,0,288.58050537109375,2018-07-03,288.58050537109375
STANDARD,1631.3935546875,R_A4,0.04915707930922508,0.0,1,1,52,30,0,280.776611328125,2018-09-12,280.776611328125
STANDARD,1626.059326171875,R_A4,0.04815400764346123,0.0,2,1,52,31,0,280.46600341796875,2018-09-12,280.46600341796875
STANDARD,1628.1572265625,R_A4,0.04841151833534241,0.0,3,2,52,31,0,280.60595703125,2018-09-12,280.60595703125
STANDARD,1630.255126953125,R_A4,0.05014370381832123,0.0,4,3,52,31,0,280.7458801269531,2018-09-12,280.7458801269531
STANDARD,1632.3529052734375,R_A4,0.05209453031420708,0.0,5,4,52,31,0,280.8857727050781,2018-09-12,280.8857727050781
STANDARD,1634.4508056640625,R_A4,0.05286156013607979,0.0,6,5,52,31,0,281.02569580078125,2018-09-12,281.02569580078125
STANDARD,1631.981689453125,R_A4,0.0530441589653492,0.0,7,5,52,32,0,280.8973388671875,2018-09-12,280.8973388671875
STANDARD,1635.7630615234375,R_A4,0.05502621456980705,0.0,8,5,51,32,0,281.1354675292969,2018-09-12,281.1354675292969
STANDARD,1636.843017578125,R_A4,0.058355435729026794,0.0,9,5,51,33,0,281.2296142578125,2018-09-12,281.2296142578125
STANDARD,1634.9859619140625,R_A4,0.05530254915356636,0.0,10,4,51,33,0,281.1057434082031,2018-09-12,281.1057434082031
STANDARD,1642.576416015625,R_A4,0.06209243834018707,0.0,11,5,50,33,0,281.59686279296875,2018-09-12,281.59686279296875
STANDARD,1641.53564453125,R_A4,0.06138162687420845,0.0,12,5,50,34,0,281.53265380859375,2018-09-12,281.53265380859375
STANDARD,1639.638427734375,R_A4,0.06033255532383919,0.0,13,4,50,34,0,281.4060974121094,2018-09-12,281.4060974121094
STANDARD,1640.103759765625,R_A4,0.05676586925983429,0.0,14,4,50,35,0,281.42156982421875,2018-09-12,281.42156982421875
STANDARD,1638.298095703125,R_A4,0.18080997467041016,0.0,15,3,50,35,0,281.3013000488281,2018-09-12,281.3013000488281
