CONIDX,DATE,WELLMODEL,WELL,CONKPOS,DRAWDOWN,SWAT,SGAS,PRESSURE,CONIPOS,CONJPOS,DEPTH,CONBPRES
10,2018-03-01,STANDARD,R_A2,10,0,0.6482951641082764,0.0,300.06512451171875,22,30,1656.2454833984375,300.06512451171875
11,2018-03-01,STANDARD,R_A2,11,0,0.06784544885158539,0.0,300.1343078613281,22,30,1658.1395263671875,300.1343078613281
12,2018-03-01,STANDARD,R_A2,12,0,0.0657464936375618,0.0,300.26971435546875,22,30,1660.1588134765625,300.26971435546875
13,2018-03-01,STANDARD,R_A2,13,0,0.424689382314682,0.0,300.4054260253906,22,30,1662.177978515625,300.4054260253906
14,2018-03-01,STANDARD,R_A2,14,0,0.46566832065582275,0.0,300.54156494140625,22,30,1664.197265625,300.54156494140625
15,2018-03-01,STANDARD,R_A2,15,0,0.8998876214027405,0.0,300.6811218261719,22,30,1666.216552734375,300.6811218261719
16,2018-03-01,STANDARD,R_A2,16,0,0.9232713580131531,0.0,300.8206481933594,22,30,1668.23583984375,300.8206481933594
17,2018-03-01,STANDARD,R_A2,16,0,0.9334911704063416,0.0,300.8784484863281,22,29,1669.9305419921875,300.8784484863281
18,2018-03-01,STANDARD,R_A2,17,0,0.8938094973564148,0.0,301.02130126953125,22,29,1672.0614013671875,301.02130126953125
19,2018-03-01,STANDARD,R_A2,18,0,0.9568746089935303,0.0,301.1522216796875,22,29,1674.01611328125,301.1522216796875
20,2018-03-01,STANDARD,R_A2,19,0,0.964645266532898,0.0,301.220703125,22,29,1675.0372314453125,301.220703125
21,2018-03-01,STANDARD,R_A2,25,0,0.7809572815895081,0.0,302.8747863769531,22,29,1676.0787353515625,302.8747863769531
22,2018-03-01,STANDARD,R_A2,26,0,0.6700076460838318,0.0,302.1800231933594,22,29,1677.8978271484375,302.1800231933594
23,2018-03-01,STANDARD,R_A2,27,0,0.6856586933135986,0.0,302.30133056640625,22,29,1679.717041015625,302.30133056640625
24,2018-03-01,STANDARD,R_A2,28,0,1.0,-7.257678141738173e-15,303.19549560546875,22,29,1681.5361328125,303.19549560546875
25,2018-03-01,STANDARD,R_A2,29,0,1.0,-1.9912192402072757e-15,303.7009582519531,22,29,1683.355224609375,303.7009582519531
1,2018-04-28,STANDARD,R_A5,1,0,1.0,-8.182794997146914e-10,285.191162109375,31,20,1685.42626953125,285.191162109375
2,2018-04-28,STANDARD,R_A5,2,0,1.0,-8.457484157453621e-10,285.3927917480469,31,20,1687.555419921875,285.3927917480469
3,2018-04-28,STANDARD,R_A5,3,0,1.0,-8.83212891711338e-10,285.59442138671875,31,20,1689.6845703125,285.59442138671875
4,2018-04-28,STANDARD,R_A5,4,0,1.0,-9.547808099696908e-10,285.7959899902344,31,20,1691.8135986328125,285.7959899902344
5,2018-04-28,STANDARD,R_A5,5,0,1.0,-6.603972368957045e-10,285.9975280761719,31,20,1693.9427490234375,285.9975280761719
6,2018-04-28,STANDARD,R_A5,6,0,1.0,-5.112166800991247e-10,286.1990661621094,31,20,1696.07177734375,286.1990661621094
7,2018-04-28,STANDARD,R_A5,7,0,1.0,-4.473195685389397e-12,286.7299499511719,31,20,1698.200927734375,286.7299499511719
8,2018-04-28,STANDARD,R_A5,8,0,1.0,-1.7105974622899645e-11,286.9854431152344,31,20,1700.330078125,286.9854431152344
9,2018-04-28,STANDARD,R_A5,10,0,1.0,-1.3603643385373676e-11,286.69281005859375,31,21,1698.760986328125,286.69281005859375
10,2018-04-28,STANDARD,R_A5,11,0,1.0,-5.206684042247112e-12,277.7421569824219,31,21,1700.912353515625,277.7421569824219
11,2018-04-28,STANDARD,R_A5,12,0,1.0,-3.860554671081262e-12,277.9356994628906,31,21,1702.8916015625,277.9356994628906
12,2018-04-28,STANDARD,R_A5,13,0,1.0,-2.1377521877263134e-13,278.13531494140625,31,21,1704.870849609375,278.13531494140625
13,2018-04-28,STANDARD,R_A5,14,0,1.0,-1.8600102198468998e-13,278.3230285644531,31,21,1706.8502197265625,278.3230285644531
14,2018-04-28,STANDARD,R_A5,15,0,1.0,-5.5141353587145545e-14,278.511962890625,31,21,1708.8294677734375,278.511962890625
15,2018-04-28,STANDARD,R_A5,16,0,1.0,-1.0460275833988793e-14,278.8497619628906,31,21,1710.8087158203125,278.8497619628906
16,2018-04-28,STANDARD,R_A5,17,0,1.0,-1.3429314355429406e-14,279.0400085449219,31,21,1712.7564697265625,279.0400085449219
17,2018-04-28,STANDARD,R_A5,18,0,1.0,-1.9097851961967158e-14,279.17132568359375,31,21,1714.130859375,279.17132568359375
18,2018-04-28,STANDARD,R_A5,25,0,1.0,-6.058684793691345e-15,283.4921875,31,21,1715.9022216796875,283.4921875
19,2018-04-28,STANDARD,R_A5,26,0,1.0,-6.620696659908731e-15,283.7610168457031,31,21,1718.1309814453125,283.7610168457031
20,2018-04-28,STANDARD,R_A5,27,0,1.0,-8.52836641110222e-22,293.1959533691406,31,21,1720.3597412109375,293.1959533691406
21,2018-04-28,STANDARD,R_A5,28,0,1.0,-8.847880479037878e-24,302.6799621582031,31,21,1722.588623046875,302.6799621582031
22,2018-04-28,STANDARD,R_A5,29,0,1.0,-1.0209199328206022e-25,306.4538879394531,31,21,1724.8173828125,306.4538879394531
1,2018-07-03,STANDARD,R_A3,1,0,0.6501694917678833,0.0,273.8050231933594,28,41,1608.66552734375,273.8050231933594
2,2018-07-03,STANDARD,R_A3,2,0,0.1524273008108139,0.0,273.93402099609375,28,41,1610.6729736328125,273.93402099609375
3,2018-07-03,STANDARD,R_A3,3,0,0.11433606594800949,0.0,274.0677185058594,28,41,1612.680419921875,274.0677185058594
4,2018-07-03,STANDARD,R_A3,3,0,0.16574905812740326,0.0,273.4649353027344,29,41,1603.9576416015625,273.4649353027344
5,2018-07-03,STANDARD,R_A3,4,0,0.65228271484375,0.0,273.6013488769531,29,41,1606.070068359375,273.6013488769531
6,2018-07-03,STANDARD,R_A3,5,0,0.8086227774620056,0.0,273.9119567871094,29,41,1608.1824951171875,273.9119567871094
