CONIDX,SWAT,WELLMODEL,SGAS,WELL,DATE,CONJPOS,CONIPOS,CONBPRES,DRAWDOWN,CONKPOS,DEPTH,PRESSURE
13,1.0,STANDARD,1.8200259855078494e-19,R_A5,2018-04-28,21,31,266.291259765625,0,16,1711.7957763671875,266.291259765625
14,1.0,STANDARD,2.0921764203499796e-19,R_A5,2018-04-28,21,31,266.4758605957031,0,17,1713.7470703125,266.4758605957031
15,1.0,STANDARD,1.5890990012210943e-19,R_A5,2018-04-28,21,31,266.62493896484375,0,18,1715.3458251953125,266.62493896484375
16,1.0,STANDARD,0.0,R_A5,2018-04-28,21,31,266.7049255371094,0,19,1716.2138671875,266.7049255371094
17,1.0,STANDARD,0.0,R_A5,2018-04-28,21,31,266.73828125,0,20,1716.5806884765625,266.73828125
18,1.0,STANDARD,1.5647108940091907e-17,R_A5,2018-04-28,21,31,266.69659423828125,0,27,1717.8135986328125,266.69659423828125
19,1.0,STANDARD,1.3140238004895838e-17,R_A5,2018-04-28,21,31,266.8950500488281,0,28,1720.0355224609375,266.8950500488281
20,1.0,STANDARD,2.8029474993821523e-22,R_A5,2018-04-28,21,31,267.4102783203125,0,29,1722.257568359375,267.4102783203125
21,1.0,STANDARD,2.7295760751243525e-25,R_A5,2018-04-28,21,31,267.5633544921875,0,30,1724.4796142578125,267.5633544921875
22,1.0,STANDARD,1.0465326169223211e-23,R_A5,2018-04-28,21,31,270.1753234863281,0,31,1726.70166015625,270.1753234863281
1,0.6489142775535583,STANDARD,0.0,R_A3,2018-07-03,41,28,289.5492248535156,0,1,1608.672119140625,289.5492248535156
2,0.19379478693008423,STANDARD,0.0,R_A3,2018-07-03,41,28,289.6747741699219,0,2,1610.5888671875,289.6747741699219
3,0.19319775700569153,STANDARD,0.0,R_A3,2018-07-03,41,28,289.80291748046875,0,3,1612.5057373046875,289.80291748046875
4,0.22288252413272858,STANDARD,0.0,R_A3,2018-07-03,41,29,289.0869140625,0,3,1602.3839111328125,289.0869140625
5,0.3661843240261078,STANDARD,0.0,R_A3,2018-07-03,41,29,289.23565673828125,0,4,1604.5296630859375,289.23565673828125
6,0.8179885149002075,STANDARD,0.0,R_A3,2018-07-03,41,29,289.38885498046875,0,5,1606.675537109375,289.38885498046875
7,0.6494106650352478,STANDARD,0.0,R_A3,2018-07-03,41,29,289.4850158691406,0,6,1608.8212890625,289.4850158691406
8,0.2023833692073822,STANDARD,0.0,R_A3,2018-07-03,41,29,289.634033203125,0,7,1610.9671630859375,289.634033203125
9,0.20345661044120789,STANDARD,0.0,R_A3,2018-07-03,41,29,289.7774963378906,0,8,1613.113037109375,289.7774963378906
10,0.8076934814453125,STANDARD,0.0,R_A3,2018-07-03,41,29,289.9596252441406,0,9,1615.2589111328125,289.9596252441406
11,0.7993274927139282,STANDARD,0.0,R_A3,2018-07-03,41,29,290.6374816894531,0,10,1617.40478515625,290.6374816894531
12,0.052220419049263,STANDARD,0.0,R_A3,2018-07-03,41,29,289.82427978515625,0,11,1619.6805419921875,289.82427978515625
13,0.05644220486283302,STANDARD,0.0,R_A3,2018-07-03,41,29,289.98516845703125,0,12,1622.0863037109375,289.98516845703125
14,0.3799785375595093,STANDARD,0.0,R_A3,2018-07-03,41,29,290.1467590332031,0,13,1624.4921875,290.1467590332031
15,0.6540533900260925,STANDARD,0.0,R_A3,2018-07-03,41,29,292.6531066894531,0,15,1629.243896484375,292.6531066894531
16,0.8202692270278931,STANDARD,0.0,R_A3,2018-07-03,41,29,292.79620361328125,0,16,1631.035400390625,292.79620361328125
17,0.6489697098731995,STANDARD,0.0,R_A3,2018-07-03,41,29,289.7857666015625,0,27,1633.5782470703125,289.7857666015625
18,0.04835279658436775,STANDARD,0.0,R_A3,2018-07-03,41,29,290.0439147949219,0,28,1637.1600341796875,290.0439147949219
19,0.05183468386530876,STANDARD,0.0,R_A3,2018-07-03,41,29,290.2834777832031,0,29,1640.741943359375,290.2834777832031
20,0.6488317847251892,STANDARD,0.0,R_A3,2018-07-03,41,29,290.5059814453125,0,30,1644.3238525390625,290.5059814453125
21,0.06583625078201294,STANDARD,0.0,R_A3,2018-07-03,41,29,290.7132263183594,0,31,1647.90576171875,290.7132263183594
1,0.0542418397963047,STANDARD,0.0,R_A4,2018-09-12,52,30,282.2505187988281,0,1,1634.25830078125,282.2505187988281
2,0.051113806664943695,STANDARD,0.0,R_A4,2018-09-12,52,31,282.0212707519531,0,1,1627.1053466796875,282.0212707519531
3,0.05233662202954292,STANDARD,0.0,R_A4,2018-09-12,52,31,282.1585388183594,0,2,1629.162353515625,282.1585388183594
4,0.05501190945506096,STANDARD,0.0,R_A4,2018-09-12,52,31,282.2956848144531,0,3,1631.219482421875,282.2956848144531
5,0.1082710325717926,STANDARD,0.0,R_A4,2018-09-12,52,31,282.4326171875,0,4,1633.276611328125,282.4326171875
6,0.21661688387393951,STANDARD,0.0,R_A4,2018-09-12,52,31,282.5689697265625,0,5,1635.333740234375,282.5689697265625
7,0.05712678283452988,STANDARD,0.0,R_A4,2018-09-12,52,32,282.5279541015625,0,5,1632.122314453125,282.5279541015625
