PRESSURE,SWAT,DRAWDOWN,WELL,CONIDX,DEPTH,CONKPOS,DATE,CONBPRES,CONJPOS,WELLMODEL,SGAS,CONIPOS
306.8069152832031,1.0,0,R_A6,13,1716.162841796875,13,2018-01-01,306.8069152832031,42,STANDARD,0.0,17
307.02618408203125,1.0,0,R_A6,14,1718.4764404296875,14,2018-01-01,307.02618408203125,42,STANDARD,0.0,17
307.2454528808594,1.0,0,R_A6,15,1720.7900390625,15,2018-01-01,307.2454528808594,42,STANDARD,0.0,17
307.6097412109375,1.0,0,R_A6,16,1723.1036376953125,16,2018-01-01,307.6097412109375,42,STANDARD,0.0,17
307.82904052734375,1.0,0,R_A6,17,1725.4173583984375,17,2018-01-01,307.82904052734375,42,STANDARD,0.0,17
307.98077392578125,1.0,0,R_A6,18,1727.0184326171875,18,2018-01-01,307.98077392578125,42,STANDARD,0.0,17
307.9479675292969,1.0,0,R_A6,19,1728.329833984375,27,2018-01-01,307.9479675292969,42,STANDARD,0.0,17
308.4181213378906,1.0,0,R_A6,20,1730.06396484375,28,2018-01-01,308.4181213378906,42,STANDARD,0.0,17
308.2767028808594,1.0,0,R_A6,21,1731.7982177734375,29,2018-01-01,308.2767028808594,42,STANDARD,0.0,17
308.7468566894531,1.0,0,R_A6,22,1733.5323486328125,30,2018-01-01,308.7468566894531,42,STANDARD,0.0,17
308.6054382324219,1.0,0,R_A6,23,1735.2666015625,31,2018-01-01,308.6054382324219,42,STANDARD,0.0,17
298.6634826660156,0.06798385083675385,0,R_A2,1,1640.7344970703125,1,2018-03-01,298.6634826660156,30,STANDARD,0.0,22
298.7796325683594,0.07328314334154129,0,R_A2,2,1642.4676513671875,2,2018-03-01,298.7796325683594,30,STANDARD,0.0,22
298.89581298828125,0.058682698756456375,0,R_A2,3,1644.2008056640625,3,2018-03-01,298.89581298828125,30,STANDARD,0.0,22
299.0119934082031,0.06312037259340286,0,R_A2,4,1645.9339599609375,4,2018-03-01,299.0119934082031,30,STANDARD,0.0,22
299.128173828125,0.06558627635240555,0,R_A2,5,1647.6671142578125,5,2018-03-01,299.128173828125,30,STANDARD,0.0,22
299.2785339355469,0.300667941570282,0,R_A2,6,1649.400390625,6,2018-03-01,299.2785339355469,30,STANDARD,0.0,22
299.4068603515625,0.8737878203392029,0,R_A2,7,1651.133544921875,7,2018-03-01,299.4068603515625,30,STANDARD,0.0,22
299.5307312011719,0.8600690364837646,0,R_A2,8,1652.8665771484375,8,2018-03-01,299.5307312011719,30,STANDARD,0.0,22
299.6527404785156,0.8790788650512695,0,R_A2,9,1654.5997314453125,9,2018-03-01,299.6527404785156,30,STANDARD,0.0,22
299.9661560058594,0.8802909851074219,0,R_A2,10,1656.3330078125,10,2018-03-01,299.9661560058594,30,STANDARD,0.0,22
300.2951354980469,0.06792039424180984,0,R_A2,11,1658.2177734375,11,2018-03-01,300.2951354980469,30,STANDARD,0.0,22
300.71923828125,0.4293994605541229,0,R_A2,12,1662.2906494140625,13,2018-03-01,300.71923828125,30,STANDARD,0.0,22
300.8559265136719,0.4709260165691376,0,R_A2,13,1664.3270263671875,14,2018-03-01,300.8559265136719,30,STANDARD,0.0,22
300.9934387207031,0.9057609438896179,0,R_A2,14,1666.363525390625,15,2018-03-01,300.9934387207031,30,STANDARD,0.0,22
301.1300964355469,0.9176557660102844,0,R_A2,15,1668.39990234375,16,2018-03-01,301.1300964355469,30,STANDARD,0.0,22
301.26666259765625,0.8832237720489502,0,R_A2,16,1670.4364013671875,17,2018-03-01,301.26666259765625,30,STANDARD,0.0,22
301.4755859375,0.9711449146270752,0,R_A2,17,1675.0545654296875,18,2018-03-01,301.4755859375,29,STANDARD,0.0,22
303.1343078613281,1.0,0,R_A2,18,1676.663330078125,27,2018-03-01,303.1343078613281,29,STANDARD,-2.311910360960727e-14,22
303.25787353515625,1.0,0,R_A2,19,1678.41845703125,28,2018-03-01,303.25787353515625,29,STANDARD,-6.760141152916364e-15,22
303.38214111328125,1.0,0,R_A2,20,1680.1737060546875,29,2018-03-01,303.38214111328125,29,STANDARD,-6.023601959565493e-15,22
303.8429870605469,1.0,0,R_A2,21,1681.928955078125,30,2018-03-01,303.8429870605469,29,STANDARD,-9.730722968386875e-16,22
304.01129150390625,1.0,0,R_A2,22,1683.6842041015625,31,2018-03-01,304.01129150390625,29,STANDARD,-2.583216231576141e-16,22
265.9023132324219,1.0,0,R_A5,1,1685.346435546875,1,2018-04-28,265.9023132324219,20,STANDARD,-3.0953165378044822e-12,31
266.1189880371094,1.0,0,R_A5,2,1687.6380615234375,2,2018-04-28,266.1189880371094,20,STANDARD,-3.004243121634831e-12,31
266.3356628417969,1.0,0,R_A5,3,1689.9295654296875,3,2018-04-28,266.3356628417969,20,STANDARD,-2.723011486432947e-12,31
266.55230712890625,1.0,0,R_A5,4,1692.22119140625,4,2018-04-28,266.55230712890625,20,STANDARD,-7.320512468780849e-13,31
266.7690124511719,1.0,0,R_A5,5,1694.5126953125,5,2018-04-28,266.7690124511719,20,STANDARD,-8.059584900507732e-13,31
