PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
SW,LowerReek,Stormlands,Total,0.075539365,,0.754174,0.020649053,0.029890848,0.14748356,0.07495651,geogrid,geogrid
PERM,LowerReek,Vale,Total,1276.8466,,10000.0,0.09542892,2.6638052,4197.9316,2364.9558,geogrid,geogrid
PORO,LowerReek,Vale,Total,0.18134007,,0.42243278,0.0,0.071142726,0.28877303,0.08358525,geogrid,geogrid
SW,LowerReek,Vale,Total,0.7123212,,1.0,0.0,0.12270449,1.0,0.37064236,geogrid,geogrid
PERM,LowerReek,Westerlands,Total,1952.285,,10000.0,0.028865764,3.7175355,6397.2803,2807.5425,geogrid,geogrid
PORO,LowerReek,Westerlands,Total,0.20601116,,0.45049047,0.0,0.081359364,0.30475265,0.08431491,geogrid,geogrid
SW,LowerReek,Westerlands,Total,0.9874098,,1.0,0.043623127,1.0,1.0,0.09883998,geogrid,geogrid
PERM,MidReek,Dorne,Total,1809.4347,,10000.0,0.08125338,2.8257272,6058.4053,2752.747,geogrid,geogrid
PORO,MidReek,Dorne,Total,0.19227232,,0.4587856,0.0,0.0643629,0.2977735,0.08801753,geogrid,geogrid
SW,MidReek,Dorne,Total,0.98168826,,1.0,0.0,1.0,1.0,0.11624673,geogrid,geogrid
PERM,MidReek,IronIslands,Total,1714.4672,,10000.0,0.12877454,5.430088,5493.503,2601.5183,geogrid,geogrid
PORO,MidReek,IronIslands,Total,0.2049835,,0.4222734,0.0,0.09277883,0.29915854,0.07756693,geogrid,geogrid
SW,MidReek,IronIslands,Total,0.49357,,1.0,0.0,0.03965679,1.0,0.42438442,geogrid,geogrid
PERM,MidReek,North,Total,1398.0763,,10000.0,0.09522905,2.6378558,4964.3047,2549.237,geogrid,geogrid
PORO,MidReek,North,Total,0.1777255,,0.43865222,0.0,0.06326513,0.2906435,0.086257845,geogrid,geogrid
SW,MidReek,North,Total,0.9922793,,1.0,0.024593886,1.0,1.0,0.07852445,geogrid,geogrid
PERM,MidReek,Reach,Total,1196.1298,,10000.0,0.10801163,2.6000028,4020.497,2305.8071,geogrid,geogrid
PORO,MidReek,Reach,Total,0.17659293,,0.45063314,0.0,0.06709961,0.28393802,0.0821181,geogrid,geogrid
