DRAWDOWN,WELLMODEL,CONIPOS,WELL,CONKPOS,SWAT,CONIDX,CONBPRES,CONJPOS,PRESSURE,DEPTH,SGAS,DATE
0,STANDARD,31,R_A5,19,1.0,17,274.4352722167969,21,274.4352722167969,1714.3951416015625,0.0,2018-04-28
0,STANDARD,31,R_A5,27,1.0,18,274.40179443359375,21,274.40179443359375,1715.7628173828125,-7.354933502512484e-12,2018-04-28
0,STANDARD,31,R_A5,28,1.0,19,274.6428527832031,21,274.6428527832031,1718.098388671875,-5.331118359264142e-12,2018-04-28
0,STANDARD,31,R_A5,29,1.0,20,285.6801452636719,21,285.6801452636719,1720.43408203125,-1.162403181361414e-19,2018-04-28
0,STANDARD,31,R_A5,30,1.0,21,281.62628173828125,21,281.62628173828125,1722.7696533203125,-1.217269989707971e-16,2018-04-28
0,STANDARD,31,R_A5,31,1.0,22,298.2350769042969,21,298.2350769042969,1725.105224609375,-3.330467929916879e-20,2018-04-28
0,STANDARD,28,R_A3,1,0.13515225052833557,1,282.95770263671875,41,282.95770263671875,1609.243408203125,0.0,2018-07-03
0,STANDARD,28,R_A3,2,0.11842266470193863,2,283.0955505371094,41,283.0955505371094,1611.3077392578125,0.0,2018-07-03
0,STANDARD,28,R_A3,3,0.12275934964418411,3,283.2334289550781,41,283.2334289550781,1613.3720703125,0.0,2018-07-03
0,STANDARD,28,R_A3,4,0.24893516302108765,4,283.37237548828125,41,283.37237548828125,1615.4365234375,0.0,2018-07-03
0,STANDARD,28,R_A3,5,0.6496511101722717,5,283.5108337402344,41,283.5108337402344,1617.5008544921875,0.0,2018-07-03
0,STANDARD,28,R_A3,6,0.3412711024284363,6,283.6532287597656,41,283.6532287597656,1619.565185546875,0.0,2018-07-03
0,STANDARD,29,R_A3,6,0.6491513252258301,7,282.9769287109375,41,282.9769287109375,1609.3663330078125,0.0,2018-07-03
0,STANDARD,29,R_A3,7,0.19863103330135345,8,283.1291198730469,41,283.1291198730469,1611.4163818359375,0.0,2018-07-03
0,STANDARD,29,R_A3,8,0.20123758912086487,9,283.2658996582031,41,283.2658996582031,1613.46630859375,0.0,2018-07-03
0,STANDARD,29,R_A3,9,0.6499795317649841,10,283.4007263183594,41,283.4007263183594,1615.516357421875,0.0,2018-07-03
0,STANDARD,29,R_A3,10,0.7970871925354004,11,284.29400634765625,41,284.29400634765625,1617.5662841796875,0.0,2018-07-03
0,STANDARD,29,R_A3,11,0.05098845064640045,12,283.779296875,41,283.779296875,1619.750732421875,0.0,2018-07-03
0,STANDARD,29,R_A3,12,0.054677266627550125,13,283.93414306640625,41,283.93414306640625,1622.0697021484375,0.0,2018-07-03
0,STANDARD,29,R_A3,13,0.36853352189064026,14,284.0894470214844,41,284.0894470214844,1624.388671875,0.0,2018-07-03
0,STANDARD,29,R_A3,14,0.37197744846343994,15,284.2874755859375,41,284.2874755859375,1626.707763671875,0.0,2018-07-03
0,STANDARD,29,R_A3,15,0.48984360694885254,16,284.2341003417969,41,284.2341003417969,1629.026611328125,0.0,2018-07-03
