CONJPOS,CONIDX,PRESSURE,CONIPOS,SWAT,SGAS,WELLMODEL,DATE,WELL,DRAWDOWN,CONBPRES,CONKPOS,DEPTH
21,15,277.501708984375,31,1.0,-1.5187429493277588e-14,STANDARD,2018-04-28,R_A5,0,277.501708984375,17,1711.537353515625
21,16,277.88970947265625,31,1.0,-1.8845353134456545e-14,STANDARD,2018-04-28,R_A5,0,277.88970947265625,18,1713.35400390625
21,17,278.1056823730469,31,1.0,0.0,STANDARD,2018-04-28,R_A5,0,278.1056823730469,19,1714.3951416015625
21,18,278.1419677734375,31,1.0,-2.6086728263652326e-12,STANDARD,2018-04-28,R_A5,0,278.1419677734375,27,1715.7628173828125
21,19,278.40155029296875,31,1.0,-3.2545494077496073e-12,STANDARD,2018-04-28,R_A5,0,278.40155029296875,28,1718.098388671875
21,20,279.4436340332031,31,1.0,-1.5165824325535926e-12,STANDARD,2018-04-28,R_A5,0,279.4436340332031,29,1720.43408203125
21,21,292.0234069824219,31,1.0,3.493561913787495e-17,STANDARD,2018-04-28,R_A5,0,292.0234069824219,30,1722.7696533203125
21,22,302.4048767089844,31,1.0,3.486901548553037e-19,STANDARD,2018-04-28,R_A5,0,302.4048767089844,31,1725.105224609375
41,1,281.94683837890625,28,0.6492852568626404,0.0,STANDARD,2018-07-03,R_A3,0,281.94683837890625,1,1609.243408203125
41,2,282.0924072265625,28,0.197239950299263,0.0,STANDARD,2018-07-03,R_A3,0,282.0924072265625,2,1611.3077392578125
41,3,282.2302551269531,28,0.1977546662092209,0.0,STANDARD,2018-07-03,R_A3,0,282.2302551269531,3,1613.3720703125
41,4,282.39276123046875,28,0.38647177815437317,0.0,STANDARD,2018-07-03,R_A3,0,282.39276123046875,4,1615.4365234375
41,5,283.6834716796875,28,0.7990025281906128,0.0,STANDARD,2018-07-03,R_A3,0,283.6834716796875,5,1617.5008544921875
41,6,283.89202880859375,28,0.6492592096328735,0.0,STANDARD,2018-07-03,R_A3,0,283.89202880859375,6,1619.565185546875
41,7,282.91107177734375,29,0.649168074131012,0.0,STANDARD,2018-07-03,R_A3,0,282.91107177734375,6,1609.3663330078125
41,8,283.05908203125,29,0.19940383732318878,0.0,STANDARD,2018-07-03,R_A3,0,283.05908203125,7,1611.4163818359375
41,9,283.1962890625,29,0.19909921288490295,0.0,STANDARD,2018-07-03,R_A3,0,283.1962890625,8,1613.46630859375
41,10,283.4391784667969,29,0.7987819314002991,0.0,STANDARD,2018-07-03,R_A3,0,283.4391784667969,9,1615.516357421875
41,11,284.2809143066406,29,0.7983655333518982,0.0,STANDARD,2018-07-03,R_A3,0,284.2809143066406,10,1617.5662841796875
41,12,284.1561584472656,29,0.050625767558813095,0.0,STANDARD,2018-07-03,R_A3,0,284.1561584472656,11,1619.750732421875
41,13,284.31103515625,29,0.05453493818640709,0.0,STANDARD,2018-07-03,R_A3,0,284.31103515625,12,1622.0697021484375
41,14,284.4664611816406,29,0.37355780601501465,0.0,STANDARD,2018-07-03,R_A3,0,284.4664611816406,13,1624.388671875
41,15,285.31292724609375,29,0.4010704755783081,0.0,STANDARD,2018-07-03,R_A3,0,285.31292724609375,14,1626.707763671875
41,16,286.0699768066406,29,0.4978400468826294,0.0,STANDARD,2018-07-03,R_A3,0,286.0699768066406,15,1629.026611328125
41,17,286.2135925292969,29,0.8076097965240479,0.0,STANDARD,2018-07-03,R_A3,0,286.2135925292969,16,1630.9468994140625
41,18,288.2120056152344,29,0.9999997019767761,-2.0709352455128283e-08,STANDARD,2018-07-03,R_A3,0,288.2120056152344,27,1633.5262451171875
41,19,285.36224365234375,29,0.04387262836098671,0.0,STANDARD,2018-07-03,R_A3,0,285.36224365234375,28,1637.1630859375
41,20,285.60516357421875,29,0.05211013928055763,0.0,STANDARD,2018-07-03,R_A3,0,285.60516357421875,29,1640.8001708984375
41,21,288.7345886230469,29,0.9999999403953552,-4.824114441248639e-09,STANDARD,2018-07-03,R_A3,0,288.7345886230469,30,1644.4371337890625
41,22,286.0930480957031,29,0.06447488069534302,0.0,STANDARD,2018-07-03,R_A3,0,286.0930480957031,31,1648.0740966796875
52,1,276.40716552734375,30,0.0505133792757988,0.0,STANDARD,2018-09-12,R_A4,0,276.40716552734375,1,1631.1873779296875
52,2,276.2460021972656,31,0.08369027078151703,0.0,STANDARD,2018-09-12,R_A4,0,276.2460021972656,1,1627.4293212890625
52,3,276.3832092285156,31,0.052677784115076065,0.0,STANDARD,2018-09-12,R_A4,0,276.3832092285156,2,1629.4896240234375
52,4,276.5204772949219,31,0.05381614714860916,0.0,STANDARD,2018-09-12,R_A4,0,276.5204772949219,3,1631.5498046875
52,5,276.6577453613281,31,0.056668903678655624,0.0,STANDARD,2018-09-12,R_A4,0,276.6577453613281,4,1633.610107421875
52,6,276.64837646484375,32,0.05682354047894478,0.0,STANDARD,2018-09-12,R_A4,0,276.64837646484375,4,1632.3968505859375
51,7,276.6892395019531,32,0.06135062500834465,0.0,STANDARD,2018-09-12,R_A4,0,276.6892395019531,4,1635.880615234375
51,8,276.8335876464844,33,0.06349620223045349,0.0,STANDARD,2018-09-12,R_A4,0,276.8335876464844,4,1637.321044921875
51,9,276.7105407714844,33,0.059156231582164764,0.0,STANDARD,2018-09-12,R_A4,0,276.7105407714844,3,1635.474609375
