SGAS,CONBPRES,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,DEPTH,SWAT,WELL,CONIDX,DATE,WELLMODEL,CONIPOS
1.221770406199807e-12,285.5663146972656,285.5663146972656,0,7,20,1699.068603515625,1.0,R_A5,7,2018-04-28,STANDARD,31
3.118809030477898e-12,285.7834777832031,285.7834777832031,0,8,20,1701.24267578125,1.0,R_A5,8,2018-04-28,STANDARD,31
-3.045974861226597e-10,278.8653869628906,278.8653869628906,0,11,21,1699.5682373046875,1.0,R_A5,9,2018-04-28,STANDARD,31
-2.50136189539063e-10,279.12310791015625,279.12310791015625,0,12,21,1701.5794677734375,1.0,R_A5,10,2018-04-28,STANDARD,31
-1.2024336387694845e-11,279.3257141113281,279.3257141113281,0,13,21,1703.5906982421875,1.0,R_A5,11,2018-04-28,STANDARD,31
-1.2007600642960359e-11,279.5167236328125,279.5167236328125,0,14,21,1705.6019287109375,1.0,R_A5,12,2018-04-28,STANDARD,31
-2.720258263436137e-12,279.73638916015625,279.73638916015625,0,15,21,1707.613037109375,1.0,R_A5,13,2018-04-28,STANDARD,31
-5.725499284750524e-13,280.1021728515625,280.1021728515625,0,16,21,1709.6243896484375,1.0,R_A5,14,2018-04-28,STANDARD,31
-6.097111205673189e-13,280.30657958984375,280.30657958984375,0,17,21,1711.6356201171875,1.0,R_A5,15,2018-04-28,STANDARD,31
-8.322628068484217e-13,280.4606628417969,280.4606628417969,0,18,21,1713.193115234375,1.0,R_A5,16,2018-04-28,STANDARD,31
0.0,280.5344543457031,280.5344543457031,0,19,21,1713.9573974609375,1.0,R_A5,17,2018-04-28,STANDARD,31
-1.1659689056267575e-12,286.6827392578125,286.6827392578125,0,26,21,1715.325927734375,1.0,R_A5,18,2018-04-28,STANDARD,31
-1.1010557699961399e-12,286.916259765625,286.916259765625,0,27,21,1717.63818359375,1.0,R_A5,19,2018-04-28,STANDARD,31
-2.4074425484003296e-15,287.49713134765625,287.49713134765625,0,28,21,1719.9505615234375,1.0,R_A5,20,2018-04-28,STANDARD,31
-1.9992906291557809e-19,297.7879333496094,297.7879333496094,0,29,21,1722.2628173828125,1.0,R_A5,21,2018-04-28,STANDARD,31
-2.4228421044781868e-21,305.10430908203125,305.10430908203125,0,30,21,1724.5751953125,1.0,R_A5,22,2018-04-28,STANDARD,31
0.0,279.0283203125,279.0283203125,0,1,41,1609.59814453125,0.3269365131855011,R_A3,1,2018-07-03,STANDARD,28
0.0,279.1292724609375,279.1292724609375,0,2,41,1611.579833984375,0.19007958471775055,R_A3,2,2018-07-03,STANDARD,28
0.0,278.49658203125,278.49658203125,0,2,41,1602.22607421875,0.18642015755176544,R_A3,3,2018-07-03,STANDARD,29
0.0,278.6368408203125,278.6368408203125,0,3,41,1604.3350830078125,0.1668880134820938,R_A3,4,2018-07-03,STANDARD,29
0.0,278.7699890136719,278.7699890136719,0,4,41,1606.444091796875,0.6519416570663452,R_A3,5,2018-07-03,STANDARD,29
0.0,279.07171630859375,279.07171630859375,0,5,41,1608.5531005859375,0.806988000869751,R_A3,6,2018-07-03,STANDARD,29
0.0,279.1866760253906,279.1866760253906,0,6,41,1610.662109375,0.20403075218200684,R_A3,7,2018-07-03,STANDARD,29
0.0,279.32806396484375,279.32806396484375,0,7,41,1612.7711181640625,0.19765636324882507,R_A3,8,2018-07-03,STANDARD,29
0.0,279.46905517578125,279.46905517578125,0,8,41,1614.880126953125,0.19737601280212402,R_A3,9,2018-07-03,STANDARD,29
0.0,279.7362365722656,279.7362365722656,0,9,41,1616.9892578125,0.7959092855453491,R_A3,10,2018-07-03,STANDARD,29
0.0,284.6172790527344,284.6172790527344,0,10,41,1619.09814453125,0.7925665378570557,R_A3,11,2018-07-03,STANDARD,29
0.0,290.6557312011719,290.6557312011719,0,11,41,1621.2703857421875,0.04692874848842621,R_A3,12,2018-07-03,STANDARD,29
0.0,290.80523681640625,290.80523681640625,0,12,41,1623.505615234375,0.054309070110321045,R_A3,13,2018-07-03,STANDARD,29
0.0,290.9554443359375,290.9554443359375,0,13,41,1625.740966796875,0.3647127151489258,R_A3,14,2018-07-03,STANDARD,29
0.0,291.17169189453125,291.17169189453125,0,14,41,1627.976318359375,0.17776606976985931,R_A3,15,2018-07-03,STANDARD,29
