PRESSURE,CONKPOS,WELL,DRAWDOWN,DATE,CONIDX,CONIPOS,SGAS,CONBPRES,DEPTH,SWAT,CONJPOS,WELLMODEL
290.9884033203125,7,R_A3,0,2018-07-03,8,29,0.0,290.9884033203125,1607.5316162109375,0.19491499662399292,41,STANDARD
291.1410827636719,8,R_A3,0,2018-07-03,9,29,0.0,291.1410827636719,1609.813232421875,0.19562090933322906,41,STANDARD
291.32916259765625,9,R_A3,0,2018-07-03,10,29,0.0,291.32916259765625,1612.0948486328125,0.792502224445343,41,STANDARD
291.9110412597656,10,R_A3,0,2018-07-03,11,29,0.0,291.9110412597656,1614.37646484375,0.8009869456291199,41,STANDARD
297.40386962890625,11,R_A3,0,2018-07-03,12,29,0.0,297.40386962890625,1616.6856689453125,0.0469769649207592,41,STANDARD
297.5604248046875,12,R_A3,0,2018-07-03,13,29,0.0,297.5604248046875,1619.0223388671875,0.052168674767017365,41,STANDARD
297.71710205078125,13,R_A3,0,2018-07-03,14,29,0.0,297.71710205078125,1621.359130859375,0.14920076727867126,41,STANDARD
297.8735656738281,14,R_A3,0,2018-07-03,15,29,0.0,297.8735656738281,1623.6959228515625,0.30658379197120667,41,STANDARD
298.0727844238281,15,R_A3,0,2018-07-03,16,29,0.0,298.0727844238281,1626.03271484375,0.3623029589653015,41,STANDARD
298.1394348144531,16,R_A3,0,2018-07-03,17,29,0.0,298.1394348144531,1628.234619140625,0.8063083291053772,41,STANDARD
298.22430419921875,17,R_A3,0,2018-07-03,18,29,0.0,298.22430419921875,1629.5633544921875,0.7972438335418701,41,STANDARD
293.66455078125,25,R_A3,0,2018-07-03,19,29,0.0,293.66455078125,1631.8406982421875,0.3748249411582947,41,STANDARD
293.9246826171875,26,R_A3,0,2018-07-03,20,29,0.0,293.9246826171875,1635.8050537109375,0.04762633889913559,41,STANDARD
294.1900939941406,27,R_A3,0,2018-07-03,21,29,0.0,294.1900939941406,1639.76953125,0.052727121859788895,41,STANDARD
294.4555358886719,28,R_A3,0,2018-07-03,22,29,0.0,294.4555358886719,1643.73388671875,0.6485803127288818,41,STANDARD
294.7211608886719,29,R_A3,0,2018-07-03,23,29,0.0,294.7211608886719,1647.6983642578125,0.06669091433286667,41,STANDARD
287.834716796875,1,R_A4,0,2018-09-12,1,30,0.0,287.834716796875,1634.993896484375,0.05414103344082832,52,STANDARD
287.47723388671875,1,R_A4,0,2018-09-12,2,31,0.0,287.47723388671875,1627.7940673828125,0.05185167118906975,52,STANDARD
287.6189270019531,2,R_A4,0,2018-09-12,3,31,0.0,287.6189270019531,1629.914306640625,0.05237396061420441,52,STANDARD
287.7606201171875,3,R_A4,0,2018-09-12,4,31,0.0,287.7606201171875,1632.0345458984375,0.05357971787452698,52,STANDARD
287.90234375,4,R_A4,0,2018-09-12,5,31,0.0,287.90234375,1634.15478515625,0.05815451219677925,52,STANDARD
287.75701904296875,4,R_A4,0,2018-09-12,6,32,0.0,287.75701904296875,1630.2698974609375,0.05508739501237869,52,STANDARD
288.1596984863281,4,R_A4,0,2018-09-12,7,32,0.0,288.1596984863281,1637.4637451171875,0.06124458834528923,51,STANDARD
288.30767822265625,4,R_A4,0,2018-09-12,8,33,0.0,288.30767822265625,1637.9471435546875,0.05980674549937248,51,STANDARD
288.1842041015625,3,R_A4,0,2018-09-12,9,33,0.0,288.1842041015625,1636.100341796875,0.059530582278966904,51,STANDARD
288.71783447265625,3,R_A4,0,2018-09-12,10,33,0.0,288.71783447265625,1645.1539306640625,0.06905586272478104,50,STANDARD
288.642578125,3,R_A4,0,2018-09-12,11,34,0.0,288.642578125,1642.286376953125,0.06459812819957733,50,STANDARD
288.5135192871094,2,R_A4,0,2018-09-12,12,34,0.0,288.5135192871094,1640.355224609375,0.10160071402788162,50,STANDARD
288.5828857421875,2,R_A4,0,2018-09-12,13,35,0.0,288.5828857421875,1639.81201171875,0.1642625331878662,50,STANDARD
285.9512939453125,29,R_A4,0,2018-09-12,14,35,0.0,285.9512939453125,1642.673583984375,0.16411800682544708,49,STANDARD
285.5727233886719,28,R_A4,0,2018-09-12,15,35,0.0,285.5727233886719,1637.0029296875,0.23287862539291382,49,STANDARD
285.95855712890625,28,R_A4,0,2018-09-12,16,36,0.0,285.95855712890625,1643.039794921875,0.6558750867843628,49,STANDARD
286.0312805175781,28,R_A4,0,2018-09-12,17,36,0.0,286.0312805175781,1644.0045166015625,0.6506118178367615,48,STANDARD
286.44805908203125,28,R_A4,0,2018-09-12,18,37,0.0,286.44805908203125,1650.423583984375,0.671946108341217,48,STANDARD
286.0779113769531,27,R_A4,0,2018-09-12,19,37,0.0,286.0779113769531,1644.9674072265625,0.7415516972541809,48,STANDARD
