WELLMODEL,CONJPOS,CONKPOS,CONBPRES,DRAWDOWN,CONIDX,SGAS,DEPTH,WELL,CONIPOS,SWAT,DATE,PRESSURE
STANDARD,42,24,307.7583923339844,0,19,0.0,1726.3297119140625,R_A6,17,1.0,2018-01-01,307.7583923339844
STANDARD,42,25,308.2262878417969,0,20,0.0,1728.0399169921875,R_A6,17,1.0,2018-01-01,308.2262878417969
STANDARD,42,26,308.38836669921875,0,21,0.0,1729.75,R_A6,17,1.0,2018-01-01,308.38836669921875
STANDARD,42,27,308.5504455566406,0,22,0.0,1731.460205078125,R_A6,17,1.0,2018-01-01,308.5504455566406
STANDARD,42,28,308.4067687988281,0,23,0.0,1733.17041015625,R_A6,17,1.0,2018-01-01,308.4067687988281
STANDARD,30,1,298.7008056640625,0,1,0.0,1640.1903076171875,R_A2,22,0.05329570174217224,2018-03-01,298.7008056640625
STANDARD,30,2,298.81884765625,0,2,0.0,1641.95166015625,R_A2,22,0.055018093436956406,2018-03-01,298.81884765625
STANDARD,30,3,298.9368896484375,0,3,0.0,1643.7130126953125,R_A2,22,0.05795777961611748,2018-03-01,298.9368896484375
STANDARD,30,4,299.054931640625,0,4,0.0,1645.474365234375,R_A2,22,0.06305579096078873,2018-03-01,299.054931640625
STANDARD,30,5,299.1729431152344,0,5,0.0,1647.235595703125,R_A2,22,0.1140788123011589,2018-03-01,299.1729431152344
STANDARD,30,6,299.3050842285156,0,6,0.0,1648.9969482421875,R_A2,22,0.6523563265800476,2018-03-01,299.3050842285156
STANDARD,30,7,299.5614318847656,0,7,0.0,1650.7581787109375,R_A2,22,0.8752558827400208,2018-03-01,299.5614318847656
STANDARD,30,8,299.8395690917969,0,8,0.0,1652.51953125,R_A2,22,0.8541221022605896,2018-03-01,299.8395690917969
STANDARD,30,9,299.9898681640625,0,9,0.0,1654.2808837890625,R_A2,22,0.6483443379402161,2018-03-01,299.9898681640625
STANDARD,30,10,300.1087646484375,0,10,0.0,1656.0421142578125,R_A2,22,0.2881161868572235,2018-03-01,300.1087646484375
STANDARD,30,11,300.1809997558594,0,11,0.0,1657.9376220703125,R_A2,22,0.06795526295900345,2018-03-01,300.1809997558594
STANDARD,30,13,300.68695068359375,0,12,0.0,1661.996826171875,R_A2,22,0.42535755038261414,2018-03-01,300.68695068359375
STANDARD,30,14,300.8231506347656,0,13,0.0,1664.0264892578125,R_A2,22,0.4630098044872284,2018-03-01,300.8231506347656
STANDARD,30,15,300.9575500488281,0,14,0.0,1666.05615234375,R_A2,22,0.8956141471862793,2018-03-01,300.9575500488281
STANDARD,30,16,301.0918884277344,0,15,0.0,1668.085693359375,R_A2,22,0.9170491695404053,2018-03-01,301.0918884277344
STANDARD,30,17,301.22735595703125,0,16,0.0,1670.1153564453125,R_A2,22,0.860590934753418,2018-03-01,301.22735595703125
STANDARD,29,17,301.328369140625,0,17,0.0,1674.2032470703125,R_A2,22,0.9360331296920776,2018-03-01,301.328369140625
STANDARD,29,18,301.4561767578125,0,18,0.0,1676.1090087890625,R_A2,22,0.9845405220985413,2018-03-01,301.4561767578125
STANDARD,29,24,303.02374267578125,0,19,-2.151781357262461e-11,1677.8740234375,R_A2,22,1.0,2018-03-01,303.02374267578125
STANDARD,29,25,302.9944763183594,0,20,0.0,1679.622802734375,R_A2,22,0.7975267171859741,2018-03-01,302.9944763183594
STANDARD,29,26,303.2809753417969,0,21,-1.1886052038445616e-12,1681.37158203125,R_A2,22,1.0,2018-03-01,303.2809753417969
STANDARD,29,27,303.03399658203125,0,22,-5.888115328644972e-09,1683.1202392578125,R_A2,22,0.9999999403953552,2018-03-01,303.03399658203125
STANDARD,29,28,303.63018798828125,0,23,-2.8216632589478374e-12,1684.868896484375,R_A2,22,1.0,2018-03-01,303.63018798828125
STANDARD,20,1,281.42041015625,0,1,-3.497145073527719e-10,1685.493408203125,R_A5,31,1.0,2018-04-28,281.42041015625
STANDARD,20,2,281.6119079589844,0,2,-3.444196594593052e-10,1687.5174560546875,R_A5,31,1.0,2018-04-28,281.6119079589844
