CONJPOS,CONBPRES,CONIPOS,DRAWDOWN,SWAT,PRESSURE,DEPTH,WELL,CONKPOS,SGAS,CONIDX,DATE,WELLMODEL
21,277.05633544921875,31,0,1.0,277.05633544921875,1708.9964599609375,R_A5,15,-2.8718374249850354e-13,13,2018-04-28,STANDARD
21,277.4363098144531,31,0,1.0,277.4363098144531,1711.03369140625,R_A5,16,-1.3444281766420568e-13,14,2018-04-28,STANDARD
21,277.6605529785156,31,0,1.0,277.6605529785156,1713.0472412109375,R_A5,17,-3.747984182126546e-13,15,2018-04-28,STANDARD
21,277.7903747558594,31,0,1.0,277.7903747558594,1714.391357421875,R_A5,18,0.0,16,2018-04-28,STANDARD
21,288.203125,31,0,1.0,288.203125,1715.9775390625,R_A5,26,7.517664268874569e-11,17,2018-04-28,STANDARD
21,288.4629821777344,31,0,1.0,288.4629821777344,1718.2286376953125,R_A5,27,8.946989676905659e-11,18,2018-04-28,STANDARD
21,298.4888610839844,31,0,1.0,298.4888610839844,1720.479736328125,R_A5,28,-1.3675838459650294e-20,19,2018-04-28,STANDARD
21,304.82855224609375,31,0,1.0,304.82855224609375,1722.7308349609375,R_A5,29,-1.3102531597058067e-18,20,2018-04-28,STANDARD
21,307.1988525390625,31,0,1.0,307.1988525390625,1724.98193359375,R_A5,30,-2.6139330640504754e-20,21,2018-04-28,STANDARD
41,279.5693054199219,28,0,0.6501736044883728,279.5693054199219,1609.908935546875,R_A3,1,0.0,1,2018-07-03,STANDARD
41,279.7069091796875,28,0,0.16932037472724915,279.7069091796875,1611.97607421875,R_A3,2,0.0,2,2018-07-03,STANDARD
41,278.8890686035156,29,0,0.18306492269039154,278.8890686035156,1600.120849609375,R_A3,2,0.0,3,2018-07-03,STANDARD
41,279.0331726074219,29,0,0.118745818734169,279.0331726074219,1602.283447265625,R_A3,3,0.0,4,2018-07-03,STANDARD
41,279.17742919921875,29,0,0.15417049825191498,279.17742919921875,1604.446044921875,R_A3,4,0.0,5,2018-07-03,STANDARD
41,279.32464599609375,29,0,0.6516309976577759,279.32464599609375,1606.608642578125,R_A3,5,0.0,6,2018-07-03,STANDARD
41,279.4924621582031,29,0,0.2750731110572815,279.4924621582031,1608.771240234375,R_A3,6,0.0,7,2018-07-03,STANDARD
41,279.6363525390625,29,0,0.19420941174030304,279.6363525390625,1610.9339599609375,R_A3,7,0.0,8,2018-07-03,STANDARD
41,279.7804260253906,29,0,0.17238463461399078,279.7804260253906,1613.0965576171875,R_A3,8,0.0,9,2018-07-03,STANDARD
41,280.0283203125,29,0,0.7911377549171448,280.0283203125,1615.2591552734375,R_A3,9,0.0,10,2018-07-03,STANDARD
41,280.3099060058594,29,0,0.6500662565231323,280.3099060058594,1617.421875,R_A3,10,0.0,11,2018-07-03,STANDARD
41,283.7296447753906,29,0,0.04886185750365257,283.7296447753906,1619.665283203125,R_A3,11,0.0,12,2018-07-03,STANDARD
41,283.88482666015625,29,0,0.051825087517499924,283.88482666015625,1621.9893798828125,R_A3,12,0.0,13,2018-07-03,STANDARD
41,284.0409851074219,29,0,0.364213764667511,284.0409851074219,1624.3134765625,R_A3,13,0.0,14,2018-07-03,STANDARD
41,291.7846984863281,29,0,0.6024884581565857,291.7846984863281,1628.9617919921875,R_A3,15,0.0,15,2018-07-03,STANDARD
41,291.9550476074219,29,0,0.7984010577201843,291.9550476074219,1631.0755615234375,R_A3,16,0.0,16,2018-07-03,STANDARD
41,286.9151611328125,29,0,0.6494031548500061,286.9151611328125,1634.070068359375,R_A3,26,0.0,17,2018-07-03,STANDARD
41,287.145263671875,29,0,0.04576225206255913,287.145263671875,1637.81982421875,R_A3,27,0.0,18,2018-07-03,STANDARD
41,287.3959045410156,29,0,0.05123855918645859,287.3959045410156,1641.569580078125,R_A3,28,0.0,19,2018-07-03,STANDARD
41,289.69342041015625,29,0,1.0,289.69342041015625,1645.3194580078125,R_A3,29,-1.3326045822381616e-09,20,2018-07-03,STANDARD
41,287.8128356933594,29,0,0.05946049466729164,287.8128356933594,1649.0692138671875,R_A3,30,0.0,21,2018-07-03,STANDARD
52,281.8607177734375,30,0,0.04858190193772316,281.8607177734375,1631.6142578125,R_A4,1,0.0,1,2018-09-12,STANDARD
52,281.5559387207031,31,0,0.04842417687177658,281.5559387207031,1626.775146484375,R_A4,1,0.0,2,2018-09-12,STANDARD
52,281.6914367675781,31,0,0.08912789076566696,281.6914367675781,1628.8060302734375,R_A4,2,0.0,3,2018-09-12,STANDARD
52,281.826904296875,31,0,0.05057667940855026,281.826904296875,1630.8367919921875,R_A4,3,0.0,4,2018-09-12,STANDARD
52,281.9623718261719,31,0,0.052701082080602646,281.9623718261719,1632.8675537109375,R_A4,4,0.0,5,2018-09-12,STANDARD
52,282.09783935546875,31,0,0.15721924602985382,282.09783935546875,1634.8983154296875,R_A4,5,0.0,6,2018-09-12,STANDARD
