CONIDX,CONJPOS,PRESSURE,DATE,WELL,CONKPOS,SWAT,DRAWDOWN,CONIPOS,SGAS,DEPTH,WELLMODEL,CONBPRES
17,41,289.9041442871094,2018-07-03,R_A3,26,0.6493698954582214,0,29,0.0,1635.1414794921875,STANDARD,289.9041442871094
18,41,290.0392761230469,2018-07-03,R_A3,27,0.6492244005203247,0,29,0.0,1638.7254638671875,STANDARD,290.0392761230469
19,41,290.2955017089844,2018-07-03,R_A3,28,0.1970035880804062,0,29,0.0,1642.3094482421875,STANDARD,290.2955017089844
20,41,290.5017395019531,2018-07-03,R_A3,29,0.6527935862541199,0,29,0.0,1645.8935546875,STANDARD,290.5017395019531
21,41,290.7566223144531,2018-07-03,R_A3,30,0.06431593745946884,0,29,0.0,1649.4775390625,STANDARD,290.7566223144531
1,52,282.3512268066406,2018-09-12,R_A4,1,0.04858189448714256,0,30,0.0,1632.04345703125,STANDARD,282.3512268066406
2,52,282.08160400390625,2018-09-12,R_A4,1,0.09104470908641815,0,31,0.0,1627.2701416015625,STANDARD,282.08160400390625
3,52,282.22021484375,2018-09-12,R_A4,2,0.10105352103710175,0,31,0.0,1629.3485107421875,STANDARD,282.22021484375
4,52,282.3586730957031,2018-09-12,R_A4,3,0.1118980422616005,0,31,0.0,1631.4268798828125,STANDARD,282.3586730957031
5,52,282.49688720703125,2018-09-12,R_A4,4,0.1101965680718422,0,31,0.0,1633.5052490234375,STANDARD,282.49688720703125
6,52,282.65216064453125,2018-09-12,R_A4,4,0.05661313980817795,0,32,0.0,1635.1334228515625,STANDARD,282.65216064453125
7,51,282.5372009277344,2018-09-12,R_A4,4,0.053470537066459656,0,32,0.0,1634.4996337890625,STANDARD,282.5372009277344
8,51,282.7835998535156,2018-09-12,R_A4,4,0.05575507879257202,0,33,0.0,1637.384521484375,STANDARD,282.7835998535156
9,51,282.9095153808594,2018-09-12,R_A4,5,0.0576418936252594,0,33,0.0,1639.27001953125,STANDARD,282.9095153808594
10,50,282.88641357421875,2018-09-12,R_A4,5,0.0602235309779644,0,33,0.0,1640.1258544921875,STANDARD,282.88641357421875
11,50,282.9939270019531,2018-09-12,R_A4,5,0.06149289011955261,0,34,0.0,1641.08447265625,STANDARD,282.9939270019531
12,50,282.866455078125,2018-09-12,R_A4,4,0.06020524725317955,0,34,0.0,1639.174560546875,STANDARD,282.866455078125
13,50,282.739990234375,2018-09-12,R_A4,3,0.13644221425056458,0,34,0.0,1637.2646484375,STANDARD,282.739990234375
14,50,283.1068115234375,2018-09-12,R_A4,3,0.14504031836986542,0,35,0.0,1642.3721923828125,STANDARD,283.1068115234375
15,50,282.9868469238281,2018-09-12,R_A4,2,0.2279590219259262,0,35,0.0,1640.55810546875,STANDARD,282.9868469238281
