WELL,DEPTH,CONIPOS,PRESSURE,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,CONJPOS,SGAS
R_A5,1691.8680419921875,31,275.4395751953125,4,4,1.0,275.4395751953125,2018-04-28,0,STANDARD,20,5.160381535062805e-14
R_A5,1694.1485595703125,31,275.6551818847656,5,5,1.0,275.6551818847656,2018-04-28,0,STANDARD,20,4.943882624250037e-14
R_A5,1696.4290771484375,31,275.8709411621094,6,6,1.0,275.8709411621094,2018-04-28,0,STANDARD,20,4.949012594591788e-14
R_A5,1698.70947265625,31,276.41058349609375,7,7,1.0,276.41058349609375,2018-04-28,0,STANDARD,20,1.364837825141305e-14
R_A5,1707.6488037109375,31,277.32635498046875,11,8,1.0,277.32635498046875,2018-04-28,0,STANDARD,20,-2.5956287900280595e-13
R_A5,1709.5638427734375,31,277.8780212402344,12,9,1.0,277.8780212402344,2018-04-28,0,STANDARD,20,-5.804429745008555e-13
R_A5,1701.7845458984375,31,276.21356201171875,12,10,1.0,276.21356201171875,2018-04-28,0,STANDARD,21,-3.784300130205143e-12
R_A5,1703.735107421875,31,276.4127197265625,13,11,1.0,276.4127197265625,2018-04-28,0,STANDARD,21,-2.2999023475619995e-13
R_A5,1705.6856689453125,31,276.6014404296875,14,12,1.0,276.6014404296875,2018-04-28,0,STANDARD,21,-3.2009074210637145e-13
R_A5,1707.63623046875,31,276.8039245605469,15,13,1.0,276.8039245605469,2018-04-28,0,STANDARD,21,-6.277603084711356e-14
R_A5,1709.5867919921875,31,277.2080993652344,16,14,1.0,277.2080993652344,2018-04-28,0,STANDARD,21,-7.808944463283396e-14
R_A5,1711.537353515625,31,277.5745849609375,17,15,1.0,277.5745849609375,2018-04-28,0,STANDARD,21,-2.1468754779572358e-14
R_A5,1713.35400390625,31,277.9588623046875,18,16,1.0,277.9588623046875,2018-04-28,0,STANDARD,21,-2.813963390644117e-14
R_A5,1714.3951416015625,31,278.17279052734375,19,17,1.0,278.17279052734375,2018-04-28,0,STANDARD,21,0.0
R_A5,1715.7628173828125,31,278.20794677734375,27,18,1.0,278.20794677734375,2018-04-28,0,STANDARD,21,-2.869726374934989e-12
R_A5,1718.098388671875,31,278.4673767089844,28,19,1.0,278.4673767089844,2018-04-28,0,STANDARD,21,-3.667415329755563e-12
R_A5,1720.43408203125,31,279.5122985839844,29,20,1.0,279.5122985839844,2018-04-28,0,STANDARD,21,-1.934888447380212e-12
R_A5,1722.7696533203125,31,292.0421447753906,30,21,1.0,292.0421447753906,2018-04-28,0,STANDARD,21,-9.991147350836048e-17
R_A5,1725.105224609375,31,302.4259033203125,31,22,1.0,302.4259033203125,2018-04-28,0,STANDARD,21,-7.738728545794712e-19
R_A3,1609.243408203125,28,282.0193786621094,1,1,0.6492803692817688,282.0193786621094,2018-07-03,0,STANDARD,41,0.0
R_A3,1611.3077392578125,28,282.1648254394531,2,2,0.19722840189933777,282.1648254394531,2018-07-03,0,STANDARD,41,0.0
R_A3,1613.3720703125,28,282.30267333984375,3,3,0.19773508608341217,282.30267333984375,2018-07-03,0,STANDARD,41,0.0
R_A3,1615.4365234375,28,282.46417236328125,4,4,0.38638412952423096,282.46417236328125,2018-07-03,0,STANDARD,41,0.0
R_A3,1617.5008544921875,28,283.74285888671875,5,5,0.7992027401924133,283.74285888671875,2018-07-03,0,STANDARD,41,0.0
R_A3,1619.565185546875,28,283.9499206542969,6,6,0.6492548584938049,283.9499206542969,2018-07-03,0,STANDARD,41,0.0
R_A3,1609.3663330078125,29,282.9727478027344,6,7,0.6491640210151672,282.9727478027344,2018-07-03,0,STANDARD,41,0.0
R_A3,1611.4163818359375,29,283.12042236328125,7,8,0.19940055906772614,283.12042236328125,2018-07-03,0,STANDARD,41,0.0
R_A3,1613.46630859375,29,283.2575988769531,8,9,0.19909317791461945,283.2575988769531,2018-07-03,0,STANDARD,41,0.0
R_A3,1615.516357421875,29,283.4995422363281,9,10,0.7987894415855408,283.4995422363281,2018-07-03,0,STANDARD,41,0.0
R_A3,1617.5662841796875,29,284.32879638671875,10,11,0.7983683943748474,284.32879638671875,2018-07-03,0,STANDARD,41,0.0
R_A3,1619.750732421875,29,284.2114562988281,11,12,0.05062539875507355,284.2114562988281,2018-07-03,0,STANDARD,41,0.0
R_A3,1622.0697021484375,29,284.3663330078125,12,13,0.054534509778022766,284.3663330078125,2018-07-03,0,STANDARD,41,0.0
R_A3,1624.388671875,29,284.5217590332031,13,14,0.37355589866638184,284.5217590332031,2018-07-03,0,STANDARD,41,0.0
R_A3,1626.707763671875,29,285.3579406738281,14,15,0.4010683298110962,285.3579406738281,2018-07-03,0,STANDARD,41,0.0
R_A3,1629.026611328125,29,286.1113586425781,15,16,0.4978348910808563,286.1113586425781,2018-07-03,0,STANDARD,41,0.0
R_A3,1630.9468994140625,29,286.2549133300781,16,17,0.8076121211051941,286.2549133300781,2018-07-03,0,STANDARD,41,0.0
R_A3,1633.5262451171875,29,288.2419128417969,27,18,0.9999997019767761,288.2419128417969,2018-07-03,0,STANDARD,41,-2.063966952903229e-08
R_A3,1637.1630859375,29,285.42919921875,28,19,0.043872326612472534,285.42919921875,2018-07-03,0,STANDARD,41,0.0
R_A3,1640.8001708984375,29,285.6721496582031,29,20,0.052109550684690475,285.6721496582031,2018-07-03,0,STANDARD,41,0.0
R_A3,1644.4371337890625,29,288.7659606933594,30,21,0.9999999403953552,288.7659606933594,2018-07-03,0,STANDARD,41,-4.8223007809156115e-09
R_A3,1648.0740966796875,29,286.1600036621094,31,22,0.06447280198335648,286.1600036621094,2018-07-03,0,STANDARD,41,0.0
R_A4,1631.1873779296875,30,276.534423828125,1,1,0.050509244203567505,276.534423828125,2018-09-12,0,STANDARD,52,0.0
R_A4,1627.4293212890625,31,276.3715515136719,1,2,0.08368688076734543,276.3715515136719,2018-09-12,0,STANDARD,52,0.0
