CONIDX,CONKPOS,WELLMODEL,CONIPOS,WELL,SWAT,PRESSURE,SGAS,DATE,CONJPOS,DEPTH,CONBPRES,DRAWDOWN
11,11,STANDARD,22,R_A2,0.07612866163253784,300.0927429199219,0.0,2018-03-01,30,1659.1368408203125,300.0927429199219,0
12,12,STANDARD,22,R_A2,0.07949784398078918,300.21826171875,0.0,2018-03-01,30,1661.132568359375,300.21826171875,0
13,13,STANDARD,22,R_A2,0.449149489402771,300.3751220703125,0.0,2018-03-01,30,1663.12841796875,300.3751220703125,0
14,14,STANDARD,22,R_A2,0.5073134899139404,300.5108337402344,0.0,2018-03-01,30,1665.1241455078125,300.5108337402344,0
15,15,STANDARD,22,R_A2,0.6860332489013672,300.6481018066406,0.0,2018-03-01,30,1667.1199951171875,300.6481018066406,0
16,16,STANDARD,22,R_A2,0.9714533686637878,300.7823486328125,0.0,2018-03-01,30,1669.11572265625,300.7823486328125,0
17,17,STANDARD,22,R_A2,0.9485083818435669,300.9167175292969,0.0,2018-03-01,30,1671.111572265625,300.9167175292969,0
18,18,STANDARD,22,R_A2,0.9796209931373596,301.04278564453125,0.0,2018-03-01,30,1672.9881591796875,301.04278564453125,0
19,18,STANDARD,22,R_A2,0.9940499067306519,301.0671691894531,0.0,2018-03-01,29,1674.229736328125,301.0671691894531,0
20,27,STANDARD,22,R_A2,0.648323118686676,300.5025329589844,0.0,2018-03-01,29,1676.1676025390625,300.5025329589844,0
21,28,STANDARD,22,R_A2,1.0,303.4534912109375,6.6174732760279544e-15,2018-03-01,29,1677.9368896484375,303.4534912109375,0
22,29,STANDARD,22,R_A2,1.0,303.6185607910156,2.2696980505178353e-15,2018-03-01,29,1679.7061767578125,303.6185607910156,0
23,30,STANDARD,22,R_A2,1.0,303.7884826660156,1.6529818319514517e-15,2018-03-01,29,1681.4754638671875,303.7884826660156,0
24,31,STANDARD,22,R_A2,1.0,303.9649353027344,1.2506122505365544e-16,2018-03-01,29,1683.2447509765625,303.9649353027344,0
1,1,STANDARD,31,R_A5,1.0,280.31866455078125,-4.529686955384582e-12,2018-04-28,20,1685.026611328125,280.31866455078125,0
2,2,STANDARD,31,R_A5,1.0,280.5345458984375,-4.182279522702004e-12,2018-04-28,20,1687.3070068359375,280.5345458984375,0
3,3,STANDARD,31,R_A5,1.0,280.75048828125,-3.971036607181011e-12,2018-04-28,20,1689.5875244140625,280.75048828125,0
4,4,STANDARD,31,R_A5,1.0,280.9664306640625,-4.423864052860438e-12,2018-04-28,20,1691.8680419921875,280.9664306640625,0
5,5,STANDARD,31,R_A5,1.0,281.182373046875,-4.315639425683804e-12,2018-04-28,20,1694.1485595703125,281.182373046875,0
6,6,STANDARD,31,R_A5,1.0,281.3982849121094,-4.127363381623006e-12,2018-04-28,20,1696.4290771484375,281.3982849121094,0
7,7,STANDARD,31,R_A5,1.0,281.94842529296875,-1.861874369957217e-13,2018-04-28,20,1698.70947265625,281.94842529296875,0
8,11,STANDARD,31,R_A5,1.0,280.23577880859375,-4.988560259322483e-11,2018-04-28,20,1707.6488037109375,280.23577880859375,0
9,12,STANDARD,31,R_A5,1.0,280.3995666503906,-4.3532497051579355e-11,2018-04-28,20,1709.5638427734375,280.3995666503906,0
10,12,STANDARD,31,R_A5,1.0,278.65838623046875,-3.0398900063843826e-10,2018-04-28,21,1701.7845458984375,278.65838623046875,0
11,13,STANDARD,31,R_A5,1.0,278.85186767578125,-1.1133505575799951e-11,2018-04-28,21,1703.735107421875,278.85186767578125,0
12,14,STANDARD,31,R_A5,1.0,279.0321960449219,-6.221016757290698e-11,2018-04-28,21,1705.6856689453125,279.0321960449219,0
13,15,STANDARD,31,R_A5,1.0,279.2076110839844,-2.689175444825498e-11,2018-04-28,21,1707.63623046875,279.2076110839844,0
14,16,STANDARD,31,R_A5,1.0,279.50494384765625,-1.889355338846599e-11,2018-04-28,21,1709.5867919921875,279.50494384765625,0
15,17,STANDARD,31,R_A5,1.0,279.6095886230469,-5.026353899068026e-12,2018-04-28,21,1711.537353515625,279.6095886230469,0
16,18,STANDARD,31,R_A5,1.0,279.69482421875,-8.995048629556468e-12,2018-04-28,21,1713.35400390625,279.69482421875,0
17,19,STANDARD,31,R_A5,1.0,279.7518615722656,0.0,2018-04-28,21,1714.3951416015625,279.7518615722656,0
18,27,STANDARD,31,R_A5,1.0,279.715576171875,-2.6774331991948064e-13,2018-04-28,21,1715.7628173828125,279.715576171875,0
19,28,STANDARD,31,R_A5,1.0,279.9359130859375,-5.071493355476853e-13,2018-04-28,21,1718.098388671875,279.9359130859375,0
20,29,STANDARD,31,R_A5,1.0,284.9034423828125,-2.4194561165732963e-20,2018-04-28,21,1720.43408203125,284.9034423828125,0
21,30,STANDARD,31,R_A5,1.0,280.3400573730469,-2.1159546317866113e-19,2018-04-28,21,1722.7696533203125,280.3400573730469,0
22,31,STANDARD,31,R_A5,1.0,291.6466979980469,-2.00681189812239e-19,2018-04-28,21,1725.105224609375,291.6466979980469,0
1,1,STANDARD,28,R_A3,0.6494143605232239,278.6498718261719,0.0,2018-07-03,41,1609.243408203125,278.6498718261719,0
2,2,STANDARD,28,R_A3,0.19839046895503998,278.78387451171875,0.0,2018-07-03,41,1611.3077392578125,278.78387451171875,0
3,3,STANDARD,28,R_A3,0.19403445720672607,278.9215393066406,0.0,2018-07-03,41,1613.3720703125,278.9215393066406,0
4,4,STANDARD,28,R_A3,0.2559497356414795,279.0591735839844,0.0,2018-07-03,41,1615.4365234375,279.0591735839844,0
