WELL,PRESSURE,CONIPOS,DEPTH,CONKPOS,SWAT,DATE,DRAWDOWN,CONIDX,WELLMODEL,SGAS,CONJPOS,CONBPRES
R_A2,300.96484375,22,1677.91064453125,17,0.9924911856651306,2018-03-01,0,18,STANDARD,0.0,29,300.96484375
R_A2,301.06842041015625,22,1679.4559326171875,18,1.0,2018-03-01,0,19,STANDARD,-4.245798990165639e-10,29,301.06842041015625
R_A2,303.3784484863281,22,1680.7703857421875,25,1.0,2018-03-01,0,20,STANDARD,-4.7789307716512006e-17,29,303.3784484863281
R_A2,303.3786926269531,22,1682.4041748046875,26,1.0,2018-03-01,0,21,STANDARD,-1.807982726927566e-17,29,303.3786926269531
R_A2,303.0597839355469,22,1684.037841796875,27,1.0,2018-03-01,0,22,STANDARD,-7.903220234840935e-18,29,303.0597839355469
R_A2,302.1175537109375,22,1685.6715087890625,28,1.0,2018-03-01,0,23,STANDARD,-1.925389181423043e-09,29,302.1175537109375
R_A2,301.24603271484375,22,1687.305419921875,29,1.0,2018-03-01,0,24,STANDARD,-3.1368896195871354e-12,29,301.24603271484375
R_A5,278.8228759765625,31,1685.76123046875,1,1.0,2018-04-28,0,1,STANDARD,-3.602865229058007e-15,20,278.8228759765625
R_A5,279.04412841796875,31,1688.1033935546875,2,1.0,2018-04-28,0,2,STANDARD,-3.022466606896336e-15,20,279.04412841796875
R_A5,279.2652587890625,31,1690.445556640625,3,1.0,2018-04-28,0,3,STANDARD,-3.5263527429325262e-15,20,279.2652587890625
R_A5,279.48602294921875,31,1692.78759765625,4,1.0,2018-04-28,0,4,STANDARD,-3.2966956411522837e-15,20,279.48602294921875
R_A5,279.7065734863281,31,1695.1297607421875,5,1.0,2018-04-28,0,5,STANDARD,-1.5940784196455588e-15,20,279.7065734863281
R_A5,279.9278869628906,31,1697.4718017578125,6,1.0,2018-04-28,0,6,STANDARD,-2.5486734338937226e-15,20,279.9278869628906
R_A5,280.4771423339844,31,1699.81396484375,7,1.0,2018-04-28,0,7,STANDARD,-9.684204977714853e-16,20,280.4771423339844
R_A5,279.5143127441406,31,1708.9808349609375,11,1.0,2018-04-28,0,8,STANDARD,-1.2614017903117558e-12,20,279.5143127441406
R_A5,282.067626953125,31,1710.919677734375,12,1.0,2018-04-28,0,9,STANDARD,7.13661945176276e-16,20,282.067626953125
R_A5,281.0999450683594,31,1712.8585205078125,13,1.0,2018-04-28,0,10,STANDARD,-2.4019208253204735e-14,20,281.0999450683594
R_A5,281.2832946777344,31,1714.79736328125,14,1.0,2018-04-28,0,11,STANDARD,-5.754634101054826e-14,20,281.2832946777344
R_A5,278.1018981933594,31,1704.3612060546875,14,1.0,2018-04-28,0,12,STANDARD,-6.062825588792897e-12,21,278.1018981933594
R_A5,278.2728576660156,31,1706.143798828125,15,1.0,2018-04-28,0,13,STANDARD,-2.280581973268525e-12,21,278.2728576660156
R_A5,278.5988464355469,31,1707.9263916015625,16,1.0,2018-04-28,0,14,STANDARD,-2.5210443541784366e-12,21,278.5988464355469
R_A5,278.8099670410156,31,1709.708984375,17,1.0,2018-04-28,0,15,STANDARD,-2.521414067119254e-13,21,278.8099670410156
R_A5,279.01727294921875,31,1711.4285888671875,18,1.0,2018-04-28,0,16,STANDARD,-3.7949442308234105e-13,21,279.01727294921875
R_A5,279.1400451660156,31,1712.60205078125,19,1.0,2018-04-28,0,17,STANDARD,-8.074350107793726e-13,21,279.1400451660156
R_A5,285.5673828125,31,1714.161865234375,25,1.0,2018-04-28,0,18,STANDARD,-3.966561440741333e-14,21,285.5673828125
R_A5,285.71734619140625,31,1716.591064453125,26,1.0,2018-04-28,0,19,STANDARD,-1.894531318662792e-14,21,285.71734619140625
R_A5,285.9469299316406,31,1719.0203857421875,27,1.0,2018-04-28,0,20,STANDARD,-1.0906569023567611e-14,21,285.9469299316406
R_A5,287.6181335449219,31,1721.44970703125,28,1.0,2018-04-28,0,21,STANDARD,2.2946807033075884e-19,21,287.6181335449219
R_A5,286.68206787109375,31,1723.87890625,29,1.0,2018-04-28,0,22,STANDARD,1.9269336200055576e-22,21,286.68206787109375
R_A3,283.4950256347656,28,1612.532958984375,1,0.6491260528564453,2018-07-03,0,1,STANDARD,0.0,41,283.4950256347656
R_A3,283.62628173828125,28,1614.6103515625,2,0.19842958450317383,2018-07-03,0,2,STANDARD,0.0,41,283.62628173828125
R_A3,283.7651062011719,28,1616.6876220703125,3,0.19847306609153748,2018-07-03,0,3,STANDARD,0.0,41,283.7651062011719
R_A3,283.9039306640625,28,1618.7650146484375,4,0.31689244508743286,2018-07-03,0,4,STANDARD,0.0,41,283.9039306640625
