CONJPOS,SWAT,DATE,CONKPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,WELL,DEPTH
21,1.0,2018-04-28,15,STANDARD,-3.7839624825435764e-14,31,0,15,274.94366455078125,274.94366455078125,R_A5,1708.4818115234375
21,1.0,2018-04-28,16,STANDARD,-7.52029138967195e-15,31,0,16,275.2868957519531,275.2868957519531,R_A5,1710.5313720703125
21,1.0,2018-04-28,17,STANDARD,-1.343717651524582e-14,31,0,17,275.48492431640625,275.48492431640625,R_A5,1712.5809326171875
21,1.0,2018-04-28,18,STANDARD,-1.3437525492820089e-14,31,0,18,275.6269836425781,275.6269836425781,R_A5,1714.076171875
21,1.0,2018-04-28,25,STANDARD,-6.460973249466928e-12,31,0,19,286.8954772949219,286.8954772949219,R_A5,1716.000244140625
21,1.0,2018-04-28,26,STANDARD,-6.537346185220283e-12,31,0,20,287.1688537597656,287.1688537597656,R_A5,1718.301513671875
21,1.0,2018-04-28,27,STANDARD,8.613469458630125e-19,31,0,21,297.9257507324219,297.9257507324219,R_A5,1720.6026611328125
21,1.0,2018-04-28,28,STANDARD,8.791071986234708e-20,31,0,22,304.8856201171875,304.8856201171875,R_A5,1722.9039306640625
21,1.0,2018-04-28,29,STANDARD,9.350417534505139e-22,31,0,23,307.2633056640625,307.2633056640625,R_A5,1725.205078125
41,0.2529126703739166,2018-07-03,1,STANDARD,0.0,28,0,1,284.9090270996094,284.9090270996094,R_A3,1610.839111328125
41,0.1553746461868286,2018-07-03,2,STANDARD,0.0,28,0,2,285.048095703125,285.048095703125,R_A3,1612.874755859375
41,0.11846001446247101,2018-07-03,3,STANDARD,0.0,28,0,3,285.1841125488281,285.1841125488281,R_A3,1614.910400390625
41,0.10578746348619461,2018-07-03,4,STANDARD,0.0,28,0,4,285.32012939453125,285.32012939453125,R_A3,1616.946044921875
41,0.35502544045448303,2018-07-03,4,STANDARD,0.0,29,0,5,284.4778747558594,284.4778747558594,R_A3,1605.440673828125
41,0.8077308535575867,2018-07-03,5,STANDARD,0.0,29,0,6,284.6468200683594,284.6468200683594,R_A3,1607.45751953125
41,0.6491252183914185,2018-07-03,6,STANDARD,0.0,29,0,7,284.7746276855469,284.7746276855469,R_A3,1609.474365234375
41,0.19417618215084076,2018-07-03,7,STANDARD,0.0,29,0,8,284.9104919433594,284.9104919433594,R_A3,1611.4912109375
41,0.13040749728679657,2018-07-03,8,STANDARD,0.0,29,0,9,285.0451354980469,285.0451354980469,R_A3,1613.508056640625
41,0.652244508266449,2018-07-03,9,STANDARD,0.0,29,0,10,285.18621826171875,285.18621826171875,R_A3,1615.52490234375
41,0.7827743887901306,2018-07-03,10,STANDARD,0.0,29,0,11,286.6927185058594,286.6927185058594,R_A3,1617.541748046875
41,0.04940732941031456,2018-07-03,11,STANDARD,0.0,29,0,12,290.0544738769531,290.0544738769531,R_A3,1619.7357177734375
41,0.053623273968696594,2018-07-03,12,STANDARD,0.0,29,0,13,290.21307373046875,290.21307373046875,R_A3,1622.10693359375
