SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
,,,,4,SGOF,0.49,0.4591833,0.0078338,0.0
,,,,4,SGOF,0.51,0.5138001,0.0050718,0.0
,,,,4,SGOF,0.53,0.5699369,0.0031315,0.0
,,,,4,SGOF,0.55,0.626878,0.0018193,0.0
,,,,4,SGOF,0.57,0.6838432,0.0009746,0.0
,,,,4,SGOF,0.59,0.7400045,0.0004659,0.0
,,,,4,SGOF,0.61,0.7944988,0.0001875,0.0
,,,,4,SGOF,0.63,0.8464154,5.63e-05,0.0
,,,,4,SGOF,0.65,0.8947077,9.1e-06,0.0
,,,,4,SGOF,0.67,0.9376579,1e-07,0.0
,,,,4,SGOF,0.6769148,0.95,0.0,0.0
,,,,4,SGOF,0.69,0.9565426,0.0,0.0
,,,,4,SGOF,0.71,0.9665426,0.0,0.0
,,,,4,SGOF,0.73,0.9765426,0.0,0.0
,,,,4,SGOF,0.75,0.9865426,0.0,0.0
,,,,4,SGOF,0.77,0.9965426,0.0,0.0
,,,,4,SGOF,0.7769148,1.0,0.0,0.0
0.6014667,0.0,1.0,9.95715,5,SWOF,,,,
0.6114667,0.0,0.88226,8.5906109,5,SWOF,,,,
0.6214667,0.0008993,0.7663449,7.4379389,5,SWOF,,,,
0.6414667,0.0072202,0.5513625,5.6317646,5,SWOF,,,,
0.6614667,0.0206652,0.3742833,4.3170788,5,SWOF,,,,
0.6814667,0.0431811,0.2388005,3.3468376,5,SWOF,,,,
0.7014667,0.0770897,0.1428887,2.6216793,5,SWOF,,,,
0.7214667,0.1249325,0.079964,2.0733502,5,SWOF,,,,
0.7414667,0.1891989,0.0415744,1.6542519,5,SWOF,,,,
0.7614667,0.2718695,0.0197726,1.3307244,5,SWOF,,,,
0.7814667,0.3737502,0.008337,1.0786562,5,SWOF,,,,
0.8014667,0.4936164,0.0029294,0.8805674,5,SWOF,,,,
0.8214667,0.6269896,0.0007594,0.723644,5,SWOF,,,,
0.8414667,0.7644929,0.0001326,0.5983943,5,SWOF,,,,
0.8614667,0.886546,1.34e-05,0.497719,5,SWOF,,,,
0.8740111,0.9432199,0.0,0.4466261,5,SWOF,,,,
0.8814667,0.9465799,0.0,0.4162596,5,SWOF,,,,
0.9014667,0.9555934,0.0,0.3499369,5,SWOF,,,,
0.9214667,0.964607,0.0,0.2956204,5,SWOF,,,,
0.9414667,0.9736205,0.0,0.2508893,5,SWOF,,,,
0.9614667,0.982634,0.0,0.2138585,5,SWOF,,,,
0.9814667,0.9916475,0.0,0.1830498,5,SWOF,,,,
1.0,1.0,0.0,0.1590347,5,SWOF,,,,
,,,,5,SGOF,0.0,0.0,1.0,0.0
,,,,5,SGOF,0.05,0.0,0.6423646,0.0
,,,,5,SGOF,0.07,0.0013859,0.4845658,0.0
,,,,5,SGOF,0.09,0.0080996,0.3434141,0.0
,,,,5,SGOF,0.11,0.0236989,0.2289825,0.0
,,,,5,SGOF,0.13,0.0520862,0.1437016,0.0
,,,,5,SGOF,0.15,0.0974263,0.0846163,0.0
,,,,5,SGOF,0.17,0.1635754,0.0463541,0.0
,,,,5,SGOF,0.19,0.2530481,0.0232363,0.0
,,,,5,SGOF,0.21,0.3656651,0.0103437,0.0
,,,,5,SGOF,0.23,0.4973414,0.0038673,0.0
,,,,5,SGOF,0.25,0.6396977,0.0010817,0.0
,,,,5,SGOF,0.27,0.7809199,0.000167,0.0
,,,,5,SGOF,0.29,0.906922,3.2e-06,0.0
,,,,5,SGOF,0.2985333,0.95,0.0,0.0
,,,,5,SGOF,0.31,0.9557333,0.0,0.0
,,,,5,SGOF,0.33,0.9657333,0.0,0.0
,,,,5,SGOF,0.35,0.9757333,0.0,0.0
,,,,5,SGOF,0.37,0.9857333,0.0,0.0
,,,,5,SGOF,0.39,0.9957333,0.0,0.0
,,,,5,SGOF,0.3985333,1.0,0.0,0.0
0.6481542,0.0,1.0,9.95715,6,SWOF,,,,
