DRAWDOWN,WELL,PRESSURE,WELLMODEL,DATE,DEPTH,CONIPOS,CONBPRES,CONIDX,SWAT,CONKPOS,SGAS,CONJPOS
0,R_A6,307.77325439453125,STANDARD,2018-01-01,1726.486328125,17,307.77325439453125,19,1.0,25,0.0,42
0,R_A6,308.2409362792969,STANDARD,2018-01-01,1728.1944580078125,17,308.2409362792969,20,1.0,26,0.0,42
0,R_A6,308.4028015136719,STANDARD,2018-01-01,1729.9024658203125,17,308.4028015136719,21,1.0,27,0.0,42
0,R_A6,308.564697265625,STANDARD,2018-01-01,1731.6104736328125,17,308.564697265625,22,1.0,28,0.0,42
0,R_A6,308.4208068847656,STANDARD,2018-01-01,1733.3184814453125,17,308.4208068847656,23,1.0,29,0.0,42
0,R_A2,299.0172424316406,STANDARD,2018-03-01,1640.6864013671875,22,299.0172424316406,1,0.054600704461336136,1,0.0,30
0,R_A2,299.13629150390625,STANDARD,2018-03-01,1642.462646484375,22,299.13629150390625,2,0.055733587592840195,2,0.0,30
0,R_A2,299.2553405761719,STANDARD,2018-03-01,1644.2388916015625,22,299.2553405761719,3,0.05663461238145828,3,0.0,30
0,R_A2,299.3743896484375,STANDARD,2018-03-01,1646.01513671875,22,299.3743896484375,4,0.06168205291032791,4,0.0,30
0,R_A2,299.49346923828125,STANDARD,2018-03-01,1647.7913818359375,22,299.49346923828125,5,0.12048596143722534,5,0.0,30
0,R_A2,299.6104431152344,STANDARD,2018-03-01,1649.567626953125,22,299.6104431152344,6,0.6546397805213928,6,0.0,30
0,R_A2,299.7449645996094,STANDARD,2018-03-01,1651.34375,22,299.7449645996094,7,0.874596893787384,7,0.0,30
0,R_A2,299.8695373535156,STANDARD,2018-03-01,1653.1201171875,22,299.8695373535156,8,0.8616247773170471,8,0.0,30
0,R_A2,300.2821350097656,STANDARD,2018-03-01,1654.8963623046875,22,300.2821350097656,9,0.8813357949256897,9,0.0,30
0,R_A2,300.5882873535156,STANDARD,2018-03-01,1656.6724853515625,22,300.5882873535156,10,0.8837044835090637,10,0.0,30
0,R_A2,299.95166015625,STANDARD,2018-03-01,1658.5887451171875,22,299.95166015625,11,0.06809098273515701,11,0.0,30
0,R_A2,300.1078796386719,STANDARD,2018-03-01,1660.6451416015625,22,300.1078796386719,12,0.0712568536400795,12,0.0,30
0,R_A2,300.2729797363281,STANDARD,2018-03-01,1662.701416015625,22,300.2729797363281,13,0.43126943707466125,13,0.0,30
0,R_A2,300.4117736816406,STANDARD,2018-03-01,1664.7578125,22,300.4117736816406,14,0.4669857323169708,14,0.0,30
0,R_A2,300.5560607910156,STANDARD,2018-03-01,1666.814208984375,22,300.5560607910156,15,0.904207706451416,15,0.0,30
0,R_A2,300.69854736328125,STANDARD,2018-03-01,1668.8704833984375,22,300.69854736328125,16,0.9196009635925293,16,0.0,30
0,R_A2,300.83837890625,STANDARD,2018-03-01,1670.9268798828125,22,300.83837890625,17,0.8690833449363708,17,0.0,30
0,R_A2,300.9671325683594,STANDARD,2018-03-01,1672.83740234375,22,300.9671325683594,18,0.928943932056427,18,0.0,30
0,R_A2,301.0626525878906,STANDARD,2018-03-01,1676.770263671875,22,301.0626525878906,19,0.9700925946235657,18,0.0,29
0,R_A2,301.71539306640625,STANDARD,2018-03-01,1678.4490966796875,22,301.71539306640625,20,0.20746496319770813,25,0.0,29
0,R_A2,302.1432800292969,STANDARD,2018-03-01,1680.15478515625,22,302.1432800292969,21,1.0,26,-9.741519656908393e-13,29
0,R_A2,302.452392578125,STANDARD,2018-03-01,1681.8604736328125,22,302.452392578125,22,1.0,27,-6.946088127422756e-13,29
0,R_A2,302.38250732421875,STANDARD,2018-03-01,1683.566162109375,22,302.38250732421875,23,0.9999998807907104,28,-9.683129853499395e-09,29
0,R_A2,302.563720703125,STANDARD,2018-03-01,1685.2718505859375,22,302.563720703125,24,0.9999998807907104,29,-9.71400471172501e-09,29
0,R_A5,283.2109069824219,STANDARD,2018-04-28,1684.24853515625,31,283.2109069824219,1,1.0,1,2.909027241315698e-09,20
0,R_A5,283.39691162109375,STANDARD,2018-04-28,1686.2056884765625,31,283.39691162109375,2,1.0000001192092896,2,3.863512176849326e-09,20
0,R_A5,283.5831298828125,STANDARD,2018-04-28,1688.1629638671875,31,283.5831298828125,3,1.0000001192092896,3,3.777475221511395e-09,20
0,R_A5,283.7698669433594,STANDARD,2018-04-28,1690.1202392578125,31,283.7698669433594,4,1.0000001192092896,4,3.5412459631345428e-09,20
0,R_A5,283.9570007324219,STANDARD,2018-04-28,1692.0775146484375,31,283.9570007324219,5,1.0,5,2.95697377694637e-09,20
0,R_A5,284.1424865722656,STANDARD,2018-04-28,1694.03466796875,31,284.1424865722656,6,1.0,6,3.03675107282686e-09,20
0,R_A5,284.6866455078125,STANDARD,2018-04-28,1695.991943359375,31,284.6866455078125,7,1.0,7,4.601365469203422e-11,20
0,R_A5,284.9144592285156,STANDARD,2018-04-28,1697.94921875,31,284.9144592285156,8,1.0,8,1.3211281027492028e-11,20
0,R_A5,283.9458923339844,STANDARD,2018-04-28,1696.047607421875,31,283.9458923339844,9,1.0,8,8.047076199835246e-11,21
0,R_A5,284.6621398925781,STANDARD,2018-04-28,1698.329345703125,31,284.6621398925781,10,1.0,9,5.212511672292308e-11,21
0,R_A5,278.33062744140625,STANDARD,2018-04-28,1702.759521484375,31,278.33062744140625,11,1.0,11,4.732129688100883e-10,21
0,R_A5,278.5547180175781,STANDARD,2018-04-28,1704.77490234375,31,278.5547180175781,12,1.0,12,7.725011741399612e-10,21
0,R_A5,278.759765625,STANDARD,2018-04-28,1706.790283203125,31,278.759765625,13,1.0,13,4.651485099871344e-11,21
0,R_A5,278.9610595703125,STANDARD,2018-04-28,1708.8056640625,31,278.9610595703125,14,1.0,14,1.7209608738077975e-10,21
0,R_A5,279.3225402832031,STANDARD,2018-04-28,1710.821044921875,31,279.3225402832031,15,1.0,15,1.4856502139615202e-10,21
0,R_A5,279.5301208496094,STANDARD,2018-04-28,1712.83642578125,31,279.5301208496094,16,1.0,16,2.9993334205169475e-11,21
0,R_A5,279.7048645019531,STANDARD,2018-04-28,1714.5059814453125,31,279.7048645019531,17,1.0,17,3.181388139039676e-11,21
0,R_A5,279.80364990234375,STANDARD,2018-04-28,1715.41943359375,31,279.80364990234375,18,1.0,18,0.0,21
0,R_A5,279.8427734375,STANDARD,2018-04-28,1715.79638671875,31,279.8427734375,19,1.0,19,0.0,21
0,R_A5,286.271484375,STANDARD,2018-04-28,1716.9366455078125,31,286.271484375,20,1.0,25,2.9900008250566268e-12,21
0,R_A5,286.5180969238281,STANDARD,2018-04-28,1718.9661865234375,31,286.5180969238281,21,1.0,26,2.7741060316943678e-12,21
0,R_A5,296.2991943359375,STANDARD,2018-04-28,1720.995849609375,31,296.2991943359375,22,1.0,27,6.159139278184622e-19,21
0,R_A5,302.6690368652344,STANDARD,2018-04-28,1723.0255126953125,31,302.6690368652344,23,1.0,28,4.451130608216587e-20,21
0,R_A5,306.0125427246094,STANDARD,2018-04-28,1725.05517578125,31,306.0125427246094,24,1.0,29,2.40295614536969e-22,21
0,R_A3,282.8635559082031,STANDARD,2018-07-03,1609.56298828125,28,282.8635559082031,1,0.6495248675346375,1,0.0,41
0,R_A3,282.9913330078125,STANDARD,2018-07-03,1611.561767578125,28,282.9913330078125,2,0.19570642709732056,2,0.0,41
0,R_A3,282.27349853515625,STANDARD,2018-07-03,1600.73974609375,29,282.27349853515625,3,0.1850212812423706,2,0.0,41
0,R_A3,282.4150085449219,STANDARD,2018-07-03,1602.8609619140625,29,282.4150085449219,4,0.1847859025001526,3,0.0,41
0,R_A3,282.5565490722656,STANDARD,2018-07-03,1604.9820556640625,29,282.5565490722656,5,0.3069564998149872,4,0.0,41
0,R_A3,282.8523254394531,STANDARD,2018-07-03,1607.1031494140625,29,282.8523254394531,6,0.8029759526252747,5,0.0,41
0,R_A3,282.99822998046875,STANDARD,2018-07-03,1609.2242431640625,29,282.99822998046875,7,0.6635801792144775,6,0.0,41
0,R_A3,283.14324951171875,STANDARD,2018-07-03,1611.345458984375,29,283.14324951171875,8,0.19292616844177246,7,0.0,41
0,R_A3,283.2848205566406,STANDARD,2018-07-03,1613.466552734375,29,283.2848205566406,9,0.19310986995697021,8,0.0,41
0,R_A3,283.5332336425781,STANDARD,2018-07-03,1615.587646484375,29,283.5332336425781,10,0.7932524085044861,9,0.0,41
0,R_A3,284.1014099121094,STANDARD,2018-07-03,1617.7088623046875,29,284.1014099121094,11,0.7944754958152771,10,0.0,41
0,R_A3,296.4596862792969,STANDARD,2018-07-03,1619.9195556640625,29,296.4596862792969,12,0.04566292464733124,11,0.0,41
0,R_A3,296.61376953125,STANDARD,2018-07-03,1622.2198486328125,29,296.61376953125,13,0.05323591083288193,12,0.0,41
0,R_A3,296.76806640625,STANDARD,2018-07-03,1624.5201416015625,29,296.76806640625,14,0.3637729585170746,13,0.0,41
0,R_A3,296.9361267089844,STANDARD,2018-07-03,1626.8204345703125,29,296.9361267089844,15,0.19710415601730347,14,0.0,41
0,R_A3,297.1715087890625,STANDARD,2018-07-03,1629.1207275390625,29,297.1715087890625,16,0.500006914138794,15,0.0,41
0,R_A3,297.3075256347656,STANDARD,2018-07-03,1631.113037109375,29,297.3075256347656,17,0.8063939809799194,16,0.0,41
0,R_A3,284.36553955078125,STANDARD,2018-07-03,1633.9300537109375,29,284.36553955078125,18,0.3606399595737457,25,0.0,41
0,R_A3,284.57177734375,STANDARD,2018-07-03,1637.5859375,29,284.57177734375,19,0.04344615340232849,26,0.0,41
0,R_A3,284.8158874511719,STANDARD,2018-07-03,1641.241943359375,29,284.8158874511719,20,0.049763988703489304,27,0.0,41
0,R_A3,285.0600280761719,STANDARD,2018-07-03,1644.8978271484375,29,285.0600280761719,21,0.13076327741146088,28,0.0,41
0,R_A3,285.3038024902344,STANDARD,2018-07-03,1648.5537109375,29,285.3038024902344,22,0.06107047200202942,29,0.0,41
