CONIPOS,WELL,DEPTH,CONIDX,CONKPOS,DRAWDOWN,CONBPRES,DATE,WELLMODEL,PRESSURE,CONJPOS,SGAS,SWAT
17,R_A6,1702.176513671875,5,5,0,305.7751159667969,2018-01-01,STANDARD,305.7751159667969,42,0.0,1.0
17,R_A6,1703.7413330078125,6,6,0,305.92340087890625,2018-01-01,STANDARD,305.92340087890625,42,0.0,1.0
17,R_A6,1705.30615234375,7,7,0,305.77264404296875,2018-01-01,STANDARD,305.77264404296875,42,0.0,1.0
17,R_A6,1706.870849609375,8,8,0,305.9209289550781,2018-01-01,STANDARD,305.9209289550781,42,0.0,1.0
17,R_A6,1708.435546875,9,9,0,306.3682861328125,2018-01-01,STANDARD,306.3682861328125,42,0.0,1.0
17,R_A6,1710.0003662109375,10,10,0,306.2107849121094,2018-01-01,STANDARD,306.2107849121094,42,0.0,1.0
17,R_A6,1711.896728515625,11,11,0,306.390625,2018-01-01,STANDARD,306.390625,42,0.0,1.0
17,R_A6,1714.1246337890625,12,12,0,306.6017761230469,2018-01-01,STANDARD,306.6017761230469,42,0.0,1.0
17,R_A6,1716.3525390625,13,13,0,306.82489013671875,2018-01-01,STANDARD,306.82489013671875,42,0.0,1.0
17,R_A6,1718.580322265625,14,14,0,307.0360412597656,2018-01-01,STANDARD,307.0360412597656,42,0.0,1.0
17,R_A6,1720.8082275390625,15,15,0,307.2471923828125,2018-01-01,STANDARD,307.2471923828125,42,0.0,1.0
17,R_A6,1723.0361328125,16,16,0,307.60333251953125,2018-01-01,STANDARD,307.60333251953125,42,0.0,1.0
17,R_A6,1725.263916015625,17,17,0,307.8144836425781,2018-01-01,STANDARD,307.8144836425781,42,0.0,1.0
17,R_A6,1727.151611328125,18,18,0,307.993408203125,2018-01-01,STANDARD,307.993408203125,42,0.0,1.0
17,R_A6,1728.7950439453125,19,24,0,307.9920654296875,2018-01-01,STANDARD,307.9920654296875,42,0.0,1.0
17,R_A6,1730.53466796875,20,25,0,308.4627380371094,2018-01-01,STANDARD,308.4627380371094,42,0.0,1.0
17,R_A6,1732.2742919921875,21,26,0,308.62762451171875,2018-01-01,STANDARD,308.62762451171875,42,0.0,1.0
17,R_A6,1734.013916015625,22,27,0,308.7925109863281,2018-01-01,STANDARD,308.7925109863281,42,0.0,1.0
17,R_A6,1735.7535400390625,23,28,0,308.6515808105469,2018-01-01,STANDARD,308.6515808105469,42,0.0,1.0
