CONKPOS,DATE,CONIPOS,DEPTH,CONIDX,SWAT,WELL,WELLMODEL,PRESSURE,DRAWDOWN,CONJPOS,CONBPRES,SGAS
28,2018-03-01,22,1683.8785400390625,23,1.0,R_A2,STANDARD,304.0033874511719,0,29,304.0033874511719,-1.622363629081238e-16
29,2018-03-01,22,1685.590087890625,24,1.0,R_A2,STANDARD,304.1667175292969,0,29,304.1667175292969,-8.792627494206735e-17
1,2018-04-28,31,1685.356689453125,1,1.0,R_A5,STANDARD,286.5062561035156,0,20,286.5062561035156,5.920849227569747e-11
2,2018-04-28,31,1687.6234130859375,2,1.0,R_A5,STANDARD,286.72100830078125,0,20,286.72100830078125,6.728566315228335e-11
3,2018-04-28,31,1689.89013671875,3,1.0,R_A5,STANDARD,286.93505859375,0,20,286.93505859375,6.700840576856493e-11
4,2018-04-28,31,1692.1568603515625,4,1.0,R_A5,STANDARD,287.149169921875,0,20,287.149169921875,6.900843091406372e-11
5,2018-04-28,31,1694.423583984375,5,1.0,R_A5,STANDARD,287.363525390625,0,20,287.363525390625,6.312044636969105e-11
6,2018-04-28,31,1696.6903076171875,6,1.0,R_A5,STANDARD,287.5775146484375,0,20,287.5775146484375,3.8332413632158335e-11
6,2018-04-28,31,1688.909423828125,7,1.0000001192092896,R_A5,STANDARD,286.4190368652344,0,21,286.4190368652344,2.1537385208603155e-08
7,2018-04-28,31,1691.3402099609375,8,1.0,R_A5,STANDARD,286.96575927734375,0,21,286.96575927734375,3.484917909801766e-11
10,2018-04-28,31,1698.6329345703125,9,1.0,R_A5,STANDARD,287.1314697265625,0,21,287.1314697265625,-9.2157022030942e-13
11,2018-04-28,31,1700.87890625,10,1.0,R_A5,STANDARD,278.701171875,0,21,278.701171875,-1.0340714950984875e-09
12,2018-04-28,31,1702.940185546875,11,1.0,R_A5,STANDARD,278.8972473144531,0,21,278.8972473144531,-9.55239110034256e-10
13,2018-04-28,31,1705.001220703125,12,1.0,R_A5,STANDARD,279.10772705078125,0,21,279.10772705078125,-5.611832179508447e-11
14,2018-04-28,31,1707.0625,13,1.0,R_A5,STANDARD,279.30743408203125,0,21,279.30743408203125,-8.69062183328495e-11
15,2018-04-28,31,1709.1236572265625,14,1.0,R_A5,STANDARD,279.6031494140625,0,21,279.6031494140625,-1.4822738522712875e-11
16,2018-04-28,31,1711.184814453125,15,1.0,R_A5,STANDARD,280.035888671875,0,21,280.035888671875,-3.71092739870349e-12
17,2018-04-28,31,1713.229736328125,16,1.0,R_A5,STANDARD,280.2869873046875,0,21,280.2869873046875,-3.877460418716394e-12
18,2018-04-28,31,1714.6475830078125,17,1.0,R_A5,STANDARD,280.44500732421875,0,21,280.44500732421875,-4.652862821469954e-18
19,2018-04-28,31,1715.3065185546875,18,1.0,R_A5,STANDARD,280.512451171875,0,21,280.512451171875,0.0
25,2018-04-28,31,1716.7098388671875,19,1.0,R_A5,STANDARD,284.7717590332031,0,21,284.7717590332031,-9.986141254192393e-12
26,2018-04-28,31,1719.0059814453125,20,1.0,R_A5,STANDARD,284.98822021484375,0,21,284.98822021484375,-7.90545406914589e-12
27,2018-04-28,31,1721.3021240234375,21,1.0,R_A5,STANDARD,296.8544921875,0,21,296.8544921875,3.54622544282048e-18
28,2018-04-28,31,1723.5982666015625,22,1.0,R_A5,STANDARD,304.6059875488281,0,21,304.6059875488281,-1.5103393869377699e-19
29,2018-04-28,31,1725.8944091796875,23,1.0,R_A5,STANDARD,307.1505432128906,0,21,307.1505432128906,-2.325157647911286e-21
1,2018-07-03,28,1609.9671630859375,1,0.07967538386583328,R_A3,STANDARD,281.3915710449219,0,41,281.3915710449219,0.0
1,2018-07-03,29,1597.7392578125,2,0.6494538187980652,R_A3,STANDARD,280.3642272949219,0,41,280.3642272949219,0.0
2,2018-07-03,29,1599.931640625,3,0.11880458146333694,R_A3,STANDARD,280.5125732421875,0,41,280.5125732421875,0.0
3,2018-07-03,29,1602.1240234375,4,0.1487523913383484,R_A3,STANDARD,280.6588439941406,0,41,280.6588439941406,0.0
4,2018-07-03,29,1604.3165283203125,5,0.3496491312980652,R_A3,STANDARD,280.8735046386719,0,41,280.8735046386719,0.0
5,2018-07-03,29,1606.5089111328125,6,0.8043690919876099,R_A3,STANDARD,281.0232238769531,0,41,281.0232238769531,0.0
6,2018-07-03,29,1608.701416015625,7,0.6521151661872864,R_A3,STANDARD,281.0318603515625,0,41,281.0318603515625,0.0
7,2018-07-03,29,1610.893798828125,8,0.19461007416248322,R_A3,STANDARD,281.208740234375,0,41,281.208740234375,0.0
8,2018-07-03,29,1613.086181640625,9,0.19603382050991058,R_A3,STANDARD,281.35546875,0,41,281.35546875,0.0
9,2018-07-03,29,1615.2786865234375,10,0.7905873656272888,R_A3,STANDARD,281.6457214355469,0,41,281.6457214355469,0.0
10,2018-07-03,29,1617.47119140625,11,0.7832493782043457,R_A3,STANDARD,282.7452392578125,0,41,282.7452392578125,0.0
11,2018-07-03,29,1619.7103271484375,12,0.04685546085238457,R_A3,STANDARD,286.6571350097656,0,41,286.6571350097656,0.0
12,2018-07-03,29,1621.996337890625,13,0.050735849887132645,R_A3,STANDARD,286.8099060058594,0,41,286.8099060058594,0.0
13,2018-07-03,29,1624.2823486328125,14,0.3564864993095398,R_A3,STANDARD,286.9631652832031,0,41,286.9631652832031,0.0
15,2018-07-03,29,1628.854248046875,15,0.6436399817466736,R_A3,STANDARD,288.4155578613281,0,41,288.4155578613281,0.0
16,2018-07-03,29,1630.8936767578125,16,0.79583740234375,R_A3,STANDARD,288.6113586425781,0,41,288.6113586425781,0.0
25,2018-07-03,29,1633.974853515625,17,1.0,R_A3,STANDARD,289.6177062988281,0,41,289.6177062988281,1.4452756699756542e-11
26,2018-07-03,29,1637.6934814453125,18,0.042212679982185364,R_A3,STANDARD,286.17864990234375,0,41,286.17864990234375,0.0
