SGAS,SWAT,CONIDX,WELL,DEPTH,CONKPOS,CONBPRES,DATE,CONIPOS,PRESSURE,WELLMODEL,DRAWDOWN,CONJPOS
0.0,0.6482129096984863,8,R_A2,1655.6591796875,8,300.8074035644531,2018-03-01,22,300.8074035644531,STANDARD,0,30
0.0,0.6482384204864502,9,R_A2,1657.433349609375,9,300.9288330078125,2018-03-01,22,300.9288330078125,STANDARD,0,30
0.0,0.9280179738998413,10,R_A2,1659.2076416015625,10,301.12823486328125,2018-03-01,22,301.12823486328125,STANDARD,0,30
0.0,0.08341357111930847,11,R_A2,1661.0751953125,11,301.310302734375,2018-03-01,22,301.310302734375,STANDARD,0,30
0.0,0.08775933086872101,12,R_A2,1663.0361328125,12,301.5789489746094,2018-03-01,22,301.5789489746094,STANDARD,0,30
0.0,0.4771767556667328,13,R_A2,1664.9970703125,13,301.6533203125,2018-03-01,22,301.6533203125,STANDARD,0,30
0.0,0.5472657084465027,14,R_A2,1666.9580078125,14,301.7618408203125,2018-03-01,22,301.7618408203125,STANDARD,0,30
0.0,0.7250989079475403,15,R_A2,1668.9189453125,15,301.891845703125,2018-03-01,22,301.891845703125,STANDARD,0,30
0.0,0.6794697642326355,16,R_A2,1665.4862060546875,15,301.5783386230469,2018-03-01,22,301.5783386230469,STANDARD,0,29
0.0,0.9550817608833313,17,R_A2,1667.4906005859375,16,301.7091369628906,2018-03-01,22,301.7091369628906,STANDARD,0,29
0.0,0.9547827243804932,18,R_A2,1669.4951171875,17,301.8426208496094,2018-03-01,22,301.8426208496094,STANDARD,0,29
0.0,0.9594355225563049,19,R_A2,1671.4996337890625,18,301.9761962890625,2018-03-01,22,301.9761962890625,STANDARD,0,29
-7.143324154412767e-09,0.9999999403953552,20,R_A2,1673.0555419921875,19,302.0789489746094,2018-03-01,22,302.0789489746094,STANDARD,0,29
0.0,0.2943713963031769,21,R_A2,1674.5478515625,26,302.1705627441406,2018-03-01,22,302.1705627441406,STANDARD,0,29
0.0,0.8638611435890198,22,R_A2,1676.425048828125,27,302.2973937988281,2018-03-01,22,302.2973937988281,STANDARD,0,29
-2.475363143628062e-11,1.0,23,R_A2,1678.3021240234375,28,302.8603210449219,2018-03-01,22,302.8603210449219,STANDARD,0,29
-4.433793115369688e-15,1.0,24,R_A2,1680.17919921875,29,303.42681884765625,2018-03-01,22,303.42681884765625,STANDARD,0,29
-1.4313635228269057e-16,1.0,25,R_A2,1682.056396484375,30,303.7532043457031,2018-03-01,22,303.7532043457031,STANDARD,0,29
-1.525775585294381e-18,1.0,1,R_A5,1687.659423828125,1,263.2568664550781,2018-04-28,31,263.2568664550781,STANDARD,0,20
-1.687925567385497e-16,1.0,2,R_A5,1690.05712890625,2,263.4839782714844,2018-04-28,31,263.4839782714844,STANDARD,0,20
-2.4136955573751976e-16,1.0,3,R_A5,1692.454833984375,3,263.71099853515625,2018-04-28,31,263.71099853515625,STANDARD,0,20
-2.5179134324141827e-16,1.0,4,R_A5,1694.8525390625,4,263.9379577636719,2018-04-28,31,263.9379577636719,STANDARD,0,20
-2.630962949417274e-16,1.0,5,R_A5,1697.250244140625,5,264.16485595703125,2018-04-28,31,264.16485595703125,STANDARD,0,20
-2.253047553296743e-16,1.0,6,R_A5,1699.64794921875,6,264.3917236328125,2018-04-28,31,264.3917236328125,STANDARD,0,20
-8.974020923350223e-17,1.0,7,R_A5,1702.045654296875,7,264.9417419433594,2018-04-28,31,264.9417419433594,STANDARD,0,20
-1.2258980451856222e-13,1.0,8,R_A5,1692.574462890625,9,267.1598815917969,2018-04-28,31,267.1598815917969,STANDARD,0,21
-5.5005010962672074e-11,1.0,9,R_A5,1697.31494140625,11,266.29254150390625,2018-04-28,31,266.29254150390625,STANDARD,0,21
-3.367550335808822e-11,1.0,10,R_A5,1699.254150390625,12,266.47607421875,2018-04-28,31,266.47607421875,STANDARD,0,21
-2.8986837236066876e-11,1.0,11,R_A5,1701.193359375,13,266.6597595214844,2018-04-28,31,266.6597595214844,STANDARD,0,21
-3.746296241974312e-12,1.0,12,R_A5,1703.132568359375,14,266.85528564453125,2018-04-28,31,266.85528564453125,STANDARD,0,21
-1.2177095269627625e-12,1.0,13,R_A5,1705.07177734375,15,267.0389099121094,2018-04-28,31,267.0389099121094,STANDARD,0,21
-2.3462847875514725e-13,1.0,14,R_A5,1707.010986328125,16,267.5637512207031,2018-04-28,31,267.5637512207031,STANDARD,0,21
-2.467554155796692e-13,1.0,15,R_A5,1708.9500732421875,17,267.8902893066406,2018-04-28,31,267.8902893066406,STANDARD,0,21
-3.670272907211475e-13,1.0,16,R_A5,1710.814697265625,18,268.066650390625,2018-04-28,31,268.066650390625,STANDARD,0,21
-4.502121874090659e-13,1.0,17,R_A5,1712.2138671875,19,268.19891357421875,2018-04-28,31,268.19891357421875,STANDARD,0,21
-7.004873070481921e-11,1.0,18,R_A5,1714.23974609375,26,268.2059326171875,2018-04-28,31,268.2059326171875,STANDARD,0,21
-9.220704755286135e-11,1.0,19,R_A5,1716.69580078125,27,268.4305114746094,2018-04-28,31,268.4305114746094,STANDARD,0,21
-1.9702156752341212e-17,1.0,20,R_A5,1719.15185546875,28,286.69921875,2018-04-28,31,286.69921875,STANDARD,0,21
-7.008904816592492e-18,1.0,21,R_A5,1721.60791015625,29,300.7497863769531,2018-04-28,31,300.7497863769531,STANDARD,0,21
-1.9354670533018085e-19,1.0,22,R_A5,1724.06396484375,30,305.86578369140625,2018-04-28,31,305.86578369140625,STANDARD,0,21
0.0,0.3060168921947479,1,R_A3,1607.5479736328125,1,294.30914306640625,2018-07-03,28,294.30914306640625,STANDARD,0,41
0.0,0.20015670359134674,2,R_A3,1609.5286865234375,2,294.4417419433594,2018-07-03,28,294.4417419433594,STANDARD,0,41
0.0,0.18662920594215393,3,R_A3,1601.2490234375,2,293.8528747558594,2018-07-03,29,293.8528747558594,STANDARD,0,41
0.0,0.18301647901535034,4,R_A3,1603.406494140625,3,293.997314453125,2018-07-03,29,293.997314453125,STANDARD,0,41
0.0,0.6501915454864502,5,R_A3,1605.5640869140625,4,294.1490783691406,2018-07-03,29,294.1490783691406,STANDARD,0,41
0.0,0.8117151856422424,6,R_A3,1607.7216796875,5,294.3905029296875,2018-07-03,29,294.3905029296875,STANDARD,0,41
0.0,0.6484097838401794,7,R_A3,1609.8792724609375,6,294.5370788574219,2018-07-03,29,294.5370788574219,STANDARD,0,41
0.0,0.19466549158096313,8,R_A3,1612.036865234375,7,294.6852111816406,2018-07-03,29,294.6852111816406,STANDARD,0,41
0.0,0.19850213825702667,9,R_A3,1614.1943359375,8,294.8296813964844,2018-07-03,29,294.8296813964844,STANDARD,0,41
0.0,0.7995428442955017,10,R_A3,1616.3519287109375,9,294.9979248046875,2018-07-03,29,294.9979248046875,STANDARD,0,41
0.0,0.8057569265365601,11,R_A3,1618.509521484375,10,295.2304992675781,2018-07-03,29,295.2304992675781,STANDARD,0,41
0.0,0.049949321895837784,12,R_A3,1620.73486328125,11,289.9664306640625,2018-07-03,29,289.9664306640625,STANDARD,0,41
0.0,0.054272159934043884,13,R_A3,1623.0277099609375,12,290.1197814941406,2018-07-03,29,290.1197814941406,STANDARD,0,41
0.0,0.37908533215522766,14,R_A3,1625.3206787109375,13,290.27362060546875,2018-07-03,29,290.27362060546875,STANDARD,0,41
0.0,0.5143409371376038,15,R_A3,1629.9066162109375,15,292.1446533203125,2018-07-03,29,292.1446533203125,STANDARD,0,41
0.0,0.8150614500045776,16,R_A3,1631.903564453125,16,292.2953186035156,2018-07-03,29,292.2953186035156,STANDARD,0,41
0.0,0.7584128379821777,17,R_A3,1634.75341796875,26,290.36712646484375,2018-07-03,29,290.36712646484375,STANDARD,0,41
0.0,0.04712831228971481,18,R_A3,1638.34619140625,27,290.556884765625,2018-07-03,29,290.556884765625,STANDARD,0,41
0.0,0.05322934314608574,19,R_A3,1641.9388427734375,28,290.7972106933594,2018-07-03,29,290.7972106933594,STANDARD,0,41
0.0,0.8101933598518372,20,R_A3,1645.5316162109375,29,296.5915832519531,2018-07-03,29,296.5915832519531,STANDARD,0,41
0.0,0.09975644201040268,21,R_A3,1649.1243896484375,30,291.2484130859375,2018-07-03,29,291.2484130859375,STANDARD,0,41
0.0,0.051866382360458374,1,R_A4,1631.2314453125,1,284.42083740234375,2018-09-12,30,284.42083740234375,STANDARD,0,52
0.0,0.04802325367927551,2,R_A4,1625.6962890625,1,284.0871887207031,2018-09-12,31,284.0871887207031,STANDARD,0,52
0.0,0.05153916776180267,3,R_A4,1627.80029296875,2,284.2276916503906,2018-09-12,31,284.2276916503906,STANDARD,0,52
0.0,0.053175490349531174,4,R_A4,1629.904296875,3,284.3681945800781,2018-09-12,31,284.3681945800781,STANDARD,0,52
