DATE,SWAT,WELLMODEL,CONBPRES,PRESSURE,CONJPOS,CONIPOS,SGAS,DEPTH,CONIDX,DRAWDOWN,WELL,CONKPOS
2018-04-28,1.0,STANDARD,286.58489990234375,286.58489990234375,21,31,-9.325074046273585e-10,1714.779541015625,17,0,R_A5,26
2018-04-28,1.0,STANDARD,286.80517578125,286.80517578125,21,31,-9.44355926790763e-10,1717.2269287109375,18,0,R_A5,27
2018-04-28,1.0,STANDARD,287.3632507324219,287.3632507324219,21,31,-2.8654079109458053e-10,1719.67431640625,19,0,R_A5,28
2018-04-28,1.0,STANDARD,296.4314270019531,296.4314270019531,21,31,-2.1320844192256917e-15,1722.1217041015625,20,0,R_A5,29
2018-04-28,1.0,STANDARD,304.5246887207031,304.5246887207031,21,31,-4.179588125275289e-18,1724.569091796875,21,0,R_A5,30
2018-07-03,0.3580299913883209,STANDARD,278.09259033203125,278.09259033203125,41,28,0.0,1607.4884033203125,1,0,R_A3,1
2018-07-03,0.6507731676101685,STANDARD,277.6753234863281,277.6753234863281,41,29,0.0,1601.7396240234375,2,0,R_A3,1
2018-07-03,0.18957459926605225,STANDARD,277.8134460449219,277.8134460449219,41,29,0.0,1603.732177734375,3,0,R_A3,2
2018-07-03,0.16637840867042542,STANDARD,277.94622802734375,277.94622802734375,41,29,0.0,1605.724853515625,4,0,R_A3,3
2018-07-03,0.18266281485557556,STANDARD,278.0790100097656,278.0790100097656,41,29,0.0,1607.717529296875,5,0,R_A3,4
2018-07-03,0.803107500076294,STANDARD,278.4622802734375,278.4622802734375,41,29,0.0,1609.710205078125,6,0,R_A3,5
2018-07-03,0.6496020555496216,STANDARD,278.5017395019531,278.5017395019531,41,29,0.0,1611.702880859375,7,0,R_A3,6
2018-07-03,0.2061205804347992,STANDARD,278.6513671875,278.6513671875,41,29,0.0,1613.6954345703125,8,0,R_A3,7
2018-07-03,0.20758609473705292,STANDARD,278.78424072265625,278.78424072265625,41,29,0.0,1615.6881103515625,9,0,R_A3,8
2018-07-03,0.7736402153968811,STANDARD,279.6864013671875,279.6864013671875,41,29,0.0,1617.6807861328125,10,0,R_A3,9
