SGAS,CONBPRES,WELL,PRESSURE,CONIPOS,DEPTH,CONJPOS,DRAWDOWN,DATE,WELLMODEL,CONKPOS,SWAT,CONIDX
8.717420841718344e-15,303.1258544921875,R_A2,303.1258544921875,22,1681.4754638671875,29,0,2018-03-01,STANDARD,30,1.0,23
4.25884857157012e-16,303.62518310546875,R_A2,303.62518310546875,22,1683.2447509765625,29,0,2018-03-01,STANDARD,31,1.0,24
-5.8046468907719595e-18,270.8945617675781,R_A5,270.8945617675781,31,1685.026611328125,20,0,2018-04-28,STANDARD,1,1.0,1
-6.725644889106486e-16,271.1112976074219,R_A5,271.1112976074219,31,1687.3070068359375,20,0,2018-04-28,STANDARD,2,1.0,2
-9.01364710985625e-16,271.32769775390625,R_A5,271.32769775390625,31,1689.5875244140625,20,0,2018-04-28,STANDARD,3,1.0,3
-9.759851372651766e-16,271.5439147949219,R_A5,271.5439147949219,31,1691.8680419921875,20,0,2018-04-28,STANDARD,4,1.0,4
-9.80938374182483e-16,271.75994873046875,R_A5,271.75994873046875,31,1694.1485595703125,20,0,2018-04-28,STANDARD,5,1.0,5
-8.215432377121359e-16,271.9758605957031,R_A5,271.9758605957031,31,1696.4290771484375,20,0,2018-04-28,STANDARD,6,1.0,6
-2.9528735858565345e-16,272.51824951171875,R_A5,272.51824951171875,31,1698.70947265625,20,0,2018-04-28,STANDARD,7,1.0,7
-1.7650586396113221e-13,274.4778747558594,R_A5,274.4778747558594,31,1707.6488037109375,20,0,2018-04-28,STANDARD,11,1.0,8
-1.1691282707573802e-13,274.6592102050781,R_A5,274.6592102050781,31,1709.5638427734375,20,0,2018-04-28,STANDARD,12,1.0,9
-8.054957395531304e-11,273.17584228515625,R_A5,273.17584228515625,31,1701.7845458984375,21,0,2018-04-28,STANDARD,12,1.0,10
-4.8176172252889504e-12,273.3728332519531,R_A5,273.3728332519531,31,1703.735107421875,21,0,2018-04-28,STANDARD,13,1.0,11
-7.794810803762875e-12,273.5578308105469,R_A5,273.5578308105469,31,1705.6856689453125,21,0,2018-04-28,STANDARD,14,1.0,12
