WELLMODEL,CONIPOS,CONBPRES,PRESSURE,DRAWDOWN,WELL,CONKPOS,DATE,CONJPOS,SGAS,CONIDX,DEPTH,SWAT
STANDARD,31,272.7303771972656,272.7303771972656,0,R_A5,14,2018-04-28,21,-3.179280406648277e-12,12,1705.6856689453125,1.0
STANDARD,31,273.3490295410156,273.3490295410156,0,R_A5,15,2018-04-28,21,-5.055225335559577e-12,13,1707.63623046875,1.0
STANDARD,31,274.0929260253906,274.0929260253906,0,R_A5,16,2018-04-28,21,-2.1785190838785606e-12,14,1709.5867919921875,1.0
STANDARD,31,274.3995056152344,274.3995056152344,0,R_A5,17,2018-04-28,21,-2.1088908614200208e-13,15,1711.537353515625,1.0
STANDARD,31,274.5556335449219,274.5556335449219,0,R_A5,18,2018-04-28,21,-2.1705478126660127e-13,16,1713.35400390625,1.0
STANDARD,31,274.6457824707031,274.6457824707031,0,R_A5,19,2018-04-28,21,0.0,17,1714.3951416015625,1.0
STANDARD,31,274.6125183105469,274.6125183105469,0,R_A5,27,2018-04-28,21,-8.637156094504217e-12,18,1715.7628173828125,1.0
STANDARD,31,274.8539733886719,274.8539733886719,0,R_A5,28,2018-04-28,21,-6.263603351264191e-12,19,1718.098388671875,1.0
STANDARD,31,285.7341613769531,285.7341613769531,0,R_A5,29,2018-04-28,21,-2.1668436877996686e-19,20,1720.43408203125,1.0
STANDARD,31,281.78497314453125,281.78497314453125,0,R_A5,30,2018-04-28,21,-7.345549789672588e-17,21,1722.7696533203125,1.0
STANDARD,31,298.2883605957031,298.2883605957031,0,R_A5,31,2018-04-28,21,-1.501519088980283e-20,22,1725.105224609375,1.0
STANDARD,28,283.2049255371094,283.2049255371094,0,R_A3,1,2018-07-03,41,0.0,1,1609.243408203125,0.13514740765094757
STANDARD,28,283.3427734375,283.3427734375,0,R_A3,2,2018-07-03,41,0.0,2,1611.3077392578125,0.11841949075460434
STANDARD,28,283.4806823730469,283.4806823730469,0,R_A3,3,2018-07-03,41,0.0,3,1613.3720703125,0.12275587022304535
STANDARD,28,283.61968994140625,283.61968994140625,0,R_A3,4,2018-07-03,41,0.0,4,1615.4365234375,0.2489234209060669
STANDARD,28,283.75823974609375,283.75823974609375,0,R_A3,5,2018-07-03,41,0.0,5,1617.5008544921875,0.6496340036392212
STANDARD,28,283.9009704589844,283.9009704589844,0,R_A3,6,2018-07-03,41,0.0,6,1619.565185546875,0.34126225113868713
STANDARD,29,283.22607421875,283.22607421875,0,R_A3,6,2018-07-03,41,0.0,7,1609.3663330078125,0.6491355895996094
STANDARD,29,283.378173828125,283.378173828125,0,R_A3,7,2018-07-03,41,0.0,8,1611.4163818359375,0.19862613081932068
STANDARD,29,283.51495361328125,283.51495361328125,0,R_A3,8,2018-07-03,41,0.0,9,1613.46630859375,0.20123271644115448
STANDARD,29,283.6500244140625,283.6500244140625,0,R_A3,9,2018-07-03,41,0.0,10,1615.516357421875,0.649961531162262
STANDARD,29,284.54351806640625,284.54351806640625,0,R_A3,10,2018-07-03,41,0.0,11,1617.5662841796875,0.7971013188362122
STANDARD,29,284.07763671875,284.07763671875,0,R_A3,11,2018-07-03,41,0.0,12,1619.750732421875,0.05098145455121994
STANDARD,29,284.23248291015625,284.23248291015625,0,R_A3,12,2018-07-03,41,0.0,13,1622.0697021484375,0.05467436462640762
STANDARD,29,284.3877868652344,284.3877868652344,0,R_A3,13,2018-07-03,41,0.0,14,1624.388671875,0.368522971868515
STANDARD,29,284.5892639160156,284.5892639160156,0,R_A3,14,2018-07-03,41,0.0,15,1626.707763671875,0.3719676434993744
STANDARD,29,284.5538024902344,284.5538024902344,0,R_A3,15,2018-07-03,41,0.0,16,1629.026611328125,0.4898848235607147
STANDARD,29,284.6768493652344,284.6768493652344,0,R_A3,16,2018-07-03,41,0.0,17,1630.9468994140625,0.8015867471694946
STANDARD,29,284.6585388183594,284.6585388183594,0,R_A3,27,2018-07-03,41,0.0,18,1633.5262451171875,0.3067975640296936
STANDARD,29,284.84454345703125,284.84454345703125,0,R_A3,28,2018-07-03,41,0.0,19,1637.1630859375,0.04452552646398544
STANDARD,29,285.08740234375,285.08740234375,0,R_A3,29,2018-07-03,41,0.0,20,1640.8001708984375,0.08931873738765717
STANDARD,29,288.8435363769531,288.8435363769531,0,R_A3,30,2018-07-03,41,-5.6868423164990745e-11,21,1644.4371337890625,1.0
STANDARD,29,285.56573486328125,285.56573486328125,0,R_A3,31,2018-07-03,41,0.0,22,1648.0740966796875,0.06383403390645981
STANDARD,30,276.24627685546875,276.24627685546875,0,R_A4,1,2018-09-12,52,0.0,1,1631.1873779296875,0.05160786584019661
STANDARD,31,276.13372802734375,276.13372802734375,0,R_A4,1,2018-09-12,52,0.0,2,1627.4293212890625,0.0495481938123703
STANDARD,31,276.2710266113281,276.2710266113281,0,R_A4,2,2018-09-12,52,0.0,3,1629.4896240234375,0.051070697605609894
