CONKPOS,SGAS,DATE,DRAWDOWN,SWAT,CONJPOS,CONIPOS,CONIDX,PRESSURE,DEPTH,CONBPRES,WELLMODEL,WELL
28,-3.840918258645868e-21,2018-04-28,0,1.0,21,31,20,295.9888610839844,1720.9219970703125,295.9888610839844,STANDARD,R_A5
29,-2.198491729107563e-22,2018-04-28,0,1.0,21,31,21,304.1501770019531,1723.1988525390625,304.1501770019531,STANDARD,R_A5
30,-6.000760381946295e-24,2018-04-28,0,1.0,21,31,22,307.0238037109375,1725.4755859375,307.0238037109375,STANDARD,R_A5
1,0.0,2018-07-03,0,0.6494301557540894,41,28,1,278.460205078125,1609.1365966796875,278.460205078125,STANDARD,R_A3
2,0.0,2018-07-03,0,0.14959819614887238,41,28,2,278.59124755859375,1611.159912109375,278.59124755859375,STANDARD,R_A3
3,0.0,2018-07-03,0,0.09408396482467651,41,28,3,278.72607421875,1613.18310546875,278.72607421875,STANDARD,R_A3
3,0.0,2018-07-03,0,0.11850954592227936,41,29,4,278.0679626464844,1603.359375,278.0679626464844,STANDARD,R_A3
4,0.0,2018-07-03,0,0.14352737367153168,41,29,5,278.2099914550781,1605.4892578125,278.2099914550781,STANDARD,R_A3
5,0.0,2018-07-03,0,0.6494382619857788,41,29,6,278.35626220703125,1607.619140625,278.35626220703125,STANDARD,R_A3
6,0.0,2018-07-03,0,0.1822361946105957,41,29,7,278.49285888671875,1609.7490234375,278.49285888671875,STANDARD,R_A3
7,0.0,2018-07-03,0,0.1498834639787674,41,29,8,278.6348876953125,1611.8790283203125,278.6348876953125,STANDARD,R_A3
8,0.0,2018-07-03,0,0.14695954322814941,41,29,9,278.7768859863281,1614.0089111328125,278.7768859863281,STANDARD,R_A3
9,0.0,2018-07-03,0,0.7926154136657715,41,29,10,279.08203125,1616.138916015625,279.08203125,STANDARD,R_A3
10,0.0,2018-07-03,0,0.799460232257843,41,29,11,284.73681640625,1618.268798828125,284.73681640625,STANDARD,R_A3
11,0.0,2018-07-03,0,0.04855770617723465,41,29,12,295.94708251953125,1620.470947265625,295.94708251953125,STANDARD,R_A3
12,0.0,2018-07-03,0,0.053002823144197464,41,29,13,296.09942626953125,1622.7452392578125,296.09942626953125,STANDARD,R_A3
13,0.0,2018-07-03,0,0.3607815206050873,41,29,14,296.2519836425781,1625.01953125,296.2519836425781,STANDARD,R_A3
14,0.0,2018-07-03,0,0.18422752618789673,41,29,15,296.44122314453125,1627.2939453125,296.44122314453125,STANDARD,R_A3
15,0.0,2018-07-03,0,0.49657896161079407,41,29,16,296.7913513183594,1629.5682373046875,296.7913513183594,STANDARD,R_A3
16,0.0,2018-07-03,0,0.8009002208709717,41,29,17,296.9291687011719,1631.5611572265625,296.9291687011719,STANDARD,R_A3
26,0.0,2018-07-03,0,0.6779077053070068,41,29,18,285.02545166015625,1634.323486328125,285.02545166015625,STANDARD,R_A3
27,0.0,2018-07-03,0,0.04361606016755104,41,29,19,285.25396728515625,1637.93115234375,285.25396728515625,STANDARD,R_A3
28,0.0,2018-07-03,0,0.049751557409763336,41,29,20,285.4949645996094,1641.5389404296875,285.4949645996094,STANDARD,R_A3
29,6.930476513993889e-15,2018-07-03,0,1.0,41,29,21,288.985595703125,1645.1466064453125,288.985595703125,STANDARD,R_A3
30,0.0,2018-07-03,0,0.06154725328087807,41,29,22,285.86077880859375,1648.75439453125,285.86077880859375,STANDARD,R_A3
1,0.0,2018-09-12,0,0.051703646779060364,52,30,1,279.0531921386719,1632.3646240234375,279.0531921386719,STANDARD,R_A4
1,0.0,2018-09-12,0,0.050257135182619095,52,31,2,278.7403869628906,1626.2474365234375,278.7403869628906,STANDARD,R_A4
2,0.0,2018-09-12,0,0.049980148673057556,52,31,3,278.87823486328125,1628.314453125,278.87823486328125,STANDARD,R_A4
3,0.0,2018-09-12,0,0.051207318902015686,52,31,4,279.0159912109375,1630.3814697265625,279.0159912109375,STANDARD,R_A4
4,0.0,2018-09-12,0,0.053178321570158005,52,31,5,279.1537170410156,1632.4483642578125,279.1537170410156,STANDARD,R_A4
5,0.0,2018-09-12,0,0.05415748059749603,52,31,6,279.29150390625,1634.515380859375,279.29150390625,STANDARD,R_A4
5,0.0,2018-09-12,0,0.0559609979391098,52,32,7,279.2574768066406,1632.614990234375,279.2574768066406,STANDARD,R_A4
5,0.0,2018-09-12,0,0.057385433465242386,51,32,8,279.4495544433594,1637.013916015625,279.4495544433594,STANDARD,R_A4
4,0.0,2018-09-12,0,0.05419896915555,51,32,9,279.3293151855469,1635.2105712890625,279.3293151855469,STANDARD,R_A4
4,0.0,2018-09-12,0,0.056838806718587875,51,33,10,279.4626770019531,1635.8564453125,279.4626770019531,STANDARD,R_A4
