CONJPOS,CONIPOS,SGAS,CONIDX,WELL,WELLMODEL,PRESSURE,DATE,SWAT,DEPTH,CONBPRES,DRAWDOWN,CONKPOS
20,31,-7.551304411638799e-19,1,R_A5,STANDARD,260.87762451171875,2018-04-28,1.0,1685.026611328125,260.87762451171875,0,1
20,31,-1.6214665682505366e-16,2,R_A5,STANDARD,261.09356689453125,2018-04-28,1.0,1687.3070068359375,261.09356689453125,0,2
20,31,-2.2084701945162194e-16,3,R_A5,STANDARD,261.3094177246094,2018-04-28,1.0,1689.5875244140625,261.3094177246094,0,3
20,31,-2.447382057687501e-16,4,R_A5,STANDARD,261.5252380371094,2018-04-28,1.0,1691.8680419921875,261.5252380371094,0,4
20,31,-2.7965078627220424e-16,5,R_A5,STANDARD,261.74102783203125,2018-04-28,1.0,1694.1485595703125,261.74102783203125,0,5
20,31,-2.5051827919147466e-16,6,R_A5,STANDARD,261.956787109375,2018-04-28,1.0,1696.4290771484375,261.956787109375,0,6
20,31,-1.1590841201875209e-16,7,R_A5,STANDARD,262.49310302734375,2018-04-28,1.0,1698.70947265625,262.49310302734375,0,7
20,31,-2.195738436992084e-14,8,R_A5,STANDARD,263.2137451171875,2018-04-28,1.0,1707.6488037109375,263.2137451171875,0,11
20,31,-1.502776717085194e-14,9,R_A5,STANDARD,263.39495849609375,2018-04-28,1.0,1709.5638427734375,263.39495849609375,0,12
21,31,-6.252173691961849e-12,10,R_A5,STANDARD,262.3094177246094,2018-04-28,1.0,1701.7845458984375,262.3094177246094,0,12
21,31,-3.9289508061909895e-13,11,R_A5,STANDARD,262.506103515625,2018-04-28,1.0,1703.735107421875,262.506103515625,0,13
21,31,-6.636709411200759e-13,12,R_A5,STANDARD,262.6907958984375,2018-04-28,1.0,1705.6856689453125,262.6907958984375,0,14
21,31,-1.2010953212918118e-12,13,R_A5,STANDARD,262.8762512207031,2018-04-28,1.0,1707.63623046875,262.8762512207031,0,15
21,31,-1.4650563748275225e-12,14,R_A5,STANDARD,263.1646728515625,2018-04-28,1.0,1709.5867919921875,263.1646728515625,0,16
21,31,-1.7706784660471292e-13,15,R_A5,STANDARD,263.3326416015625,2018-04-28,1.0,1711.537353515625,263.3326416015625,0,17
21,31,-2.780192525850267e-13,16,R_A5,STANDARD,263.4826965332031,2018-04-28,1.0,1713.35400390625,263.4826965332031,0,18
21,31,0.0,17,R_A5,STANDARD,263.5703430175781,2018-04-28,1.0,1714.3951416015625,263.5703430175781,0,19
21,31,-4.1838933576357484e-13,18,R_A5,STANDARD,263.5346984863281,2018-04-28,1.0,1715.7628173828125,263.5346984863281,0,27
21,31,-5.502324399060676e-13,19,R_A5,STANDARD,263.7444152832031,2018-04-28,1.0,1718.098388671875,263.7444152832031,0,28
21,31,-6.196789437740739e-19,20,R_A5,STANDARD,284.0949401855469,2018-04-28,1.0,1720.43408203125,284.0949401855469,0,29
21,31,-7.313499291311695e-20,21,R_A5,STANDARD,299.9792175292969,2018-04-28,1.0,1722.7696533203125,299.9792175292969,0,30
21,31,-4.890434760874849e-22,22,R_A5,STANDARD,305.7391357421875,2018-04-28,1.0,1725.105224609375,305.7391357421875,0,31
41,28,0.0,1,R_A3,STANDARD,293.5830383300781,2018-07-03,0.30855730175971985,1609.243408203125,293.5830383300781,0,1
41,28,0.0,2,R_A3,STANDARD,293.72119140625,2018-07-03,0.19985046982765198,1611.3077392578125,293.72119140625,0,2
41,28,0.0,3,R_A3,STANDARD,293.85943603515625,2018-07-03,0.19988806545734406,1613.3720703125,293.85943603515625,0,3
41,28,0.0,4,R_A3,STANDARD,294.0105895996094,2018-07-03,0.37101489305496216,1615.4365234375,294.0105895996094,0,4
41,28,0.0,5,R_A3,STANDARD,294.2112121582031,2018-07-03,0.8247002959251404,1617.5008544921875,294.2112121582031,0,5
41,28,0.0,6,R_A3,STANDARD,294.3566589355469,2018-07-03,0.2663913667201996,1619.565185546875,294.3566589355469,0,6
41,29,0.0,7,R_A3,STANDARD,293.6590576171875,2018-07-03,0.6484690308570862,1609.3663330078125,293.6590576171875,0,6
41,29,0.0,8,R_A3,STANDARD,293.7994079589844,2018-07-03,0.19381004571914673,1611.4163818359375,293.7994079589844,0,7
41,29,0.0,9,R_A3,STANDARD,293.9366455078125,2018-07-03,0.19720475375652313,1613.46630859375,293.9366455078125,0,8
41,29,0.0,10,R_A3,STANDARD,294.0870666503906,2018-07-03,0.7975550293922424,1615.516357421875,294.0870666503906,0,9
41,29,0.0,11,R_A3,STANDARD,292.7298278808594,2018-07-03,0.8033571839332581,1617.5662841796875,292.7298278808594,0,10
41,29,0.0,12,R_A3,STANDARD,290.21746826171875,2018-07-03,0.04983153194189072,1619.750732421875,290.21746826171875,0,11
41,29,0.0,13,R_A3,STANDARD,290.3725891113281,2018-07-03,0.05373549461364746,1622.0697021484375,290.3725891113281,0,12
41,29,0.0,14,R_A3,STANDARD,290.5284423828125,2018-07-03,0.3770436644554138,1624.388671875,290.5284423828125,0,13
41,29,0.0,15,R_A3,STANDARD,291.9059143066406,2018-07-03,0.501695990562439,1629.026611328125,291.9059143066406,0,15
41,29,0.0,16,R_A3,STANDARD,292.0450439453125,2018-07-03,0.8147562742233276,1630.9468994140625,292.0450439453125,0,16
41,29,0.0,17,R_A3,STANDARD,290.7117614746094,2018-07-03,0.7538410425186157,1633.5262451171875,290.7117614746094,0,27
41,29,0.0,18,R_A3,STANDARD,290.916015625,2018-07-03,0.04634126275777817,1637.1630859375,290.916015625,0,28
41,29,0.0,19,R_A3,STANDARD,291.1593017578125,2018-07-03,0.052366264164447784,1640.8001708984375,291.1593017578125,0,29
41,29,0.0,20,R_A3,STANDARD,297.9872741699219,2018-07-03,0.8056213855743408,1644.4371337890625,297.9872741699219,0,30
41,29,0.0,21,R_A3,STANDARD,291.644775390625,2018-07-03,0.1401590257883072,1648.0740966796875,291.644775390625,0,31
52,30,0.0,1,R_A4,STANDARD,282.68402099609375,2018-09-12,0.05160113796591759,1631.1873779296875,282.68402099609375,0,1
52,31,0.0,2,R_A4,STANDARD,282.4508361816406,2018-09-12,0.04871942847967148,1627.4293212890625,282.4508361816406,0,1
52,31,0.0,3,R_A4,STANDARD,282.5883483886719,2018-09-12,0.05215708911418915,1629.4896240234375,282.5883483886719,0,2
52,31,0.0,4,R_A4,STANDARD,282.7258605957031,2018-09-12,0.05332520231604576,1631.5498046875,282.7258605957031,0,3
52,31,0.0,5,R_A4,STANDARD,282.8633728027344,2018-09-12,0.05303468555212021,1633.610107421875,282.8633728027344,0,4
52,32,0.0,6,R_A4,STANDARD,282.8117370605469,2018-09-12,0.05638580396771431,1632.3968505859375,282.8117370605469,0,4
51,32,0.0,7,R_A4,STANDARD,283.0196228027344,2018-09-12,0.057367581874132156,1635.880615234375,283.0196228027344,0,4
51,33,0.0,8,R_A4,STANDARD,283.1523132324219,2018-09-12,0.058617424219846725,1637.321044921875,283.1523132324219,0,4
51,33,0.0,9,R_A4,STANDARD,283.0290222167969,2018-09-12,0.05661746487021446,1635.474609375,283.0290222167969,0,3
50,33,0.0,10,R_A4,STANDARD,283.4255676269531,2018-09-12,0.06329073011875153,1642.1485595703125,283.4255676269531,0,4
50,34,0.0,11,R_A4,STANDARD,283.40716552734375,2018-09-12,0.06315473467111588,1641.132080078125,283.40716552734375,0,4
50,34,0.0,12,R_A4,STANDARD,283.2786865234375,2018-09-12,0.09857703000307083,1639.20703125,283.2786865234375,0,3
50,35,0.0,13,R_A4,STANDARD,283.4445495605469,2018-09-12,0.09567414969205856,1640.9061279296875,283.4445495605469,0,3
50,35,0.0,14,R_A4,STANDARD,283.32012939453125,2018-09-12,0.16092777252197266,1639.0426025390625,283.32012939453125,0,2
49,35,0.0,15,R_A4,STANDARD,283.45428466796875,2018-09-12,0.23768380284309387,1641.93212890625,283.45428466796875,0,2
49,36,0.0,16,R_A4,STANDARD,279.7342224121094,2018-09-12,0.24140565097332,1642.357421875,279.7342224121094,0,30
48,36,0.0,17,R_A4,STANDARD,279.4645080566406,2018-09-12,0.21278266608715057,1639.6068115234375,279.4645080566406,0,30
48,37,0.0,18,R_A4,STANDARD,280.0596923828125,2018-09-12,0.33150261640548706,1646.7513427734375,280.0596923828125,0,30
48,38,0.0,19,R_A4,STANDARD,280.8228454589844,2018-09-12,0.7704597115516663,1653.461669921875,280.8228454589844,0,30
