SWAT,CONBPRES,PRESSURE,CONKPOS,SGAS,CONIDX,WELLMODEL,DATE,WELL,CONJPOS,CONIPOS,DRAWDOWN,DEPTH
0.1508321315050125,278.1309509277344,278.1309509277344,3,0.0,3,STANDARD,2018-07-03,R_A3,41,28,0,1613.3720703125
0.6614888906478882,278.2714538574219,278.2714538574219,4,0.0,4,STANDARD,2018-07-03,R_A3,41,28,0,1615.4365234375
0.8150005340576172,279.066162109375,279.066162109375,5,0.0,5,STANDARD,2018-07-03,R_A3,41,28,0,1617.5008544921875
0.649445116519928,279.22833251953125,279.22833251953125,6,0.0,6,STANDARD,2018-07-03,R_A3,41,28,0,1619.565185546875
0.6494430303573608,278.5160827636719,278.5160827636719,6,0.0,7,STANDARD,2018-07-03,R_A3,41,29,0,1609.3663330078125
0.19878721237182617,278.6666564941406,278.6666564941406,7,0.0,8,STANDARD,2018-07-03,R_A3,41,29,0,1611.4163818359375
0.20140498876571655,278.8033752441406,278.8033752441406,8,0.0,9,STANDARD,2018-07-03,R_A3,41,29,0,1613.46630859375
0.7985867857933044,279.0257568359375,279.0257568359375,9,0.0,10,STANDARD,2018-07-03,R_A3,41,29,0,1615.516357421875
0.8004167675971985,280.21441650390625,280.21441650390625,10,0.0,11,STANDARD,2018-07-03,R_A3,41,29,0,1617.5662841796875
0.049076344817876816,297.7455139160156,297.7455139160156,11,0.0,12,STANDARD,2018-07-03,R_A3,41,29,0,1619.750732421875
0.05436857417225838,297.9009094238281,297.9009094238281,12,0.0,13,STANDARD,2018-07-03,R_A3,41,29,0,1622.0697021484375
0.367954820394516,298.0563659667969,298.0563659667969,13,0.0,14,STANDARD,2018-07-03,R_A3,41,29,0,1624.388671875
0.5019195079803467,298.5381164550781,298.5381164550781,15,0.0,15,STANDARD,2018-07-03,R_A3,41,29,0,1629.026611328125
0.8088083267211914,298.6679992675781,298.6679992675781,16,0.0,16,STANDARD,2018-07-03,R_A3,41,29,0,1630.9468994140625
0.656300961971283,286.33544921875,286.33544921875,27,0.0,17,STANDARD,2018-07-03,R_A3,41,29,0,1633.5262451171875
0.046887148171663284,286.55255126953125,286.55255126953125,28,0.0,18,STANDARD,2018-07-03,R_A3,41,29,0,1637.1630859375
0.052702855318784714,286.7955017089844,286.7955017089844,29,0.0,19,STANDARD,2018-07-03,R_A3,41,29,0,1640.8001708984375
0.6756874918937683,287.065185546875,287.065185546875,30,0.0,20,STANDARD,2018-07-03,R_A3,41,29,0,1644.4371337890625
0.06581815332174301,287.1351318359375,287.1351318359375,31,0.0,21,STANDARD,2018-07-03,R_A3,41,29,0,1648.0740966796875
0.05172288790345192,284.3855895996094,284.3855895996094,1,0.0,1,STANDARD,2018-09-12,R_A4,52,30,0,1631.1873779296875
0.04937255382537842,284.209716796875,284.209716796875,1,0.0,2,STANDARD,2018-09-12,R_A4,52,31,0,1627.4293212890625
0.05223208665847778,284.3473205566406,284.3473205566406,2,0.0,3,STANDARD,2018-09-12,R_A4,52,31,0,1629.4896240234375
