CONJPOS,DRAWDOWN,DEPTH,SGAS,SWAT,WELL,DATE,CONIDX,CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS
30,0,1642.9696044921875,0.0,0.05568678677082062,R_A2,2018-03-01,2,22,300.197509765625,300.197509765625,STANDARD,2
30,0,1644.7652587890625,0.0,0.05816427990794182,R_A2,2018-03-01,3,22,300.3179016113281,300.3179016113281,STANDARD,3
30,0,1646.560791015625,0.0,0.06253815442323685,R_A2,2018-03-01,4,22,300.43829345703125,300.43829345703125,STANDARD,4
30,0,1648.3563232421875,0.0,0.0660955011844635,R_A2,2018-03-01,5,22,300.5587158203125,300.5587158203125,STANDARD,5
30,0,1650.15185546875,0.0,0.30240121483802795,R_A2,2018-03-01,6,22,300.68609619140625,300.68609619140625,STANDARD,6
30,0,1651.9473876953125,0.0,0.8835656046867371,R_A2,2018-03-01,7,22,300.8117980957031,300.8117980957031,STANDARD,7
30,0,1653.7430419921875,0.0,0.8664517998695374,R_A2,2018-03-01,8,22,300.9370422363281,300.9370422363281,STANDARD,8
30,0,1655.53857421875,0.0,0.8924068212509155,R_A2,2018-03-01,9,22,301.0608825683594,301.0608825683594,STANDARD,9
30,0,1657.3341064453125,0.0,0.8911104202270508,R_A2,2018-03-01,10,22,301.25372314453125,301.25372314453125,STANDARD,10
30,0,1659.234130859375,0.0,0.07089276611804962,R_A2,2018-03-01,11,22,301.26214599609375,301.26214599609375,STANDARD,11
30,0,1661.23876953125,0.0,0.07517337799072266,R_A2,2018-03-01,12,22,301.3966369628906,301.3966369628906,STANDARD,12
30,0,1663.2432861328125,0.0,0.4590875804424286,R_A2,2018-03-01,13,22,301.6759948730469,301.6759948730469,STANDARD,13
30,0,1665.2479248046875,0.0,0.4731500446796417,R_A2,2018-03-01,14,22,301.8301086425781,301.8301086425781,STANDARD,14
30,0,1667.25244140625,0.0,0.6390929818153381,R_A2,2018-03-01,15,22,301.96435546875,301.96435546875,STANDARD,15
30,0,1669.257080078125,0.0,0.9347682595252991,R_A2,2018-03-01,16,22,302.09759521484375,302.09759521484375,STANDARD,16
30,0,1671.2615966796875,0.0,0.9048831462860107,R_A2,2018-03-01,17,22,302.2317810058594,302.2317810058594,STANDARD,17
29,0,1673.025634765625,0.0,0.9341691732406616,R_A2,2018-03-01,18,22,302.3411560058594,302.3411560058594,STANDARD,17
