CONIDX,DATE,DRAWDOWN,CONKPOS,PRESSURE,SWAT,CONJPOS,CONBPRES,CONIPOS,WELL,DEPTH,SGAS,WELLMODEL
2,2018-07-03,0,2,285.0830993652344,0.1290392279624939,41,285.0830993652344,28,R_A3,1612.0654296875,0.0,STANDARD
3,2018-07-03,0,3,285.2194519042969,0.11846592277288437,41,285.2194519042969,28,R_A3,1614.1068115234375,0.0,STANDARD
4,2018-07-03,0,3,284.3659362792969,0.18387316167354584,41,284.3659362792969,29,R_A3,1601.831298828125,0.0,STANDARD
5,2018-07-03,0,4,284.510498046875,0.22040262818336487,41,284.510498046875,29,R_A3,1603.99462890625,0.0,STANDARD
6,2018-07-03,0,5,284.7695617675781,0.8025866746902466,41,284.7695617675781,29,R_A3,1606.158203125,0.0,STANDARD
7,2018-07-03,0,6,284.9125061035156,0.6490685939788818,41,284.9125061035156,29,R_A3,1608.321533203125,0.0,STANDARD
8,2018-07-03,0,7,285.0738830566406,0.19361986219882965,41,285.0738830566406,29,R_A3,1610.4849853515625,0.0,STANDARD
9,2018-07-03,0,8,285.2184753417969,0.19246415793895721,41,285.2184753417969,29,R_A3,1612.6484375,0.0,STANDARD
10,2018-07-03,0,9,285.435302734375,0.7972095012664795,41,285.435302734375,29,R_A3,1614.8118896484375,0.0,STANDARD
11,2018-07-03,0,10,286.7750549316406,0.7894746661186218,41,286.7750549316406,29,R_A3,1616.975341796875,0.0,STANDARD
12,2018-07-03,0,11,296.7227783203125,0.04687657207250595,41,296.7227783203125,29,R_A3,1619.207763671875,0.0,STANDARD
13,2018-07-03,0,12,296.876953125,0.0516701340675354,41,296.876953125,29,R_A3,1621.50927734375,0.0,STANDARD
14,2018-07-03,0,13,297.0312805175781,0.35995957255363464,41,297.0312805175781,29,R_A3,1623.8106689453125,0.0,STANDARD
15,2018-07-03,0,15,297.2735290527344,0.4922637939453125,41,297.2735290527344,29,R_A3,1628.41357421875,0.0,STANDARD
16,2018-07-03,0,16,297.4044189453125,0.7984495759010315,41,297.4044189453125,29,R_A3,1630.4918212890625,0.0,STANDARD
17,2018-07-03,0,17,297.4479064941406,0.7603520750999451,41,297.4479064941406,29,R_A3,1631.536865234375,0.0,STANDARD
18,2018-07-03,0,26,286.2333984375,0.6509581208229065,41,286.2333984375,29,R_A3,1633.51953125,0.0,STANDARD
19,2018-07-03,0,27,286.506103515625,0.04470397159457207,41,286.506103515625,29,R_A3,1637.250244140625,0.0,STANDARD
20,2018-07-03,0,28,286.7555236816406,0.047202251851558685,41,286.7555236816406,29,R_A3,1640.98095703125,0.0,STANDARD
21,2018-07-03,0,29,287.0051574707031,0.13525980710983276,41,287.0051574707031,29,R_A3,1644.711669921875,0.0,STANDARD
22,2018-07-03,0,30,287.2543029785156,0.06032964587211609,41,287.2543029785156,29,R_A3,1648.4423828125,0.0,STANDARD
1,2018-09-12,0,1,278.8329772949219,0.05041117966175079,52,278.8329772949219,30,R_A4,1632.1590576171875,0.0,STANDARD
2,2018-09-12,0,1,278.5748596191406,0.04881056025624275,52,278.5748596191406,31,R_A4,1627.37939453125,0.0,STANDARD
