DATE,SWAT,WELLMODEL,CONKPOS,CONJPOS,SGAS,DEPTH,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,CONIPOS,WELL
2018-03-01,0.8078343868255615,STANDARD,27,29,0.0,1679.9407958984375,21,301.5503234863281,0,301.5503234863281,22,R_A2
2018-03-01,0.8461487889289856,STANDARD,28,29,0.0,1681.750732421875,22,301.102294921875,0,301.102294921875,22,R_A2
2018-03-01,0.9999445676803589,STANDARD,29,29,0.0,1683.560791015625,23,301.2993469238281,0,301.2993469238281,22,R_A2
2018-03-01,1.0,STANDARD,30,29,-2.045578116616209e-12,1685.3707275390625,24,301.8528747558594,0,301.8528747558594,22,R_A2
2018-04-28,1.0,STANDARD,1,20,2.764293793866557e-10,1683.7694091796875,1,284.5197448730469,0,284.5197448730469,31,R_A5
2018-04-28,1.0,STANDARD,2,20,2.8702337728780947e-10,1686.099853515625,2,284.7404479980469,0,284.7404479980469,31,R_A5
2018-04-28,1.0,STANDARD,3,20,3.1135069522569836e-10,1688.43017578125,3,284.9610900878906,0,284.9610900878906,31,R_A5
2018-04-28,1.0,STANDARD,4,20,3.05638014896914e-10,1690.7606201171875,4,285.1817321777344,0,285.1817321777344,31,R_A5
2018-04-28,1.0,STANDARD,5,20,2.5455593188894454e-10,1693.0909423828125,5,285.4023742675781,0,285.4023742675781,31,R_A5
2018-04-28,1.0,STANDARD,6,20,2.6862045920950095e-10,1695.42138671875,6,285.6230773925781,0,285.6230773925781,31,R_A5
2018-04-28,1.0,STANDARD,7,20,1.6998163293591162e-11,1697.7518310546875,7,286.165771484375,0,286.165771484375,31,R_A5
2018-04-28,1.0,STANDARD,8,20,1.894362097742963e-11,1700.0821533203125,8,286.4248046875,0,286.4248046875,31,R_A5
2018-04-28,1.0,STANDARD,11,21,-8.28367818783704e-10,1701.3177490234375,9,284.5999450683594,0,284.5999450683594,31,R_A5
2018-04-28,1.0,STANDARD,12,21,-1.490662704384249e-09,1703.2957763671875,10,284.9187927246094,0,284.9187927246094,31,R_A5
2018-04-28,1.0,STANDARD,13,21,-6.622846715487185e-11,1705.273681640625,11,285.1233215332031,0,285.1233215332031,31,R_A5
2018-04-28,1.0,STANDARD,14,21,-1.3452483571541052e-10,1707.251708984375,12,285.3176574707031,0,285.3176574707031,31,R_A5
2018-04-28,1.0,STANDARD,15,21,-3.5670251474773096e-11,1709.2296142578125,13,285.54034423828125,0,285.54034423828125,31,R_A5
2018-04-28,1.0,STANDARD,16,21,-1.916748704200444e-11,1711.20751953125,14,285.9573059082031,0,285.9573059082031,31,R_A5
2018-04-28,1.0,STANDARD,17,21,-5.269594439624714e-13,1713.185546875,15,286.3138122558594,0,286.3138122558594,31,R_A5
2018-04-28,1.0,STANDARD,18,21,-7.048954519042749e-13,1714.969482421875,16,286.71337890625,0,286.71337890625,31,R_A5
