SGAS,SWAT,DATE,CONBPRES,DRAWDOWN,DEPTH,WELLMODEL,CONJPOS,CONIPOS,CONKPOS,CONIDX,PRESSURE,WELL
0.0,1.0,2018-01-01,305.82427978515625,0,1702.6954345703125,STANDARD,42,17,6,6,305.82427978515625,R_A6
0.0,1.0,2018-01-01,305.6717834472656,0,1704.241943359375,STANDARD,42,17,7,7,305.6717834472656,R_A6
0.0,1.0,2018-01-01,305.8183288574219,0,1705.788330078125,STANDARD,42,17,8,8,305.8183288574219,R_A6
0.0,1.0,2018-01-01,306.2639465332031,0,1707.334716796875,STANDARD,42,17,9,9,306.2639465332031,R_A6
0.0,1.0,2018-01-01,306.104736328125,0,1708.8812255859375,STANDARD,42,17,10,10,306.104736328125,R_A6
0.0,1.0,2018-01-01,306.2878723144531,0,1710.8123779296875,STANDARD,42,17,11,11,306.2878723144531,R_A6
0.0,1.0,2018-01-01,306.5073547363281,0,1713.128173828125,STANDARD,42,17,12,12,306.5073547363281,R_A6
0.0,1.0,2018-01-01,306.7388000488281,0,1715.444091796875,STANDARD,42,17,13,13,306.7388000488281,R_A6
0.0,1.0,2018-01-01,306.9582824707031,0,1717.760009765625,STANDARD,42,17,14,14,306.9582824707031,R_A6
0.0,1.0,2018-01-01,307.1777648925781,0,1720.0758056640625,STANDARD,42,17,15,15,307.1777648925781,R_A6
0.0,1.0,2018-01-01,307.5422668457031,0,1722.3916015625,STANDARD,42,17,16,16,307.5422668457031,R_A6
0.0,1.0,2018-01-01,307.7617492675781,0,1724.70751953125,STANDARD,42,17,17,17,307.7617492675781,R_A6
0.0,1.0,2018-01-01,307.9065246582031,0,1726.2349853515625,STANDARD,42,17,18,18,307.9065246582031,R_A6
0.0,1.0,2018-01-01,307.8661193847656,0,1727.46630859375,STANDARD,42,17,25,19,307.8661193847656,R_A6
0.0,1.0,2018-01-01,308.3352966308594,0,1729.190185546875,STANDARD,42,17,26,20,308.3352966308594,R_A6
0.0,1.0,2018-01-01,308.4986877441406,0,1730.9139404296875,STANDARD,42,17,27,21,308.4986877441406,R_A6
0.0,1.0,2018-01-01,308.66204833984375,0,1732.6376953125,STANDARD,42,17,28,22,308.66204833984375,R_A6
0.0,1.0,2018-01-01,308.5196533203125,0,1734.361572265625,STANDARD,42,17,29,23,308.5196533203125,R_A6
0.0,0.05339623615145683,2018-03-01,298.59039306640625,0,1640.66357421875,STANDARD,30,22,1,1,298.59039306640625,R_A2
0.0,0.055848751217126846,2018-03-01,298.70703125,0,1642.4044189453125,STANDARD,30,22,2,2,298.70703125,R_A2
0.0,0.05969235301017761,2018-03-01,298.8236999511719,0,1644.145263671875,STANDARD,30,22,3,3,298.8236999511719,R_A2
0.0,0.0816015899181366,2018-03-01,298.94036865234375,0,1645.885986328125,STANDARD,30,22,4,4,298.94036865234375,R_A2
0.0,0.1071692481637001,2018-03-01,299.0570373535156,0,1647.6268310546875,STANDARD,30,22,5,5,299.0570373535156,R_A2
0.0,0.2975683808326721,2018-03-01,299.2037048339844,0,1649.3675537109375,STANDARD,30,22,6,6,299.2037048339844,R_A2
0.0,0.8761223554611206,2018-03-01,299.32427978515625,0,1651.1083984375,STANDARD,30,22,7,7,299.32427978515625,R_A2
0.0,0.8457974791526794,2018-03-01,299.4463806152344,0,1652.8492431640625,STANDARD,30,22,8,8,299.4463806152344,R_A2
0.0,0.8807146549224854,2018-03-01,299.7887268066406,0,1654.5899658203125,STANDARD,30,22,9,9,299.7887268066406,R_A2
0.0,0.8745264410972595,2018-03-01,300.06414794921875,0,1656.330810546875,STANDARD,30,22,10,10,300.06414794921875,R_A2
0.0,0.06841070204973221,2018-03-01,299.8544616699219,0,1658.22900390625,STANDARD,30,22,11,11,299.8544616699219,R_A2
0.0,0.06562122702598572,2018-03-01,299.98858642578125,0,1660.28466796875,STANDARD,30,22,12,12,299.98858642578125,R_A2
0.0,0.4258583188056946,2018-03-01,300.14666748046875,0,1662.3404541015625,STANDARD,30,22,13,13,300.14666748046875,R_A2
0.0,0.46429643034935,2018-03-01,300.2853698730469,0,1664.3961181640625,STANDARD,30,22,14,14,300.2853698730469,R_A2
0.0,0.9036806225776672,2018-03-01,300.4284362792969,0,1666.451904296875,STANDARD,30,22,15,15,300.4284362792969,R_A2
0.0,0.9063395857810974,2018-03-01,300.5710144042969,0,1668.507568359375,STANDARD,30,22,16,16,300.5710144042969,R_A2
0.0,0.8768623471260071,2018-03-01,300.7113037109375,0,1670.5633544921875,STANDARD,30,22,17,17,300.7113037109375,R_A2
0.0,0.9650683999061584,2018-03-01,301.1020812988281,0,1675.947265625,STANDARD,29,22,17,18,301.1020812988281,R_A2
0.0,0.9941524863243103,2018-03-01,301.2115783691406,0,1677.579833984375,STANDARD,29,22,18,19,301.2115783691406,R_A2
-3.3253916350976017e-15,1.0,2018-03-01,302.2738037109375,0,1679.017822265625,STANDARD,29,22,25,20,302.2738037109375,R_A2
0.0,0.6674560308456421,2018-03-01,302.11956787109375,0,1680.71484375,STANDARD,29,22,26,21,302.11956787109375,R_A2
-1.5276866685738633e-13,1.0,2018-03-01,302.4573669433594,0,1682.412109375,STANDARD,29,22,27,22,302.4573669433594,R_A2
-1.8114393540713536e-08,0.9999998211860657,2018-03-01,302.64593505859375,0,1684.1092529296875,STANDARD,29,22,28,23,302.64593505859375,R_A2
-2.6493987559383925e-10,1.0,2018-03-01,302.8742980957031,0,1685.806396484375,STANDARD,29,22,29,24,302.8742980957031,R_A2
