CONJPOS,PRESSURE,SGAS,WELL,SWAT,DRAWDOWN,WELLMODEL,CONIPOS,CONKPOS,CONIDX,CONBPRES,DATE,DEPTH
20,277.8362731933594,-2.312862791911674e-12,R_A5,1.0,0,STANDARD,31,11,8,277.8362731933594,2018-04-28,1707.6488037109375
20,278.0322265625,-2.162041812941995e-12,R_A5,1.0,0,STANDARD,31,12,9,278.0322265625,2018-04-28,1709.5638427734375
21,276.8116455078125,-2.386711939195152e-10,R_A5,1.0,0,STANDARD,31,12,10,276.8116455078125,2018-04-28,1701.7845458984375
21,277.01202392578125,-8.292057145087295e-12,R_A5,1.0,0,STANDARD,31,13,11,277.01202392578125,2018-04-28,1703.735107421875
21,277.20166015625,-1.8530371681535485e-11,R_A5,1.0,0,STANDARD,31,14,12,277.20166015625,2018-04-28,1705.6856689453125
21,277.3952331542969,-5.993832600387217e-12,R_A5,1.0,0,STANDARD,31,15,13,277.3952331542969,2018-04-28,1707.63623046875
21,277.7789001464844,-1.0624688628890766e-11,R_A5,1.0,0,STANDARD,31,16,14,277.7789001464844,2018-04-28,1709.5867919921875
21,278.47015380859375,-7.981190578223996e-13,R_A5,1.0,0,STANDARD,31,17,15,278.47015380859375,2018-04-28,1711.537353515625
21,278.87451171875,-1.694860397860598e-12,R_A5,1.0,0,STANDARD,31,18,16,278.87451171875,2018-04-28,1713.35400390625
21,279.0929260253906,0.0,R_A5,1.0,0,STANDARD,31,19,17,279.0929260253906,2018-04-28,1714.3951416015625
21,279.1341552734375,-1.1353826949792034e-12,R_A5,1.0,0,STANDARD,31,27,18,279.1341552734375,2018-04-28,1715.7628173828125
21,279.3616027832031,-9.987251910897887e-13,R_A5,1.0,0,STANDARD,31,28,19,279.3616027832031,2018-04-28,1718.098388671875
21,291.34674072265625,-6.110692085189216e-20,R_A5,1.0,0,STANDARD,31,29,20,291.34674072265625,2018-04-28,1720.43408203125
21,293.485595703125,-4.534902678518041e-20,R_A5,1.0,0,STANDARD,31,30,21,293.485595703125,2018-04-28,1722.7696533203125
21,285.1954650878906,-1.0555885733806174e-19,R_A5,1.0,0,STANDARD,31,31,22,285.1954650878906,2018-04-28,1725.105224609375
41,281.768310546875,0.0,R_A3,0.6493394374847412,0,STANDARD,28,1,1,281.768310546875,2018-07-03,1609.243408203125
41,281.9654846191406,0.0,R_A3,0.18946948647499084,0,STANDARD,28,2,2,281.9654846191406,2018-07-03,1611.3077392578125
41,282.1051940917969,0.0,R_A3,0.19011403620243073,0,STANDARD,28,3,3,282.1051940917969,2018-07-03,1613.3720703125
