CONIPOS,SGAS,CONJPOS,WELL,CONIDX,DATE,SWAT,PRESSURE,WELLMODEL,CONKPOS,CONBPRES,DRAWDOWN,DEPTH
31,-1.3187464358369039e-12,21,R_A5,17,2018-04-28,1.0,277.9400634765625,STANDARD,17,277.9400634765625,0,1711.537353515625
31,-3.2083357238282817e-12,21,R_A5,18,2018-04-28,1.0,278.3837890625,STANDARD,18,278.3837890625,0,1713.35400390625
31,0.0,21,R_A5,19,2018-04-28,1.0,278.6767272949219,STANDARD,19,278.6767272949219,0,1714.3951416015625
31,-4.115740734333961e-12,21,R_A5,20,2018-04-28,1.0,278.74072265625,STANDARD,27,278.74072265625,0,1715.7628173828125
31,-2.8652874344003987e-12,21,R_A5,21,2018-04-28,1.0,279.1815185546875,STANDARD,28,279.1815185546875,0,1718.098388671875
31,-2.1888618139891524e-19,21,R_A5,22,2018-04-28,1.0,284.9090576171875,STANDARD,29,284.9090576171875,0,1720.43408203125
31,-9.366359548850997e-14,21,R_A5,23,2018-04-28,1.0,279.0447998046875,STANDARD,30,279.0447998046875,0,1722.7696533203125
31,-1.8909268669840372e-19,21,R_A5,24,2018-04-28,1.0,281.05694580078125,STANDARD,31,281.05694580078125,0,1725.105224609375
28,0.0,41,R_A3,1,2018-07-03,0.6495497226715088,278.1376037597656,STANDARD,1,278.1376037597656,0,1609.243408203125
28,0.0,41,R_A3,2,2018-07-03,0.19797618687152863,278.2680358886719,STANDARD,2,278.2680358886719,0,1611.3077392578125
28,0.0,41,R_A3,3,2018-07-03,0.15855376422405243,278.4053955078125,STANDARD,3,278.4053955078125,0,1613.3720703125
28,0.0,41,R_A3,4,2018-07-03,0.17324817180633545,278.5430603027344,STANDARD,4,278.5430603027344,0,1615.4365234375
28,0.0,41,R_A3,5,2018-07-03,0.652472198009491,278.6880187988281,STANDARD,5,278.6880187988281,0,1617.5008544921875
28,0.0,41,R_A3,6,2018-07-03,0.3373427093029022,278.8780822753906,STANDARD,6,278.8780822753906,0,1619.565185546875
29,0.0,41,R_A3,7,2018-07-03,0.6518147587776184,278.01959228515625,STANDARD,6,278.01959228515625,0,1609.3663330078125
29,0.0,41,R_A3,8,2018-07-03,0.19859343767166138,278.2275085449219,STANDARD,7,278.2275085449219,0,1611.4163818359375
29,0.0,41,R_A3,9,2018-07-03,0.3523407578468323,278.368896484375,STANDARD,8,278.368896484375,0,1613.46630859375
29,0.0,41,R_A3,10,2018-07-03,0.8015316128730774,278.6033020019531,STANDARD,9,278.6033020019531,0,1615.516357421875
29,0.0,41,R_A3,11,2018-07-03,0.7949489951133728,280.48095703125,STANDARD,10,280.48095703125,0,1617.5662841796875
29,0.0,41,R_A3,12,2018-07-03,0.049298033118247986,281.1073913574219,STANDARD,11,281.1073913574219,0,1619.750732421875
29,0.0,41,R_A3,13,2018-07-03,0.05502859875559807,281.2621765136719,STANDARD,12,281.2621765136719,0,1622.0697021484375
29,0.0,41,R_A3,14,2018-07-03,0.3726484477519989,281.4176330566406,STANDARD,13,281.4176330566406,0,1624.388671875
29,0.0,41,R_A3,15,2018-07-03,0.4859362840652466,283.92315673828125,STANDARD,15,283.92315673828125,0,1629.026611328125
29,0.0,41,R_A3,16,2018-07-03,0.8066537380218506,284.050048828125,STANDARD,16,284.050048828125,0,1630.9468994140625
29,1.8843595087081333e-11,41,R_A3,17,2018-07-03,1.0,288.0341796875,STANDARD,27,288.0341796875,0,1633.5262451171875
