SGAS,CONIPOS,DRAWDOWN,SWAT,CONKPOS,CONJPOS,WELL,CONBPRES,WELLMODEL,PRESSURE,CONIDX,DATE,DEPTH
0.0,31,0,1.0,13,21,R_A5,305.38165283203125,STANDARD,305.38165283203125,10,2018-01-01,1701.1240234375
0.0,31,0,1.0,14,21,R_A5,305.57763671875,STANDARD,305.57763671875,11,2018-01-01,1703.1920166015625
0.0,31,0,1.0,15,21,R_A5,305.77362060546875,STANDARD,305.77362060546875,12,2018-01-01,1705.260009765625
0.0,31,0,1.0,16,21,R_A5,306.1146240234375,STANDARD,306.1146240234375,13,2018-01-01,1707.328125
0.0,31,0,1.0,17,21,R_A5,306.31060791015625,STANDARD,306.31060791015625,14,2018-01-01,1709.3961181640625
0.0,31,0,1.0,18,21,R_A5,306.5013732910156,STANDARD,306.5013732910156,15,2018-01-01,1711.4088134765625
0.0,31,0,1.0,19,21,R_A5,306.6429748535156,STANDARD,306.6429748535156,16,2018-01-01,1712.9029541015625
0.0,31,0,1.0,25,21,R_A5,306.66705322265625,STANDARD,306.66705322265625,17,2018-01-01,1714.8148193359375
0.0,31,0,1.0,26,21,R_A5,306.91357421875,STANDARD,306.91357421875,18,2018-01-01,1717.4158935546875
0.0,31,0,1.0,27,21,R_A5,307.46588134765625,STANDARD,307.46588134765625,19,2018-01-01,1720.0169677734375
0.0,31,0,1.0,28,21,R_A5,307.71240234375,STANDARD,307.71240234375,20,2018-01-01,1722.6180419921875
0.0,31,0,1.0,29,21,R_A5,307.95892333984375,STANDARD,307.95892333984375,21,2018-01-01,1725.2191162109375
0.0,17,0,1.0,1,42,R_A6,305.14715576171875,STANDARD,305.14715576171875,1,2018-01-01,1695.5501708984375
0.0,17,0,1.0,2,42,R_A6,305.2951965332031,STANDARD,305.2951965332031,2,2018-01-01,1697.112548828125
0.0,17,0,1.0,3,42,R_A6,305.4432678222656,STANDARD,305.4432678222656,3,2018-01-01,1698.675048828125
0.0,17,0,1.0,4,42,R_A6,305.5913391113281,STANDARD,305.5913391113281,4,2018-01-01,1700.237548828125
0.0,17,0,1.0,5,42,R_A6,305.7394104003906,STANDARD,305.7394104003906,5,2018-01-01,1701.7998046875
0.0,17,0,1.0,6,42,R_A6,305.8874816894531,STANDARD,305.8874816894531,6,2018-01-01,1703.3623046875
0.0,17,0,1.0,7,42,R_A6,305.7364807128906,STANDARD,305.7364807128906,7,2018-01-01,1704.9246826171875
0.0,17,0,1.0,8,42,R_A6,305.8845520019531,STANDARD,305.8845520019531,8,2018-01-01,1706.487060546875
0.0,17,0,1.0,9,42,R_A6,306.3316955566406,STANDARD,306.3316955566406,9,2018-01-01,1708.049560546875
0.0,17,0,1.0,10,42,R_A6,306.1739807128906,STANDARD,306.1739807128906,10,2018-01-01,1709.6119384765625
0.0,17,0,1.0,11,42,R_A6,306.3587646484375,STANDARD,306.3587646484375,11,2018-01-01,1711.560546875
0.0,17,0,1.0,12,42,R_A6,306.5800476074219,STANDARD,306.5800476074219,12,2018-01-01,1713.895263671875
0.0,17,0,1.0,13,42,R_A6,306.81329345703125,STANDARD,306.81329345703125,13,2018-01-01,1716.2301025390625
0.0,17,0,1.0,14,42,R_A6,307.0345764160156,STANDARD,307.0345764160156,14,2018-01-01,1718.56494140625
0.0,17,0,1.0,15,42,R_A6,307.255859375,STANDARD,307.255859375,15,2018-01-01,1720.899658203125
0.0,17,0,1.0,16,42,R_A6,307.62213134765625,STANDARD,307.62213134765625,16,2018-01-01,1723.2344970703125
0.0,17,0,1.0,17,42,R_A6,307.84344482421875,STANDARD,307.84344482421875,17,2018-01-01,1725.5693359375
