DRAWDOWN,SWAT,PRESSURE,CONKPOS,CONBPRES,CONIPOS,DATE,WELL,CONIDX,WELLMODEL,CONJPOS,DEPTH,SGAS
0,1.0,270.9795227050781,1,270.9795227050781,31,2018-04-28,R_A5,1,STANDARD,20,1685.026611328125,1.1057404203891684e-15
0,1.0,271.1952819824219,2,271.1952819824219,31,2018-04-28,R_A5,2,STANDARD,20,1687.3070068359375,1.1247587452747508e-15
0,1.0,271.4110412597656,3,271.4110412597656,31,2018-04-28,R_A5,3,STANDARD,20,1689.5875244140625,9.641787685298726e-16
0,1.0,271.6268005371094,4,271.6268005371094,31,2018-04-28,R_A5,4,STANDARD,20,1691.8680419921875,1.0061674622746891e-15
0,1.0,271.84259033203125,5,271.84259033203125,31,2018-04-28,R_A5,5,STANDARD,20,1694.1485595703125,9.710597465560113e-16
0,1.0,272.0583801269531,6,272.0583801269531,31,2018-04-28,R_A5,6,STANDARD,20,1696.4290771484375,7.032996087973629e-16
0,1.0,272.59307861328125,7,272.59307861328125,31,2018-04-28,R_A5,7,STANDARD,20,1698.70947265625,2.892656690147246e-16
0,1.0,275.222412109375,11,275.222412109375,31,2018-04-28,R_A5,8,STANDARD,20,1707.6488037109375,-6.938776674547328e-14
0,1.0,275.40753173828125,12,275.40753173828125,31,2018-04-28,R_A5,9,STANDARD,20,1709.5638427734375,-6.188272957214844e-14
0,1.0,274.08074951171875,12,274.08074951171875,31,2018-04-28,R_A5,10,STANDARD,21,1701.7845458984375,-8.149019653513889e-13
0,1.0,274.2800598144531,13,274.2800598144531,31,2018-04-28,R_A5,11,STANDARD,21,1703.735107421875,-1.635816184114916e-13
0,1.0,274.4691467285156,14,274.4691467285156,31,2018-04-28,R_A5,12,STANDARD,21,1705.6856689453125,-1.8798267250545037e-13
0,1.0,274.66265869140625,15,274.66265869140625,31,2018-04-28,R_A5,13,STANDARD,21,1707.63623046875,-7.569482150457385e-14
0,1.0,275.0390625,16,275.0390625,31,2018-04-28,R_A5,14,STANDARD,21,1709.5867919921875,-7.57753235158809e-14
0,1.0,275.3414611816406,17,275.3414611816406,31,2018-04-28,R_A5,15,STANDARD,21,1711.537353515625,-4.450883699146438e-15
0,1.0,275.635009765625,18,275.635009765625,31,2018-04-28,R_A5,16,STANDARD,21,1713.35400390625,-2.134759137514884e-15
0,1.0,275.7821350097656,19,275.7821350097656,31,2018-04-28,R_A5,17,STANDARD,21,1714.3951416015625,0.0
0,1.0,275.78460693359375,27,275.78460693359375,31,2018-04-28,R_A5,18,STANDARD,21,1715.7628173828125,-2.7085445499408674e-14
0,1.0,276.0223388671875,28,276.0223388671875,31,2018-04-28,R_A5,19,STANDARD,21,1718.098388671875,-2.9785941118768257e-15
0,1.0,291.2923889160156,29,291.2923889160156,31,2018-04-28,R_A5,20,STANDARD,21,1720.43408203125,3.692852848219519e-20
0,1.0,302.6734313964844,30,302.6734313964844,31,2018-04-28,R_A5,21,STANDARD,21,1722.7696533203125,6.165829731467627e-22
0,1.0,306.00054931640625,31,306.00054931640625,31,2018-04-28,R_A5,22,STANDARD,21,1725.105224609375,6.880357725093729e-23
0,0.6493406891822815,279.6748352050781,1,279.6748352050781,28,2018-07-03,R_A3,1,STANDARD,41,1609.243408203125,0.0
