WELLMODEL,CONJPOS,DEPTH,WELL,DATE,CONIPOS,SWAT,SGAS,PRESSURE,CONIDX,CONBPRES,DRAWDOWN,CONKPOS
STANDARD,20,1693.6480712890625,R_A5,2018-04-28,31,1.0,-3.1261654376280035e-10,279.1159973144531,5,279.1159973144531,0,5
STANDARD,20,1695.7615966796875,R_A5,2018-04-28,31,1.0,-9.680179990922966e-10,279.3165283203125,6,279.3165283203125,0,6
STANDARD,20,1697.875,R_A5,2018-04-28,31,1.0,-6.9578860902030915e-12,279.8677062988281,7,279.8677062988281,0,7
STANDARD,20,1699.988525390625,R_A5,2018-04-28,31,1.0,-4.607866171957298e-12,280.1038818359375,8,280.1038818359375,0,8
STANDARD,21,1701.0543212890625,R_A5,2018-04-28,31,1.0,-2.390562192644552e-10,275.6807556152344,9,275.6807556152344,0,11
STANDARD,21,1703.00341796875,R_A5,2018-04-28,31,1.0,-2.028079232330171e-10,275.865478515625,10,275.865478515625,0,12
STANDARD,21,1704.9522705078125,R_A5,2018-04-28,31,1.0,-9.305155604377724e-12,276.0621643066406,11,276.0621643066406,0,13
STANDARD,21,1706.9012451171875,R_A5,2018-04-28,31,1.0,-1.6168923838710825e-11,276.2469482421875,12,276.2469482421875,0,14
STANDARD,21,1708.8502197265625,R_A5,2018-04-28,31,1.0,-2.952245219123295e-12,276.4342041015625,13,276.4342041015625,0,15
STANDARD,21,1710.7991943359375,R_A5,2018-04-28,31,1.0,-6.608589001554088e-13,276.7721252441406,14,276.7721252441406,0,16
STANDARD,21,1712.7481689453125,R_A5,2018-04-28,31,1.0,-7.794532705905632e-13,276.96575927734375,15,276.96575927734375,0,17
STANDARD,21,1714.2554931640625,R_A5,2018-04-28,31,1.0,-1.1059061652551883e-12,277.1113586425781,16,277.1113586425781,0,18
STANDARD,21,1715.001708984375,R_A5,2018-04-28,31,1.0,0.0,277.1822814941406,17,277.1822814941406,0,19
STANDARD,21,1716.3375244140625,R_A5,2018-04-28,31,1.0,-1.7289455457591973e-12,281.7118835449219,18,281.7118835449219,0,25
STANDARD,21,1718.582275390625,R_A5,2018-04-28,31,1.0,-2.2205052466889308e-12,281.8979187011719,19,281.8979187011719,0,26
