SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,CONIDX,CONBPRES,WELL,SGAS,DEPTH,PRESSURE,WELLMODEL,CONIPOS
0.053390514105558395,0,2018-03-01,30,1,1,298.318359375,R_A2,0.0,1641.3812255859375,298.318359375,STANDARD,22
0.056300029158592224,0,2018-03-01,30,2,2,298.4374084472656,R_A2,0.0,1643.157470703125,298.4374084472656,STANDARD,22
0.05866280198097229,0,2018-03-01,30,3,3,298.55645751953125,R_A2,0.0,1644.9337158203125,298.55645751953125,STANDARD,22
0.06401887536048889,0,2018-03-01,30,4,4,298.6755065917969,R_A2,0.0,1646.7099609375,298.6755065917969,STANDARD,22
0.06629592180252075,0,2018-03-01,30,5,5,298.7945861816406,R_A2,0.0,1648.486083984375,298.7945861816406,STANDARD,22
0.3111577033996582,0,2018-03-01,30,6,6,299.0003662109375,R_A2,0.0,1650.262451171875,299.0003662109375,STANDARD,22
0.8704344034194946,0,2018-03-01,30,7,7,299.35888671875,R_A2,0.0,1652.0386962890625,299.35888671875,STANDARD,22
0.6483274698257446,0,2018-03-01,30,8,8,299.5931396484375,R_A2,0.0,1653.81494140625,299.5931396484375,STANDARD,22
0.12426989525556564,0,2018-03-01,30,9,9,299.7558288574219,R_A2,0.0,1655.591064453125,299.7558288574219,STANDARD,22
0.6482784152030945,0,2018-03-01,30,10,10,299.92462158203125,R_A2,0.0,1657.367431640625,299.92462158203125,STANDARD,22
0.06895127892494202,0,2018-03-01,30,11,11,300.08941650390625,R_A2,0.0,1659.287353515625,300.08941650390625,STANDARD,22
0.1286022812128067,0,2018-03-01,30,12,12,300.22784423828125,R_A2,0.0,1661.3509521484375,300.22784423828125,STANDARD,22
0.4361827075481415,0,2018-03-01,30,13,13,300.36669921875,R_A2,0.0,1663.41455078125,300.36669921875,STANDARD,22
0.48280322551727295,0,2018-03-01,30,14,14,300.5062561035156,R_A2,0.0,1665.4781494140625,300.5062561035156,STANDARD,22
0.912345826625824,0,2018-03-01,30,15,15,300.64862060546875,R_A2,0.0,1667.541748046875,300.64862060546875,STANDARD,22
0.92221999168396,0,2018-03-01,30,16,16,300.7925109863281,R_A2,0.0,1669.60546875,300.7925109863281,STANDARD,22
0.9322245121002197,0,2018-03-01,29,16,17,300.8831787109375,R_A2,0.0,1670.7353515625,300.8831787109375,STANDARD,22
0.9041138887405396,0,2018-03-01,29,17,18,301.0251770019531,R_A2,0.0,1672.853515625,301.0251770019531,STANDARD,22
0.9663957357406616,0,2018-03-01,29,18,19,301.15234375,R_A2,0.0,1674.751953125,301.15234375,STANDARD,22
