SGAS,CONIDX,WELL,WELLMODEL,CONBPRES,CONJPOS,SWAT,CONIPOS,DEPTH,PRESSURE,CONKPOS,DRAWDOWN,DATE
-1.2938367523233203e-19,24,R_A2,STANDARD,303.46905517578125,29,1.0,22,1678.29443359375,303.46905517578125,30,0,2018-03-01
-1.3059920421778164e-19,25,R_A2,STANDARD,303.6445007324219,29,1.0,22,1680.1650390625,303.6445007324219,31,0,2018-03-01
2.2398187471406317e-10,1,R_A5,STANDARD,281.39697265625,20,1.0,31,1684.6610107421875,281.39697265625,1,0,2018-04-28
2.6901242344834486e-10,2,R_A5,STANDARD,281.5908203125,20,1.0,31,1686.705322265625,281.5908203125,2,0,2018-04-28
2.6876109671114534e-10,3,R_A5,STANDARD,281.78497314453125,20,1.0,31,1688.74951171875,281.78497314453125,3,0,2018-04-28
2.8178029354286593e-10,4,R_A5,STANDARD,281.9794006347656,20,1.0,31,1690.7938232421875,281.9794006347656,4,0,2018-04-28
2.061654597040885e-10,5,R_A5,STANDARD,282.1732482910156,20,1.0,31,1692.838134765625,282.1732482910156,5,0,2018-04-28
1.8643177279731304e-11,6,R_A5,STANDARD,282.3666076660156,20,1.0,31,1694.8824462890625,282.3666076660156,6,0,2018-04-28
7.200069533641607e-13,7,R_A5,STANDARD,282.8858642578125,20,1.0,31,1696.9266357421875,282.8858642578125,7,0,2018-04-28
0.0,8,R_A5,STANDARD,282.0639343261719,21,1.0,31,1697.4222412109375,282.0639343261719,8,0,2018-04-28
0.0,9,R_A5,STANDARD,282.17901611328125,21,1.0,31,1699.53076171875,282.17901611328125,9,0,2018-04-28
-8.319531175082773e-11,10,R_A5,STANDARD,283.0928039550781,21,1.0,31,1703.658203125,283.0928039550781,11,0,2018-04-28
-2.39526176670779e-10,11,R_A5,STANDARD,283.2763977050781,21,1.0,31,1705.58740234375,283.2763977050781,12,0,2018-04-28
-7.265610856010962e-12,12,R_A5,STANDARD,283.4743957519531,21,1.0,31,1707.5166015625,283.4743957519531,13,0,2018-04-28
-7.948010305458553e-12,13,R_A5,STANDARD,283.66680908203125,21,1.0,31,1709.44580078125,283.66680908203125,14,0,2018-04-28
-2.315493933743862e-12,14,R_A5,STANDARD,284.0574951171875,21,1.0,31,1711.3751220703125,284.0574951171875,15,0,2018-04-28
-7.460813108810249e-13,15,R_A5,STANDARD,284.5828857421875,21,1.0,31,1713.3043212890625,284.5828857421875,16,0,2018-04-28
-1.1688665443529422e-12,16,R_A5,STANDARD,285.1105651855469,21,1.0,31,1715.094482421875,285.1105651855469,17,0,2018-04-28
0.0,17,R_A5,STANDARD,285.29962158203125,21,1.0,31,1716.090576171875,285.29962158203125,18,0,2018-04-28
-9.244042337153147e-11,18,R_A5,STANDARD,287.852783203125,21,1.0,31,1717.273193359375,287.852783203125,27,0,2018-04-28
-8.577449861491004e-11,19,R_A5,STANDARD,288.0550231933594,21,1.0,31,1719.296875,288.0550231933594,28,0,2018-04-28
-1.4218261965386183e-16,20,R_A5,STANDARD,297.20391845703125,21,1.0,31,1721.3206787109375,297.20391845703125,29,0,2018-04-28
-1.7224659827877513e-17,21,R_A5,STANDARD,303.8232421875,21,1.0,31,1723.3443603515625,303.8232421875,30,0,2018-04-28
-9.284631916934346e-20,22,R_A5,STANDARD,306.72796630859375,21,1.0,31,1725.3681640625,306.72796630859375,31,0,2018-04-28
0.0,1,R_A3,STANDARD,281.90911865234375,41,0.23638221621513367,28,1612.1551513671875,281.90911865234375,1,0,2018-07-03
0.0,2,R_A3,STANDARD,282.0405578613281,41,0.11848834156990051,28,1614.1259765625,282.0405578613281,2,0,2018-07-03
0.0,3,R_A3,STANDARD,281.1569519042969,41,0.16899093985557556,29,1601.24755859375,281.1569519042969,2,0,2018-07-03
0.0,4,R_A3,STANDARD,281.29827880859375,41,0.1475307047367096,29,1603.3668212890625,281.29827880859375,3,0,2018-07-03
0.0,5,R_A3,STANDARD,281.43988037109375,41,0.2810404896736145,29,1605.4859619140625,281.43988037109375,4,0,2018-07-03
0.0,6,R_A3,STANDARD,281.67120361328125,41,0.8089093565940857,29,1607.605224609375,281.67120361328125,5,0,2018-07-03
0.0,7,R_A3,STANDARD,281.78326416015625,41,0.237190380692482,29,1609.724365234375,281.78326416015625,6,0,2018-07-03
0.0,8,R_A3,STANDARD,281.92474365234375,41,0.2003689855337143,29,1611.8436279296875,281.92474365234375,7,0,2018-07-03
0.0,9,R_A3,STANDARD,282.066162109375,41,0.20337887108325958,29,1613.962890625,282.066162109375,8,0,2018-07-03
0.0,10,R_A3,STANDARD,282.2919616699219,41,0.8026824593544006,29,1616.08203125,282.2919616699219,9,0,2018-07-03
0.0,11,R_A3,STANDARD,282.49688720703125,41,0.6496565341949463,29,1618.201171875,282.49688720703125,10,0,2018-07-03
0.0,12,R_A3,STANDARD,285.4903259277344,41,0.04980439692735672,29,1620.351318359375,285.4903259277344,11,0,2018-07-03
0.0,13,R_A3,STANDARD,285.6360168457031,41,0.05594689026474953,29,1622.5322265625,285.6360168457031,12,0,2018-07-03
0.0,14,R_A3,STANDARD,285.7821044921875,41,0.3781641721725464,29,1624.713134765625,285.7821044921875,13,0,2018-07-03
0.0,15,R_A3,STANDARD,285.2770080566406,41,0.6027311682701111,29,1629.0750732421875,285.2770080566406,15,0,2018-07-03
